PREDICTEDID10,UID,DAYBRN,CLR,LBRD,CDNO,CUT,CUT_NML,DAM,CAUSE,DAYDIS,DISP,INBRL,LAMB,LINE,SEX,SIRE,STM,TB,US,YR
2010828436,10LA00001,5,6,82,1,y,Y,X5968,97,115,7,0.000,X8436,,3,X0000,0,5,US82105968,10
2010828437,10LA00002,9,5,82,1,y,Y,X6790,4,126,Z,0.000,X8437,,2,X0000,0,5,US82106790,10
D201057031,10LA00003,11,,,1,y,Y,X5703,27,11,0,0.000,,,2,X0000,,2,US82105703,10
D201057032,10LA00004,11,,,2,y,Y,X5703,27,11,0,0.000,,,1,X0000,,2,US82105703,10
D201059561,10LA00005,1,,,1,y,Y,X5956,27,365,0,0.000,,,2,X0000,,6,US82105956,10
D201059562,10LA00006,1,,,2,y,Y,X5956,27,365,0,0.000,,,2,X0000,,2,US82105956,10
2010828439,10LA00007,12,5,82,1,y,Y,X6766,4,126,Z,0.000,X8439,,3,X0000,0,8,US82106766,10
2010828440,10LA00008,12,5,82,2,y,Y,X6766,4,126,Z,0.000,X8440,,2,X0000,0,8,US82106766,10
2010828441,10LA00009,13,5,82,1,y,Y,X6286,4,126,Z,0.000,X8441,,2,X0000,0,8,US82106286,10
2010828442,10LA00010,13,5,82,2,y,Y,X6286,4,126,Z,0.000,X8442,,2,X0000,0,8,US82106286,10
2010828443,10LA00011,13,5,82,1,y,Y,X5872,4,126,Z,0.000,X8443,,2,X0000,0,5,US82105872,10
2010828438,10LA00012,11,1,82,1,y,Y,R2894,4,126,Z,0.041,X8438,,2,X0000,0,7,US82102894,10
D201028942,10LA00013,11,,,2,y,Y,R2894,44,11,1,0.041,,,1,X0000,,7,US82102894,10
2010828444,10LA00014,14,5,82,1,y,Y,X6100,4,126,Z,0.000,X8444,,2,X0000,0,5,US82106100,10
2010828445,10LA00015,14,5,82,1,y,Y,X6079,4,126,Z,0.000,X8445,,3,X0000,0,8,US82106079,10
2010828446,10LA00016,14,5,82,2,y,Y,X6079,4,126,Z,0.000,X8446,,3,X0000,0,8,US82106079,10
2010828447,10LA00017,14,5,82,1,y,Y,X6401,4,126,Z,0.000,X8447,,2,X0000,0,9,US82106401,10
2010828448,10LA00018,14,5,82,2,y,Y,X6401,19,48,6,0.000,X8448,,2,X0000,0,9,US82106401,10
2010828449,10LA00019,14,5,82,3,y,Y,X6401,4,126,Z,0.000,X8449,,2,X0000,0,9,US82106401,10
2010828450,10LA00020,15,5,82,1,y,Y,X6743,4,126,Z,0.000,X8450,,2,X0000,0,5,US82106743,10
D201064691,10LA00021,15,,,1,y,Y,X6469,95,18,5,0.000,,,1,X0000,,8,US82106469,10
D201064692,10LA00022,15,,,2,y,Y,X6469,95,18,5,0.000,,,1,X0000,,8,US82106469,10
D201064261,10LA00023,15,,,1,y,Y,X6426,95,18,5,0.000,,,2,X0000,,8,US82106426,10
D201064262,10LA00024,15,,,2,y,Y,X6426,95,18,5,0.000,,,1,X0000,,8,US82106426,10
2010828451,10LA00025,16,5,82,1,y,Y,X6396,4,126,Z,0.000,X8451,,2,X0000,0,8,US82106396,10
2010828452,10LA00026,16,5,82,2,y,Y,X6396,4,126,Z,0.000,X8452,,2,X0000,0,8,US82106396,10
2010828453,10LA00027,16,5,82,1,y,Y,X6170,4,126,Z,0.000,X8453,,3,X0000,0,5,US82106170,10
2010828454,10LA00028,16,5,82,1,y,Y,X6092,97,115,7,0.000,X8454,,2,X0000,0,9,US82106092,10
2010828455,10LA00029,16,5,82,2,y,Y,X6092,1,70,6,0.000,X8455,,2,X0000,0,9,US82106092,10
2010828456,10LA00030,16,5,82,3,y,Y,X6092,4,126,Z,0.000,X8456,,3,X0000,0,9,US82106092,10
2010828457,10LA00031,16,5,82,1,y,Y,X6764,4,126,Z,0.000,X8457,,3,X0000,0,5,US82106764,10
2010828458,10LA00032,17,5,82,1,y,Y,X6022,4,126,Z,0.000,X8458,,2,X0000,0,5,US82106022,10
2010828459,10LA00033,18,5,82,1,y,Y,X6037,4,126,Z,0.000,X8459,,3,X0000,0,5,US82106037,10
2010828460,10LA00034,19,5,82,1,y,Y,X6233,4,126,Z,0.000,X8460,,2,X0000,0,8,US82106233,10
2010828461,10LA00035,19,5,82,2,y,Y,X6233,4,126,Z,0.000,X8461,,3,X0000,0,8,US82106233,10
2010828462,10LA00036,19,5,82,1,y,Y,X6655,97,115,7,0.000,X8462,,2,X0000,0,5,US82106655,10
D201058961,10LA00037,15,,,1,y,Y,X5896,95,18,5,0.000,,,1,X0000,,8,US82105896,10
D201058962,10LA00038,15,,,2,y,Y,X5896,95,18,5,0.000,,,2,X0000,,8,US82105896,10
D201064911,10LA00039,25,,,1,y,Y,X6491,27,25,0,0.000,,,,X0000,,0,US82106491,10
2010828463,10LA00040,26,5,82,1,y,Y,X6068,4,126,Z,0.000,X8463,,3,X0000,0,8,US82106068,10
2010828464,10LA00041,26,5,82,2,y,Y,X6068,4,126,Z,0.000,X8464,,2,X0000,0,8,US82106068,10
2010828465,10LA00042,26,5,82,1,y,Y,X5800,4,126,Z,0.000,X8465,,2,X0000,0,7,US82105800,10
D201058002,10LA00043,26,5,,2,y,Y,X5800,44,26,1,0.000,,,2,X0000,,7,US82105800,10
D201058141,10LA00044,26,5,,1,y,Y,X5814,27,26,0,0.000,,,1,X0000,,2,US82105814,10
D201058142,10LA00045,26,5,,2,y,Y,X5814,27,26,0,0.000,,,1,X0000,,2,US82105814,10
2010828466,10LA00046,27,5,82,1,y,Y,X5932,46,29,6,0.000,X8466,,3,X0000,0,8,US82105932,10
2010828467,10LA00047,27,5,82,2,y,Y,X5932,4,126,Z,0.000,X8467,,3,X0000,0,8,US82105932,10
2010828468,10LA00048,28,5,82,1,y,Y,X6274,97,115,7,0.000,X8468,,3,X0000,0,5,US82106274,10
2010828469,10LA00049,28,5,82,1,y,Y,X6694,,0,,0.000,X8469,,3,X0000,0,8,US82106694,10
2010828470,10LA00050,28,5,82,2,y,Y,X6694,4,126,Z,0.000,X8470,,3,X0000,0,8,US82106694,10
2010828471,10LA00051,28,5,82,1,y,Y,X5830,4,126,Z,0.000,X8471,,3,X0000,0,8,US82105830,10
2010828472,10LA00052,28,5,82,2,y,Y,X5830,97,115,7,0.000,X8472,,2,X0000,0,8,US82105830,10
2010828473,10LA00053,28,5,82,1,y,Y,X6784,19,121,6,0.000,X8473,,3,X0000,0,8,US82106784,10
2010828474,10LA00054,28,5,82,2,y,Y,X6784,,0,,0.000,X8474,,2,X0000,0,8,US82106784,10
D201064411,10LA00055,28,,,1,y,Y,X6441,95,32,5,0.000,,,2,X0000,,5,US82106441,10
D201057601,10LA00056,29,,,1,y,Y,X5760,95,32,5,0.000,,,1,X0000,,8,US82105760,10
D201057602,10LA00057,29,,,2,y,Y,X5760,95,32,5,0.000,,,2,X0000,,8,US82105760,10
D201063661,10LA00058,29,,,1,y,Y,X6366,95,32,5,0.000,,,1,X0000,,7,US82106366,10
D201063662,10LA00059,29,5,,2,y,Y,X6366,44,29,1,0.000,,,1,X0000,,7,US82106366,10
D201068401,10LA00060,29,,,1,y,Y,X6840,95,33,5,0.000,,,2,X0000,,8,US82106840,10
D201068402,10LA00061,29,,,2,y,Y,X6840,95,33,5,0.000,,,2,X0000,,8,US82106840,10
D201058821,10LA00062,29,,,1,y,Y,X5882,95,33,5,0.000,,,2,X0000,,5,US82105882,10
D201064531,10LA00063,30,,,1,y,Y,X6453,95,33,5,0.000,,,2,X0000,,8,US82106453,10
