ID10,DAYDIS,YR
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
2010829216,106,10
D201072462,77,10
D201049071,77,10
D201049072,77,10
D201032542,77,10
D201076281,77,10
D201075651,80,10
D201079051,81,10
D201051681,80,10
D201051682,80,10
D201063521,82,10
D201063522,82,10
D201075421,81,10
D201021541,84,10
D201022372,84,10
D201044181,84,10
D201044182,84,10
D201044981,84,10
D201000211,84,10
D201000212,84,10
D201077541,84,10
D201072501,85,10
D201054191,85,10
D201078341,86,10
D201041072,86,10
D201075941,87,10
D201078342,86,10
D201054401,88,10
D201050921,86,10
D201045442,90,10
D201050551,90,10
D201050552,90,10
D201074791,90,10
D201045271,91,10
D201078331,91,10
D201028101,91,10
D201010063,92,10
D201036762,92,10
D201041991,92,10
D201041992,92,10
D201073551,93,10
D201078781,95,10
D201042041,97,10
D201042042,97,10
D201023471,99,10
D201024601,100,10
D201013581,100,10
D201044941,100,10
D201032603,100,10
D201075311,102,10
D201075312,102,10
D201064253,102,10
D201015311,101,10
D201015312,101,10
D201033581,104,10
D201033582,104,10
D201060491,104,10
D201060492,104,10
D201024852,111,10
D201123641,46,11
D201125201,54,11
D201127111,63,11
D201191631,63,11
D201191632,63,11
D201191633,63,11
D201185351,64,11
D201158441,64,11
D201100451,64,11
D201159071,67,11
D201137251,67,11
D201133871,67,11
D201128411,68,11
D201120801,68,11
D201177061,68,11
D201126551,68,11
D201129971,69,11
D201129972,69,11
D201127001,69,11
D201187041,71,11
D201125571,71,11
D201186501,72,11
D201192741,73,11
D201186311,73,11
D201156851,73,11
D201189781,73,11
D201131701,73,11
D201173391,73,11
D201145491,75,11
D201164571,75,11
D201156341,75,11
D201156342,75,11
D201124342,75,11
D201180921,75,11
D201160031,75,11
D201160032,75,11
D201160271,76,11
D201164351,76,11
D201180901,76,11
D201180902,76,11
D201185381,77,11
D201164771,77,11
D201164772,77,11
D201105121,78,11
D201105122,78,11
D201179211,78,11
D201179212,78,11
D201126621,78,11
D201126622,78,11
D201123311,80,11
D201123312,80,11
D201180691,81,11
D201119431,81,11
D201119432,81,11
D201157312,67,11
D201157313,67,11
D201128452,81,11
D201156841,82,11
D201102281,82,11
D201174801,82,11
D201185211,82,11
D201189911,82,11
D201161161,84,11
D201100002,84,11
D201180561,85,11
D201174541,85,11
D201174542,85,11
D201105772,83,11
D201153841,85,11
D201153842,85,11
D201153843,85,11
D201177731,85,11
D201134251,85,11
D201134252,85,11
D201134253,85,11
D201159121,86,11
D201128151,86,11
D201128152,86,11
D201180731,86,11
D201101641,87,11
D201101681,87,11
D201155201,87,11
D201155202,87,11
D201159172,87,11
D201169341,87,11
D201181291,88,11
D201148411,89,11
D201148412,89,11
D201148381,89,11
D201148382,89,11
D201152321,89,11
D201155281,90,11
D201155282,90,11
D201166201,91,11
D201119211,91,11
D201180861,91,11
D201158021,91,11
D201158022,91,11
D201165171,92,11
D201159002,92,11
D201163101,94,11
D201163102,94,11
D201143024,94,11
D201159881,95,11
D201159882,95,11
D201153562,95,11
D201159872,95,11
D201174272,96,11
D201136761,96,11
D201142571,96,11
D201142574,96,11
D201128533,97,11
D201137472,99,11
D201137473,99,11
D201150103,98,11
D201168701,101,11
D201168702,101,11
D201121322,102,11
D201159981,103,11
D201122452,105,11
D201100651,107,11
D201248051,52,12
D201258121,54,12
D201287911,54,12
D201270611,46,12
D201203401,46,12
D201204281,46,12
D201289471,60,12
D201289061,60,12
D201232131,60,12
D201246531,60,12
D201200381,66,12
D201274922,71,12
D201280491,74,12
D201258791,73,12
D201258792,73,12
D201235571,74,12
D201204591,75,12
D201242571,75,12
D201242572,75,12
D201284991,75,12
D201232012,76,12
D201203021,77,12
D201298561,78,12
D201230792,78,12
D201267091,78,12
D201201902,81,12
D201253171,80,12
D201280152,83,12
D201279561,83,12
D201279562,83,12
D201262441,83,12
D201262442,83,12
D201268301,84,12
D201289252,84,12
D201269821,85,12
D201266752,88,12
D201222454,87,12
D201271242,90,12
D201289622,92,12
D201222174,90,12
D201234252,95,12
D201374481,45,13
D201306671,52,13
D201347981,54,13
D201308331,69,13
D201340591,69,13
D201376562,69,13
D201378961,71,13
D201307871,71,13
D201378962,71,13
D201307071,74,13
D201335551,74,13
D201311302,74,13
D201336211,75,13
D201304882,75,13
D201375561,77,13
D201375562,77,13
D201386002,78,13
D201305881,78,13
D201305882,78,13
D201342121,80,13
D201309891,80,13
D201338832,81,13
D201338833,81,13
D201312831,82,13
D201375831,83,13
D201375832,83,13
D201306201,84,13
D201346461,85,13
D201312091,85,13
D201334622,88,13
D201357302,88,13
D201312911,88,13
D201342362,94,13
D201380312,94,13
D201341461,95,13
D201353192,102,13
D201353193,102,13
D201392931,118,13
D201313351,120,13
D201313352,120,13
D201336221,132,13
D201416041,50,14
D201415851,55,14
D201416111,65,14
D201409931,65,14
D201414821,66,14
D201418071,67,14
D201418072,67,14
D201403851,68,14
D201403852,68,14
D201403853,68,14
D201458361,68,14
D201417131,69,14
D201417132,69,14
