ID10,DISP,YR
D201057031,0,10
D201057032,0,10
D201059561,0,10
D201059562,0,10
D201064911,0,10
D201058141,0,10
D201058142,0,10
D201075091,0,10
D201052651,0,10
D201050131,0,10
D201054651,0,10
D201054652,0,10
D201063031,0,10
D201027911,0,10
D201062671,0,10
D201048471,0,10
D201048472,0,10
D201072261,0,10
D201072262,0,10
D201021761,0,10
D201021762,0,10
D201017561,0,10
D201017562,0,10
D201062271,0,10
D201021991,0,10
D201023301,0,10
D201045771,0,10
D201057121,0,10
D201057122,0,10
D201062721,0,10
D201062722,0,10
D201081051,0,10
D201081052,0,10
D201063781,0,10
D201098231,0,10
D201098232,0,10
D201015091,0,10
D201013361,0,10
D201042841,0,10
D201042842,0,10
D201008261,0,10
D201045881,0,10
D201045981,0,10
D201045982,0,10
D201022511,0,10
D201028061,0,10
D201054911,0,10
D201031331,0,10
D201031332,0,10
D201062911,0,10
D201082861,0,10
D201082862,0,10
D201043531,0,10
D201041911,0,10
D201068771,0,10
D201068772,0,10
D201046841,0,10
D201067151,0,10
D201067152,0,10
D201029851,0,10
D201029852,0,10
D201026991,0,10
D201041441,0,10
D201031711,0,10
D201031712,0,10
D201054741,0,10
D201050501,0,10
D201050502,0,10
D201073491,0,10
D201073492,0,10
D201072461,0,10
D201072462,0,10
D201049071,0,10
D201049072,0,10
D201032542,0,10
D201076281,0,10
D201075651,0,10
D201079051,0,10
D201051681,0,10
D201051682,0,10
D201063521,0,10
D201063522,0,10
D201075421,0,10
D201021541,0,10
D201022372,0,10
D201044181,0,10
D201044182,0,10
D201044981,0,10
D201000211,0,10
D201000212,0,10
D201077541,0,10
D201072501,0,10
D201054191,0,10
D201078341,0,10
D201041072,0,10
D201075941,0,10
D201078342,0,10
D201054401,0,10
D201050921,0,10
D201045442,0,10
D201050551,0,10
D201050552,0,10
D201074791,0,10
D201045271,0,10
D201078331,0,10
D201028101,0,10
D201010063,0,10
D201036762,0,10
D201041991,0,10
D201041992,0,10
D201073551,0,10
D201078781,0,10
D201042041,0,10
D201042042,0,10
D201023471,0,10
D201024601,0,10
D201013581,0,10
D201044941,0,10
D201032603,0,10
D201075311,0,10
D201075312,0,10
D201064253,0,10
D201015311,0,10
D201015312,0,10
D201033581,0,10
D201033582,0,10
D201060491,0,10
D201060492,0,10
D201024852,0,10
D20107992G,-,10
D20106804G,-,10
D20106507G,-,10
D201123641,0,11
D201125201,0,11
D201127111,0,11
D201191631,0,11
D201191632,0,11
D201191633,0,11
D201185351,0,11
D201158441,0,11
D201100451,0,11
D201159071,0,11
D201137251,0,11
D201133871,0,11
D201128411,0,11
D201120801,0,11
D201177061,0,11
D201126551,0,11
D201129971,0,11
D201129972,0,11
D201127001,0,11
D201187041,0,11
D201125571,0,11
D201186501,0,11
D201192741,0,11
D201186311,0,11
D201156851,0,11
D201189781,0,11
D201131701,0,11
D201173391,0,11
D201145491,0,11
D201164571,0,11
D201156341,0,11
D201156342,0,11
D201124342,0,11
D201180921,0,11
D201160031,0,11
D201160032,0,11
D201160271,0,11
D201164351,0,11
D201180901,0,11
D201180902,0,11
D201185381,0,11
D201164771,0,11
D201164772,0,11
D201105121,0,11
D201105122,0,11
D201179211,0,11
D201179212,0,11
D201126621,0,11
D201126622,0,11
D201123311,0,11
D201123312,0,11
D201180691,0,11
D201119431,0,11
D201119432,0,11
D201157312,0,11
D201157313,0,11
D201128452,0,11
D201156841,0,11
D201102281,0,11
D201174801,0,11
D201185211,0,11
D201189911,0,11
D201161161,0,11
D201100002,0,11
D201180561,0,11
D201174541,0,11
D201174542,0,11
D201105772,0,11
D201153841,0,11
D201153842,0,11
D201153843,0,11
D201177731,0,11
D201134251,0,11
D201134252,0,11
D201134253,0,11
D201159121,0,11
D201128151,0,11
D201128152,0,11
D20111473G,-,11
D201180731,0,11
D201101641,0,11
D201101681,0,11
D201155201,0,11
D201155202,0,11
D201159172,0,11
D201169341,0,11
D201181291,0,11
D201148411,0,11
D201148412,0,11
D201137310,-,11
D201148381,0,11
D201148382,0,11
D201152321,0,11
D201155281,0,11
D201155282,0,11
D201166201,0,11
D201119211,0,11
D201180861,0,11
D201158021,0,11
D201158022,0,11
D201165171,0,11
D201159002,0,11
D201163101,0,11
D201163102,0,11
D201143024,0,11
D201159881,0,11
D201159882,0,11
D201153562,0,11
D201159872,0,11
D201174272,0,11
D201136761,0,11
D201142571,0,11
D201142574,0,11
D201128533,0,11
D201137472,0,11
D201137473,0,11
D201150103,0,11
D201168701,0,11
D201168702,0,11
D201121322,0,11
D201159981,0,11
D201122452,0,11
D201100651,0,11
D20117942G,-,11
D20117591G,-,11
D20117264G,-,11
D201248051,0,12
D201258121,0,12
D201287911,0,12
D201270611,0,12
D201203401,0,12
D201204281,0,12
D201289471,0,12
D201289061,0,12
D201232131,0,12
D201246531,0,12
D201200381,0,12
D201274922,0,12
D201280491,0,12
D201258791,0,12
D201258792,0,12
D201235571,0,12
D201204591,0,12
D201242571,0,12
D201242572,0,12
D201284991,0,12
D201232012,0,12
D201203021,0,12
D201298561,0,12
D201230792,0,12
D201267091,0,12
D201201902,0,12
D201253171,0,12
D201280152,0,12
D201279561,0,12
D201279562,0,12
D201262441,0,12
D201262442,0,12
D201268301,0,12
D201289252,0,12
D201269821,0,12
D201266752,0,12
D201222454,0,12
D201271242,0,12
D201289622,0,12
D201222174,0,12
D201234252,0,12
D201374481,0,13
D201306671,0,13
D201347981,0,13
D201308331,0,13
D201340591,0,13
D201376562,0,13
D201378961,0,13
D201307871,0,13
D201378962,0,13
D201307071,0,13
D201335551,0,13
D201311302,0,13
D201336211,0,13
D201304882,0,13
D201375561,0,13
D201375562,0,13
D201386002,0,13
D201305881,0,13
D201305882,0,13
D201342121,0,13
D201309891,0,13
D201338832,0,13
D201338833,0,13
D201312831,0,13
D201375831,0,13
D201375832,0,13
D201306201,0,13
D201346461,0,13
D201312091,0,13
D201334622,0,13
D201357302,0,13
D201312911,0,13
D201342362,0,13
D201380312,0,13
D201341461,0,13
D201353192,0,13
D201353193,0,13
D201392931,0,13
D201313351,0,13
D201313352,0,13
D201336221,0,13
D201416041,0,14
D201415851,0,14
D201416111,0,14
D201409931,0,14
D201414821,0,14
D201418071,0,14
D201418072,0,14
D201403851,0,14
D201403852,0,14
D201403853,0,14
D201458361,0,14
D201417131,0,14
D201417132,0,14
D201406051,0,14
D201443441,0,14
D201418391,0,14
D201418392,0,14
D201480051,0,14
D201480052,0,14
D201451821,0,14
D201481551,0,14
D201481552,0,14
D201481553,0,14
D201479581,0,14
D201479582,0,14
D201449511,0,14
D201467552,0,14
D201443091,0,14
D201411171,0,14
D201498351,0,14
D201451321,0,14
D201451322,0,14
D201474482,0,14
D201410101,0,14
D201410102,0,14
D201443171,0,14
D201430531,0,14
D201487182,0,14
D201417741,0,14
D201483392,0,14
D201404761,0,14
D201468072,0,14
D201404611,0,14
D201441911,0,14
D201441912,0,14
D201468861,0,14
D201497091,0,14
D201497092,0,14
D201451262,0,14
D201495781,0,14
D201495782,0,14
D201516001,0,15
D201591201,0,15
D201599971,0,15
D201516251,0,15
D201516252,0,15
D201597531,0,15
D201584911,0,15
D201584912,0,15
D201515421,0,15
D201504881,0,15
D201500481,0,15
D201586421,0,15
D201586422,0,15
D201517921,0,15
D201509931,0,15
D201509932,0,15
D201576031,0,15
D201516711,0,15
D201517011,0,15
D201517012,0,15
D201516131,0,15
D201503601,0,15
D201503602,0,15
D201503603,0,15
D201500241,0,15
D201564323,0,15
D201555331,0,15
D201596741,0,15
D201596742,0,15
D201557601,0,15
D201584613,0,15
D201500631,0,15
D201554251,0,15
D201555761,0,15
D201555201,0,15
D201555202,0,15
D201557791,0,15
D201572533,0,15
D201513971,0,15
D201554491,0,15
D201516043,0,15
D201534994,0,15
D201515202,0,15
D201553193,0,15
D201542643,0,15
D201537891,0,15
D201686561,0,16
D201688091,0,16
D201688092,0,16
D201696401,0,16
D201696402,0,16
D201691731,0,16
D201691732,0,16
D201692291,0,16
D201692292,0,16
D201692351,0,16
D201690941,0,16
D201690942,0,16
D201688721,0,16
D201688021,0,16
D201691581,0,16
D201691582,0,16
D201691583,0,16
D201604001,0,16
D201679351,0,16
D201679352,0,16
D201679353,0,16
D201624302,0,16
D201698591,0,16
D201605571,0,16
D201662261,0,16
D201669171,0,16
D201654843,0,16
D201628732,0,16
D201656571,0,16
D201656572,0,16
D201691901,0,16
D201691902,0,16
D201656933,0,16
D201643281,0,16
D201627621,0,16
D201604101,0,16
D201658621,0,16
D201660481,0,16
D201660482,0,16
D201617061,0,16
D201691051,0,16
D201605961,0,16
D201605962,0,16
D201628571,0,16
D201662391,0,16
D201654671,0,16
D201654672,0,16
D201627761,0,16
D201627762,0,16
D201656802,0,16
D201691671,0,16
D201686202,0,16
D201695782,0,16
D201687702,0,16
D201653541,0,16
D201662431,0,16
D201688113,0,16
D201616701,0,16
D201616702,0,16
D201689901,0,16
D201606151,0,16
D201688292,0,16
D201691491,0,16
D201696131,0,16
D201605271,0,16
D201698463,0,16
D201606851,0,16
D201606852,0,16
D201659291,0,16
D201692301,0,16
D201692302,0,16
D201602861,0,16
D20165859G,-,16
D20163906G,-,16
D201700053,0,17
D201700931,0,17
D201701053,0,17
D201701541,0,17
D201701731,0,17
D201703251,0,17
D201705721,0,17
D201709061,0,17
D201709062,0,17
D201709251,0,17
D201709821,0,17
D201710061,0,17
D201710931,0,17
D201714481,0,17
D201718021,0,17
D201718451,0,17
D201724151,0,17
D201724152,0,17
D201729071,0,17
D201729333,0,17
D201729372,0,17
D201732771,0,17
D201732772,0,17
D201733402,0,17
D201733861,0,17
D201734251,0,17
D201737971,0,17
D201738011,0,17
D201738781,0,17
D201739291,0,17
D201739921,0,17
D201740593,0,17
D201740931,0,17
D201741171,0,17
D201741231,0,17
D201746003,0,17
D201747482,0,17
D201749201,0,17
D201749202,0,17
D201751121,0,17
D201755701,0,17
D201755702,0,17
D201756511,0,17
D201756512,0,17
D201758431,0,17
D201758432,0,17
D201758433,0,17
D201758434,0,17
D201758992,0,17
D201760164,0,17
D201764671,0,17
D201764672,0,17
D201764691,0,17
D201764981,0,17
D201765031,0,17
D201765032,0,17
D201785082,0,17
D201787201,0,17
D201787202,0,17
D201787203,0,17
D201788281,0,17
D201788282,0,17
D201788381,0,17
D201788631,0,17
D201788632,0,17
D201790072,0,17
D201790742,0,17
D201790743,0,17
D201792291,0,17
D201792292,0,17
D201792293,0,17
D201793001,0,17
D201793101,0,17
D201793411,0,17
D201793412,0,17
D201793561,0,17
D201793562,0,17
D201794051,0,17
D201794231,0,17
D201794232,0,17
D201794322,0,17
D201794721,0,17
D201795252,0,17
D201795743,0,17
D201796861,0,17
