ID10,YR,DAY,NOTE,UID,NOTEID
2007000647,10,365,B. ovis pos.,10IN00006,NOTE10IN00006
2007000712,10,365,B. ovis pos.,10IN00007,NOTE10IN00007
2007000740,10,365,Purchased,10IN00008,NOTE10IN00008
2003303058,10,365,TRM CSECTION,10IN00010,NOTE10IN00010
2003303083,10,365,Lazarus,10IN00012,NOTE10IN00012
2003303160,10,365,LATEtoMIL,10IN00014,NOTE10IN00014
2007007142,10,365,B. ovis pos.,10IN00016,NOTE10IN00016
2005003101,10,365,NE23-5031,10IN00019,NOTE10IN00019
2005003178,10,365,NE23-5031,10IN00020,NOTE10IN00020
2005003193,10,365,NE23-5031,10IN00021,NOTE10IN00021
2007000371,10,365,Purchased,10IN00022,NOTE10IN00022
2002049034,10,365,LAME TX.,10IN00023,NOTE10IN00023
2002049511,10,365,THIN + PO,10IN00026,NOTE10IN00026
2002049545,10,365,Leyecancerous,10IN00027,NOTE10IN00027
2002049667,10,365,DYSTOCIA,10IN00028,NOTE10IN00028
2002049715,10,365,NICE,10IN00029,NOTE10IN00029
2003050432,10,365,LAME RR ',10IN00031,NOTE10IN00031
2003050640,10,365,MastLungAbscs,10IN00036,NOTE10IN00036
2003050653,10,365,THIN,10IN00038,NOTE10IN00038
2004050755,10,365,LOW BAG F,10IN00041,NOTE10IN00041
2004050824,10,365,PNEU.TX.E,10IN00043,NOTE10IN00043
2004050850,10,365,L.BLOODYM,10IN00045,NOTE10IN00045
2004050871,10,365,RP,10IN00046,NOTE10IN00046
2004050888,10,365,THIN 11/2,10IN00048,NOTE10IN00048
2004050892,10,365,TX. L. EY,10IN00049,NOTE10IN00049
2004050906,10,365,VLT RIGHT,10IN00051,NOTE10IN00051
2004050988,10,365,THIN,10IN00055,NOTE10IN00055
2004051006,10,365,4TEATS,10IN00056,NOTE10IN00056
2004051008,10,365,BadLEye.VSick,10IN00057,NOTE10IN00057
2004051044,10,365,UGLY,10IN00058,NOTE10IN00058
2004051123,10,365,VLT LEFT,10IN00061,NOTE10IN00061
2004051134,10,365,"NICE, 4TE",10IN00062,NOTE10IN00062
2004051160,10,365,4TEATS,10IN00063,NOTE10IN00063
2004051193,10,365,LT LEFT,10IN00066,NOTE10IN00066
2004051231,10,365,SX.MOUTH,10IN00069,NOTE10IN00069
2004051240,10,365,HAIRY,10IN00070,NOTE10IN00070
2004051253,10,365,VLT RIGHT,10IN00071,NOTE10IN00071
2004051261,10,365,HAIRY,10IN00072,NOTE10IN00072
2004051303,10,365,L.EYE TRT,10IN00074,NOTE10IN00074
2004051307,10,365,R.P.,10IN00075,NOTE10IN00075
2004051312,10,365,NICE LAMB,10IN00076,NOTE10IN00076
2004051338,10,365,HAIRY,10IN00077,NOTE10IN00077
2004051341,10,365,HAIRY,10IN00078,NOTE10IN00078
2004051342,10,365,Ugly,10IN00079,NOTE10IN00079
2004051365,10,365,4TEATS,10IN00080,NOTE10IN00080
2005051397,10,365,ATROPY RVENTR,10IN00082,NOTE10IN00082
2005051399,10,365,PNEU.,10IN00083,NOTE10IN00083
2005051425,10,365,HAIRY,10IN00084,NOTE10IN00084
2005051451,10,365,Downer,10IN00086,NOTE10IN00086
