ID10,NOTE,YR,DAY,NOTEID
2013057938,PINK.PREMATURE,13,69,LNOTE13LA00037
2013057939,WEAK LAMB,13,72,LNOTE13LA00106
2013057949,.,13,80,LNOTE13LA00685
2013057953,.,13,80,LNOTE13LA00704
2013057954,.,13,80,LNOTE13LA00724
2013057957,.,13,80,LNOTE13LA00738
2013057959,.,13,80,LNOTE13LA00741
2013057961,SCOURS,13,80,LNOTE13LA00749
2013057977,.,13,81,LNOTE13LA00851
2013057978,NICE.POLY.LEFT,13,81,LNOTE13LA00862
2013057986,.,13,82,LNOTE13LA00917
2013057990,NICE.POLY,13,82,LNOTE13LA00921
2013057994,.,13,82,LNOTE13LA00960
2013057999,FUZZY,13,82,LNOTE13LA00970
2013058017,.,13,83,LNOTE13LA01092
2013058019,2ND,13,83,LNOTE13LA01099
2013058023,.,13,83,LNOTE13LA01104
2013058027,.,13,83,LNOTE13LA01128
2013058032,.,13,83,LNOTE13LA01181
2013058033,BL.L.EYE,13,83,LNOTE13LA01182
2013058048,.,13,84,LNOTE13LA01270
2013058056,HAIRY,13,84,LNOTE13LA01304
2013058058,DOWN.EUTH,13,84,LNOTE13LA01306
2013058071,.,13,85,LNOTE13LA01379
2013058073,.,13,85,LNOTE13LA01384
2013058075,HAIRY,13,85,LNOTE13LA01397
2013058082,HAIRY.DISGUSTIN,13,85,LNOTE13LA01416
2013058099,CHEWTAIL EULCER,13,86,LNOTE13LA01533
2013058105,1ST H,13,86,LNOTE13LA01569
2013058121,HAIRY,13,87,LNOTE13LA01721
2013058128,.,13,87,LNOTE13LA01754
2013058135,.,13,87,LNOTE13LA01811
2013058137,1ST,13,87,LNOTE13LA01835
2013058148,1ST,13,88,LNOTE13LA01956
2013058149,2ND,13,88,LNOTE13LA01957
2013058153,.,13,88,LNOTE13LA01961
2013058155,.,13,88,LNOTE13LA01974
2013058161,BR.EAR.TIPS,13,88,LNOTE13LA02001
2013058162,.,13,88,LNOTE13LA02005
2013058165,.,13,88,LNOTE13LA02029
2013058166,.,13,88,LNOTE13LA02030
2013058179,1ST,13,89,LNOTE13LA02125
2013058182,.,13,89,LNOTE13LA02128
2013058190,BLFRECKNEES,13,89,LNOTE13LA02143
2013058191,.,13,89,LNOTE13LA02150
2013058192,H.SMNUTSDnEuth,13,89,LNOTE13LA02151
2013058204,HAIRY,13,90,LNOTE13LA02257
2013058206,BRNECK.L.EAR,13,90,LNOTE13LA02264
2013058213,HAIRY,13,90,LNOTE13LA02298
2013058219,ALMOST.SMUT,13,90,LNOTE13LA02314
