ID10,YR,DAY,NOTE,NOTEID
2024062053,24,76,2ND.Impaction,LNOTE24LA00069
2024062056,24,76,1ST,LNOTE24LA00079
2024062057,24,76,BLSPOTRSHOULDER,LNOTE24LA00080
2024062058,24,76,WEAK LAMB,LNOTE24LA00083
2024062061,24,77,2ND.THIN,LNOTE24LA00096
2024062062,24,77,1ST,LNOTE24LA00097
2024062063,24,77,3RD,LNOTE24LA00098
2024062064,24,77,NoTransToRumen,LNOTE24LA00129
2024062067,24,78,1ST,LNOTE24LA00141
2024062068,24,78,2ND,LNOTE24LA00142
2024062069,24,78,3RD,LNOTE24LA00160
2024062070,24,78,2ND,LNOTE24LA00161
2024062071,24,78,1ST.L/D,LNOTE24LA00162
2024062074,24,78,THINRuptBowel,LNOTE24LA00177
2024062080,24,79,1ST,LNOTE24LA00224
2024062083,24,79,1ST,LNOTE24LA00230
2024062084,24,79,2ND,LNOTE24LA00231
2024062085,24,79,THIN,LNOTE24LA00244
2024062087,24,79,LungLiverAbscss,LNOTE24LA00246
2024062088,24,79,1ST,LNOTE24LA00247
2024062089,24,79,2ND,LNOTE24LA00248
2024062090,24,79,HAIRY,LNOTE24LA00262
2024062091,24,79,SMALL,LNOTE24LA00263
2024062092,24,79,HAIRY,LNOTE24LA00264
2024062093,24,79,HAIRY,LNOTE24LA00265
2024062096,24,79,+bronchopneu,LNOTE24LA00269
2024062097,24,79,SMALL,LNOTE24LA00271
2024062100,24,79,HAIRY,LNOTE24LA00274
2024062106,24,80,GraftRejected,LNOTE24LA00314
2024062107,24,80,2ND.FTT,LNOTE24LA00328
2024062108,24,80,3RD,LNOTE24LA00330
2024062109,24,80,+Y0548,LNOTE24LA00362
2024062118,24,81,TINY WEAK FTT,LNOTE24LA00429
2024062123,24,81,HAIRY.Rejected,LNOTE24LA00448
2024062128,24,81,HAIRY,LNOTE24LA00455
2024062129,24,81,StompedByDam,LNOTE24LA00482
2024062131,24,81,+Dehydration,LNOTE24LA00489
2024062132,24,81,KNUCKLE OVER,LNOTE24LA00490
2024062133,24,82,1ST,LNOTE24LA00515
2024062136,24,82,WEAK,LNOTE24LA00526
2024062142,24,82,+RuptAbomasum,LNOTE24LA00566
2024062146,24,82,1ST,LNOTE24LA00578
2024062149,24,83,Gastroenteritis,LNOTE24LA00608
2024062150,24,83,TailInfx+Starve,LNOTE24LA00609
2024062159,24,83,1ST,LNOTE24LA00650
2024062160,24,83,2ND,LNOTE24LA00651
2024062161,24,83,1ST,LNOTE24LA00663
2024062162,24,83,2ND.UGLY,LNOTE24LA00664
2024062163,24,84,1ST,LNOTE24LA00711
2024062164,24,84,2ND,LNOTE24LA00712
2024062165,24,84,1ST,LNOTE24LA00743
2024062166,24,84,2ND,LNOTE24LA00744
2024062167,24,84,3RD,LNOTE24LA00745
2024062176,24,84,HAIRY,LNOTE24LA00816
2024062177,24,84,1ST,LNOTE24LA00835
2024062178,24,84,2ND,LNOTE24LA00836
2024062179,24,85,1ST,LNOTE24LA00848
2024062180,24,85,2ND,LNOTE24LA00849
2024062181,24,85,1ST,LNOTE24LA00860
2024062182,24,85,2ND.Abomasitis,LNOTE24LA00861
2024062183,24,85,1ST,LNOTE24LA00892
2024062186,24,85,+Malnutrition,LNOTE24LA00935
2024062187,24,85,1ST,LNOTE24LA00955
