id10,breed,etag,sex,first_seen_row
2013831537,83,Z1537,2,14PE02055
2011005102,00,K5102,2,17PE01057
2011005116,00,K5116,2,17PE01060
2011005096,00,K5096,2,17PE01062
2011005106,00,K5106,2,17PE01064
2011005104,00,K5104,2,17PE01066
2011005113,00,K5113,2,17PE01068
2011005093,00,K5093,2,17PE01069
2011005112,00,K5112,2,17PE01071
2011005127,00,K5127,2,17PE01072
2011005111,00,K5111,2,17PE01074
2011005118,00,K5118,2,17PE01076
2011005100,00,K5100,2,17PE01079
2011005123,00,K5123,2,17PE01081
2011005097,00,K5097,2,17PE01083
2011005099,00,K5099,2,17PE01085
2011005091,00,K5091,2,17PE01087
2011005092,00,K5092,2,17PE01089
2011005119,00,K5119,2,17PE01092
2011005109,00,K5109,2,17PE01094
2011005105,00,K5105,2,17PE01096
2011005094,00,K5094,2,17PE01097
2011005121,00,K5121,2,17PE01098
2011005095,00,K5095,2,17PE01100
2011005107,00,K5107,2,17PE01101
2011005124,00,K5124,2,17PE01102
2011005103,00,K5103,2,17PE01104
2011005108,00,K5108,2,17PE01106
2011005122,00,K5122,2,17PE01108
2011005125,00,K5125,2,17PE01111
2011005098,00,K5098,2,17PE01113
2011005090,00,K5090,2,17PE01115
2016004088,00,Z4088,2,17PE01469
2015000664,00,S0664,2,17PE01494
2016004113,00,Z4113,2,17PE01542
2016004097,00,Z4097,2,17PE01678
2016004115,00,Z4115,2,17PE01723
2016004125,00,Z4125,2,17PE01735
2016004091,00,Z4091,2,17PE01794
2016004092,00,Z4092,2,17PE01816
2016004128,00,Z4128,2,17PE01902
2016004116,00,Z4116,2,17PE01986
2016004094,00,Z4094,2,17PE02007
2016004111,00,Z4111,2,17PE02100
2016004095,00,Z4095,2,17PE02119
2016004089,00,Z4089,2,17PE02122
2016004098,00,Z4098,2,17PE02154
2016004119,00,Z4119,2,17PE02163
2011005110,00,K5110,2,18PE01217
2011005120,00,K5120,2,18PE01240
2011005115,00,K5115,2,18PE01242
2011005101,00,K5101,2,18PE01244
2011005114,00,K5114,2,18PE01248
2016004118,00,Z4118,2,18PE01471
2016004093,00,Z4093,2,18PE01484
2016004120,00,Z4120,2,18PE01566
2016004127,00,Z4127,2,18PE01664
2016004121,00,Z4121,2,18PE01694
2016004122,00,Z4122,2,18PE02012
2016004117,00,Z4117,2,18PE02153
2016004114,00,Z4114,2,18PE02229
2015005247,00,K5247,2,19PE01554
2015005257,00,K5257,2,19PE01556
2015005251,00,K5251,2,19PE01558
2014005249,00,K5249,2,19PE01563
2015005264,00,K5264,2,19PE01566
2015005260,00,K5260,2,19PE01570
2015005266,00,K5266,2,19PE01572
2015005252,00,K5252,2,19PE01577
2015005261,00,K5261,2,19PE01583
2015005258,00,K5258,2,19PE01585
2015005253,00,K5253,2,19PE01588
2015005244,00,K5244,2,19PE01590
2015005262,00,K5262,2,19PE01595
2015005254,00,K5254,2,19PE01597
2015005259,00,K5259,2,19PE01598
2017005246,00,K5246,2,19PE01599
2015005248,00,K5248,2,19PE01600
2015005263,00,K5263,2,19PE01602
2015005265,00,K5265,2,19PE01604
