id10,sex,breed,etag,first_seen_row
2009054680,2,05,H4680,10PE00001
2009054968,2,05,H4968,10PE00003
2009054961,2,05,H4961,10PE00004
2009055036,2,05,H5036,10PE00005
2009055316,2,05,H5316,10PE00006
2009055248,2,05,H5248,10PE00007
2009055332,2,05,H5332,10PE00009
2009054715,2,05,H4715,10PE00011
2009054891,2,05,H4891,10PE00013
2009054886,2,05,H4886,10PE00015
2009054687,2,05,H4687,10PE00016
2009054838,2,05,H4838,10PE00018
2009055347,2,05,H5347,10PE00019
2009054841,2,05,H4841,10PE00020
2009054639,2,05,H4639,10PE00021
2007053114,2,05,H3114,10PE00023
2008054107,2,05,H4107,10PE00024
2004050780,2,05,H0780,10PE00026
2009055169,2,05,H5169,10PE00029
2009055038,2,05,H5038,10PE00030
2009054571,2,05,H4571,10PE00031
2009054660,2,05,H4660,10PE00032
2009054614,2,05,H4614,10PE00034
2008053869,2,05,H3869,10PE00035
2008054244,2,05,H4244,10PE00038
2008054369,2,05,H4369,10PE00040
2008053898,2,05,H3898,10PE00042
2009054925,2,05,H4925,10PE00044
2006052787,2,05,H2787,10PE00045
2005051898,2,05,H1898,10PE00048
2009055160,2,05,H5160,10PE00051
2007053554,2,05,H3554,10PE00052
2005051397,2,05,H1397,10PE00053
2007053418,2,05,H3418,10PE00055
2008054435,2,05,H4435,10PE00056
2007053538,2,05,H3538,10PE00057
2007053110,2,05,H3110,10PE00060
2008053794,2,05,H3794,10PE00062
2007053146,2,05,H3146,10PE00064
2008054501,2,05,H4501,10PE00067
2006052258,2,05,H2258,10PE00069
2008054381,2,05,H4381,10PE00071
2008054368,2,05,H4368,10PE00074
2007053081,2,05,H3081,10PE00075
2006052873,2,05,H2873,10PE00077
2002049458,2,04,A9458,10PE00080
2007053540,2,05,H3540,10PE00082
2008054500,2,05,H4500,10PE00085
2005051822,2,05,H1822,10PE00087
2005051451,2,05,H1451,10PE00089
2008054400,2,05,H4400,10PE00092
2008053910,2,05,H3910,10PE00093
2008054469,2,05,H4469,10PE00096
2005051431,2,05,H1431,10PE00097
2006052401,2,05,H2401,10PE00099
2008054537,2,05,H4537,10PE00100
2008054544,2,05,H4544,10PE00102
2007053715,2,05,H3715,10PE00103
2008053981,2,05,H3981,10PE00106
2006052397,2,05,H2397,10PE00107
2007053526,2,05,H3526,10PE00109
2007053604,2,05,H3604,10PE00111
2008054349,2,05,H4349,10PE00114
2007053284,2,05,H3284,10PE00116
2008054395,2,05,H4395,10PE00120
2008053862,2,05,H3862,10PE00122
2008053924,2,05,H3924,10PE00124
2007053216,2,05,H3216,10PE00126
2008054212,2,05,H4212,10PE00127
2005051547,2,05,H1547,10PE00130
2008053752,2,05,H3752,10PE00132
2004051008,2,05,H1008,10PE00133
2003050419,2,05,H0419,10PE00135
2009054759,2,05,H4759,10PE00138
2007053466,2,05,H3466,10PE00140
2008054539,2,05,H4539,10PE00142
2006052559,2,05,H2559,10PE00143
2007053055,2,05,H3055,10PE00145
2008054451,2,05,H4451,10PE00146
2007053031,2,05,H3031,10PE00148
2007053266,2,05,H3266,10PE00150
2007053456,2,05,H3456,10PE00151
2002049545,2,04,A9545,10PE00154
2007053328,2,05,H3328,10PE00156
2008054341,2,05,H4341,10PE00159
2005051733,2,05,H1733,10PE00161
2009055520,2,05,H5520,10PE00164
2009054840,2,05,H4840,10PE00165
2008054449,2,05,H4449,10PE00166
2005051724,2,05,H1724,10PE00168
2008053857,2,05,H3857,10PE00170
2005051839,2,05,H1839,10PE00172
2009055241,2,05,H5241,10PE00174
2004051269,2,05,H1269,10PE00176
2007053123,2,05,H3123,10PE00178
2008054208,2,05,H4208,10PE00180
2004051177,2,05,H1177,10PE00182
2003050484,2,05,H0484,10PE00184
2002049511,2,04,A9511,10PE00187
2005051425,2,05,H1425,10PE00190
2005052097,2,05,H2097,10PE00192
2007053676,2,05,H3676,10PE00194
2005051855,2,05,H1855,10PE00195
2007053454,2,05,H3454,10PE00197
2007053175,2,05,H3175,10PE00199
2007053174,2,05,H3174,10PE00201
2009055021,2,05,H5021,10PE00203
2008054101,2,05,H4101,10PE00204
2006052355,2,05,H2355,10PE00206
2009055456,2,05,H5456,10PE00207
2005051608,2,05,H1608,10PE00209
2007053343,2,05,H3343,10PE00213
2006052278,2,05,H2278,10PE00214
2007053345,2,05,H3345,10PE00216
2007053632,2,05,H3632,10PE00217
2006052758,2,05,H2758,10PE00218
2007053137,2,05,H3137,10PE00220
2006052349,2,05,H2349,10PE00223
2007053395,2,05,H3395,10PE00225
2008054322,2,05,H4322,10PE00227
2008054093,2,05,H4093,10PE00229
2004050987,2,05,H0987,10PE00231
2008054383,2,05,H4383,10PE00233
2009055114,2,05,H5114,10PE00235
2008054512,2,05,H4512,10PE00237
2004051342,2,05,H1342,10PE00239
2009055430,2,05,H5430,10PE00241
2008054499,2,05,H4499,10PE00243
2006052687,2,05,H2687,10PE00245
2007053087,2,05,H3087,10PE00248
2007053458,2,05,H3458,10PE00250
2003050495,2,05,H0495,10PE00253
2004050896,2,05,H0896,10PE00256
2007053528,2,05,H3528,10PE00259
2008054486,2,05,H4486,10PE00261
2008054017,2,05,H4017,10PE00263
2005051903,2,05,H1903,10PE00265
2007053153,2,05,H3153,10PE00268
2007053033,2,05,H3033,10PE00271
2005052018,2,05,H2018,10PE00274
2006052404,2,05,H2404,10PE00276
2009055392,2,05,H5392,10PE00278
2008054248,2,05,H4248,10PE00280
2007053493,2,05,H3493,10PE00282
2007053518,2,05,H3518,10PE00284
2008054560,2,05,H4560,10PE00286
2009054655,2,05,H4655,10PE00289
2007053658,2,05,H3658,10PE00290
2006052462,2,05,H2462,10PE00292
2009055372,2,05,H5372,10PE00295
2009055251,2,05,H5251,10PE00296
2002049715,2,04,A9715,10PE00298
2007053469,2,05,H3469,10PE00301
2008053747,2,05,H3747,10PE00303
2008053934,2,05,H3934,10PE00305
2007053405,2,05,H3405,10PE00307
2008054201,2,05,H4201,10PE00310
2005051747,2,05,H1747,10PE00312
2008054438,2,05,H4438,10PE00314
2007053001,2,05,H3001,10PE00316
2005051627,2,05,H1627,10PE00319
2008054549,2,05,H4549,10PE00320
