id10,sex,breed,etag,first_seen_row
2008054211,1,05,H4211,10PE00001
2008054337,1,05,H4337,10PE00003
2008054357,1,05,H4357,10PE00005
2008053921,1,05,H3921,10PE00006
2008053967,1,05,H3967,10PE00011
2008000965,1,00,0965,10PE00023
2008054155,1,05,H4155,10PE00024
2008054164,1,05,H4164,10PE00026
2008053779,1,05,H3779,10PE00035
2008054386,1,05,H4386,10PE00042
2008000172,1,00,0172,10PE00045
2007000706,1,00,0706,10PE00048
2007053545,1,05,H3545,10PE00053
2007007142,1,00,7142,10PE00056
2008053872,1,05,H3872,10PE00057
2008053858,1,05,H3858,10PE00060
2007000647,1,00,0647,10PE00062
2008000101,1,00,0101,10PE00069
2007000712,1,00,0712,10PE00087
2008000420,1,00,0420,10PE00107
2008054186,1,05,H4186,10PE00111
2008009057,1,00,H9057,10PE00116
2008117405,1,11,R7405,10PE00972
2008000190,1,00,0190,10PE00973
2008117297,1,11,R7297,10PE00976
2007116942,1,11,R6942,10PE00979
2007116768,1,11,R6768,10PE00984
2008117255,1,11,R7255,10PE00986
2008117243,1,11,R7243,10PE00987
2008117344,1,11,R7344,10PE00989
2007007234,1,00,7234,10PE00990
2007000026,1,00,0026,10PE00994
2008000814,1,00,0814,10PE00998
2008000292,1,00,0292,10PE00999
2008117395,1,11,R7395,10PE01010
2006002143,1,00,2143,10PE01023
2008000071,1,00,0071,10PE01042
2007000750,1,00,0750,10PE01067
2008117353,1,11,R7353,10PE01130
2008000082,1,00,R82,10PE01157
2008117365,1,11,R7365,10PE01234
2007116633,1,11,R6633,10PE01403
2008451960,1,45,T1960,10PE01556
2007451486,1,45,T1486,10PE01558
2008451926,1,45,T1926,10PE01560
2007451609,1,45,T1609,10PE01562
2008452224,1,45,T2224,10PE01563
2008452028,1,45,T2028,10PE01564
2008451923,1,45,T1923,10PE01568
2008452322,1,45,T2322,10PE01570
2008451982,1,45,T1982,10PE01571
2008451949,1,45,T1949,10PE01575
2008451894,1,45,T1894,10PE01577
2008452044,1,45,T2044,10PE01580
2007451615,1,45,T1615,10PE01582
2008452247,1,45,T2247,10PE01583
2008452281,1,45,T2281,10PE01614
2006450863,1,45,T0863,10PE01707
2007451319,1,45,T1319,10PE01764
2008452037,1,45,T2037,10PE01816
2008452235,1,45,T2235,10PE02153
2007451661,1,45,T1661,10PE02209
2008644321,1,64,K4321,10PE02248
2008644272,1,64,K4272,10PE02252
2008644267,1,64,K4267,10PE02254
2007644107,1,64,K4107,10PE02267
2008644312,1,64,K4312,10PE02313
2007643879,1,64,K3879,10PE02332
2006000535,1,00,0535,10PE02353
2008644306,1,64,K4306,10PE02359
2008825716,1,82,X5716,10PE02379
2008826090,1,82,X6090,10PE02380
2008826950,1,82,X6950,10PE02384
2008825725,1,82,X5725,10PE02388
2008826816,1,82,X6816,10PE02390
2008825950,1,82,X5950,10PE02392
2008825863,1,82,X5863,10PE02399
2008826640,1,82,X6640,10PE02412
2008826670,1,82,X6670,10PE02427
2006823521,1,82,X3521,10PE02447
2008826617,1,82,X6617,10PE02454
2009700002,1,70,L0002,10PE02469
2008825692,1,82,X5692,10PE02470
2008826374,1,82,X6374,10PE02471
2007824409,1,82,X4409,10PE02614
2008826506,1,82,X6506,10PE02615
2008826687,1,82,X6687,10PE02617
2008826042,1,82,X6042,10PE02619
2007825140,1,82,X5140,10PE02620
2008825886,1,82,X5886,10PE02622
2008000091,1,00,0091,10PE02624
2008826539,1,82,X6539,10PE02629
2008644233,1,64,K4233,10PE02633
2007643987,1,64,K3987,10PE02640
2007825398,1,82,X5398,10PE02653
2008826025,1,82,X6025,10PE02659
2008000017,1,00,0027,10PE02663
2008826775,1,82,X6775,10PE02667
2008826217,1,82,X6217,10PE02674
2007644090,1,64,K4090,10PE02687
2008008110,1,00,8110,10PE02696
2008826202,1,82,X6202,10PE02725
2007824570,1,82,X4570,10PE02769
2008826430,1,82,X6430,10PE02871
2008644327,1,64,K4327,10PE02983
2007000335,1,00,20335,10PE03026
2009055075,1,05,H5075,10PE03029
2008644203,1,64,K4203,10PE03044
2007000388,1,00,20388,10PE03049
2007000390,1,00,20390,10PE03061
2007000645,1,00,20645,10PE03075
2007000353,1,00,20353,10PE03122
2007000454,1,00,20454,10PE03141
2007000371,1,00,20371,10PE03182
2007825391,1,82,X5391,10PE03681
2009055434,1,05,H5434,11PE00001
2009055285,1,05,H5285,11PE00002
2009054871,1,05,H4871,11PE00003
2009055183,1,05,H5183,11PE00006
2009055154,1,05,H5154,11PE00012
2009054663,1,05,H4663,11PE00021
2009055136,1,05,H5136,11PE00023
2009055110,1,05,H5110,11PE00027
2009055142,1,05,H5142,11PE00030
2009006529,1,00,H6529,11PE00038
2009006530,1,00,H6530,11PE00043
2009006531,1,00,H6531,11PE00047
2009006534,1,00,H6534,11PE00049
2009006532,1,00,H6532,11PE00052
2009054723,1,05,H4723,11PE00058
2009006533,1,00,H6533,11PE00095
2008006528,1,00,H6528,11PE00100
2009054806,1,05,H4806,11PE00105
2008008639,1,00,R8639,11PE00718
2009117507,1,11,R7507,11PE00871
2009008644,1,00,R8644,11PE00872
2009008642,1,00,R8642,11PE00873
2009117710,1,11,R7710,11PE00874
2009117690,1,11,R7690,11PE00875
2009008646,1,00,R8646,11PE00877
2009117912,1,11,R7912,11PE00879
2009117654,1,11,R7654,11PE00883
2009008640,1,00,R8640,11PE00900
2009008641,1,00,R8641,11PE00906
2009008643,1,00,R8643,11PE00920
2009008645,1,00,R8645,11PE00962
2009117651,1,11,R7651,11PE01012
2008000179,1,00,0179,11PE01039
2009117521,1,11,R7521,11PE01117
2009452451,1,45,T2451,11PE01359
2009452718,1,45,T2718,11PE01361
2009452424,1,45,T2424,11PE01364
2009452648,1,45,T2648,11PE01370
2009452612,1,45,T2612,11PE01371
2009452734,1,45,T2734,11PE01392
2009452482,1,45,T2482,11PE01395
2009452566,1,45,T2566,11PE01440
2008004737,1,00,K4737,11PE02421
2009644423,1,64,K4423,11PE02424
2007644025,1,64,K4025,11PE02438
2009644523,1,64,K4523,11PE02502
2007644044,1,64,K4044,11PE02503
2009827402,1,82,X7402,11PE02535
2009827737,1,82,X7737,11PE02537
2009827353,1,82,X7353,11PE02539
2009827416,1,82,X7416,11PE02543
2009827894,1,82,X7894,11PE02544
2009827276,1,82,X7276,11PE02554
2009700022,1,70,L0022,11PE02559
2009700018,1,70,L0018,11PE02564
2008826749,1,82,X6749,11PE02569
2009827303,1,82,X7303,11PE02631
2009700011,1,70,L0011,11PE02652
2009827702,1,82,X7702,11PE02716
2009827605,1,82,X7605,11PE02735
2009827237,1,82,X7237,11PE02800
2009827224,1,82,X7224,11PE02806
2009827352,1,82,X7352,11PE02851
2009055144,1,05,H5144,11PE02854
2009827364,1,82,X7364,11PE02856
2009827440,1,82,X7440,11PE02858
2009827709,1,82,X7709,11PE02875
2009827343,1,82,X7343,11PE02880
2009827326,1,82,X7326,11PE02885
2009827321,1,82,X7321,11PE02891
2009827419,1,82,X7419,11PE02899
2009827486,1,82,X7486,11PE02943
2009827287,1,82,X7287,11PE03059
2008000538,1,00,0538,11PE03241
2008000551,1,00,0551,11PE03246
2008000333,1,00,0333,11PE03251
2008000075,1,00,0075,11PE03252
2008000010,1,00,0010,11PE03265
2008000345,1,00,0345,11PE03266
2009644434,1,64,K4434,12PE01540
2009644438,1,64,K4438,12PE01546
2009827415,1,82,X7415,12PE02419
2009452632,1,45,T2632,13PE01038
2000000738,1,00,S0738,16PE00311
