id10,brd,sex
US82105968,10,1
US82106790,10,1
US82105703,10,1
US82105956,10,1
US82106766,10,1
US82106286,10,1
US82105872,10,1
US82102894,10,1
US82106100,10,1
US82106079,10,1
US82106401,10,1
US82106743,10,1
US82106469,10,1
US82106426,10,1
US82106396,10,1
US82106170,10,1
US82106092,10,1
US82106764,10,1
US82106022,10,1
US82106037,10,1
US82106233,10,1
US82106655,10,1
US82105896,10,1
US82106491,10,1
US82106068,10,1
US82105800,10,1
US82105814,10,1
US82105932,10,1
US82106274,10,1
US82106694,10,1
US82105830,10,1
US82106784,10,1
US82106441,10,1
US82105760,10,1
US82106366,10,1
US82106840,10,1
US82105882,10,1
US82106453,10,1
US82105795,10,1
US82106600,10,1
US82106280,10,1
2008644321,64,1
2009827402,82,1
2009055136,05,1
US45102637,10,1
US82115465,11,1
2009827276,82,1
2008452224,45,1
2009827353,82,1
2009054723,05,1
2009452648,45,1
US45101756,10,1
US82106227,10,1
US05102199,10,1
2009452566,45,1
US64114577,11,1
2009827416,82,1
US82106272,10,1
US81108105,10,1
2008452281,45,1
2008825716,82,1
2008054211,05,1
2007824409,82,1
2008826217,82,1
US64102480,10,1
2008451960,45,1
US45101312,10,1
2009452734,45,1
US64114588,11,1
2007825140,82,1
2007451661,45,1
US45102806,10,1
US05105491,10,1
2008000010,00,1
US82102505,10,1
2008826506,82,1
2008826090,82,1
US64102878,10,1
US82115019,11,1
US82105784,10,1
2007451486,45,1
2008451926,45,1
2007451609,45,1
US82107900,10,1
US82108075,10,1
2009006532,00,1
2009644423,64,1
2008826687,82,1
2008826042,82,1
2008054337,05,1
2008452028,45,1
2009827737,82,1
US64104353,10,1
2009827894,82,1
US82112985,11,1
US05102699,10,1
2008644312,64,1
2008825886,82,1
2008644272,64,1
2008000091,00,1
2009055142,05,1
2008644267,64,1
2008451923,45,1
2008826950,82,1
2008826539,82,1
2008452322,45,1
2008825725,82,1
2008644233,64,1
2007643987,64,1
2009452424,45,1
2008451982,45,1
2008451949,45,1
2007825398,82,1
2008826025,82,1
2008451894,45,1
2008826816,82,1
2008000017,00,1
2008452044,45,1
2007451615,45,1
2008826775,82,1
2006000535,00,1
2008452247,45,1
US04102057,10,1
2009006534,00,1
2008825950,82,1
US82107682,10,1
US11107349,10,1
US82100963,10,1
2008004737,00,1
US05104907,10,1
2007644090,64,1
2007644107,64,1
US82108119,10,1
2008825863,82,1
2010644665,64,1
2008008110,00,1
2008826202,82,1
2008000965,00,1
US82107745,10,1
2008826640,82,1
US82117565,11,1
US82107941,10,1
2008054357,05,1
2009006531,00,1
US82105385,10,1
US64107983,10,1
US64108015,10,1
US82107877,10,1
2008826670,82,1
2008053921,05,1
2007824570,82,1
2006450863,45,1
US82107687,10,1
US82107825,10,1
US82102683,10,1
2008053967,05,1
US81109546,10,1
US30103085,10,1
US64107866,10,1
2006823521,82,1
US81109924,10,1
US82102805,10,1
US82102952,10,1
US64117905,11,1
US82102827,10,1
2007451319,45,1
US82114711,11,1
2009827440,82,1
US11103030,10,1
US64102068,10,1
US45102687,10,1
US82105059,10,1
US82103083,10,1
2008826617,82,1
US82105239,10,1
2009117912,11,1
US82104531,10,1
US82105448,10,1
US82102623,10,1
US11106620,10,1
2009008645,00,1
2009827364,82,1
US82102988,10,1
US05105254,10,1
US82102825,10,1
2008826430,82,1
US64104593,10,1
US82104331,10,1
US82101674,10,1
2009700002,70,1
US82107996,10,1
2008452037,45,1
2008825692,82,1
2008826374,82,1
US82102634,10,1
US82103058,10,1
US82105181,10,1
US82103511,10,1
US82105217,10,1
US45101847,10,1
US82103044,10,1
US82107567,10,1
US45102154,10,1
2009054663,05,1
US82105216,10,1
US82105083,10,1
US82106507,10,1
US82103462,10,1
US82102998,10,1
US82112653,11,1
US82112998,11,1
US05102682,10,1
2007644025,64,1
2009700011,70,1
US82117754,11,1
US82103669,10,1
US45102508,10,1
US82108021,10,1
US05105419,10,1
US82101514,10,1
US82104823,10,1
2010453205,45,1
US82107917,10,1
US82100813,10,1
US64103682,10,1
US82107901,10,1
US64117834,11,1
2009006529,00,1
US05103195,10,1
US82107980,10,1
US82106923,10,1
US64104626,10,1
2008644327,64,1
US82105042,10,1
2008054155,05,1
2008054164,05,1
US82107948,10,1
US82102587,10,1
US11105109,10,1
US45102498,10,1
US05103179,10,1
US00107594,10,1
US82108099,10,1
2008053779,05,1
US05104810,10,1
2008054386,05,1
2008000172,00,1
US05102997,10,1
US05102201,10,1
2008117405,11,1
US82108160,10,1
2007000706,00,1
US64107944,10,1
US82107791,10,1
2008000190,00,1
2007000335,00,1
2007053545,05,1
2009055075,05,1
2007007142,00,1
2008053872,05,1
2009055110,05,1
US05105092,10,1
US82107614,10,1
2008053858,05,1
US82104651,10,1
2008000101,00,1
US45102624,10,1
2008644203,64,1
2008117297,11,1
US82101237,10,1
2007643879,64,1
2007000647,00,1
2007000388,00,1
US82107984,10,1
US64104269,10,1
2007116942,11,1
2007000712,00,1
US45102595,10,1
2007000390,00,1
US64114459,11,1
US05105026,10,1
US45102770,10,1
US82118115,11,1
2007000645,00,1
US82104899,10,1
2008000420,00,1
2009054806,05,1
2008054186,05,1
2008009057,00,1
US05103115,10,1
US82105137,10,1
2007116768,11,1
US64105528,10,1
US64107859,10,1
2008117255,11,1
US82104665,10,1
US82104527,10,1
2008117243,11,1
2007000353,00,1
US82107833,10,1
US82104744,10,1
2008117344,11,1
US82104765,10,1
2007007234,00,1
US82107985,10,1
US45102810,10,1
2007000454,00,1
2007000026,00,1
2008000814,00,1
US82104385,10,1
US82108070,10,1
2008000292,00,1
US64107930,10,1
2008117395,11,1
US82105187,10,1
US82105153,10,1
2008000538,00,1
US82107777,10,1
US64104822,10,1
US11107498,10,1
US82107731,10,1
2006002143,00,1
US05101223,10,1
US64107711,10,1
US64104199,10,1
2007000371,00,1
US82104775,10,1
US45102744,10,1
US00107383,10,1
US82105450,10,1
2008452235,45,1
2007000750,00,1
2008000071,00,1
US64107882,10,1
US82107456,10,1
2009452612,45,1
US64105288,10,1
US64105262,10,1
US82107967,10,1
US64107876,10,1
US82108191,10,1
US82107906,10,1
US82105344,10,1
US82106706,10,1
2009008640,00,1
US64107918,10,1
US64108109,10,1
US45102455,10,1
US64104817,10,1
2009008643,00,1
US82107989,10,1
US82103481,10,1
US82105266,10,1
US82107801,10,1
US45102525,10,1
2008117353,11,1
US45102518,10,1
US82105188,10,1
US64104767,10,1
US00107570,10,1
US45102471,10,1
US64105336,10,1
US82108071,10,1
US82103838,10,1
US82108110,10,1
2009700018,70,1
US82108116,10,1
US45102636,10,1
2008000082,00,1
US82107881,10,1
US82103846,10,1
US82105010,10,1
US82103802,10,1
US82107358,10,1
US82105089,10,1
US82105223,10,1
US64107977,10,1
US82104664,10,1
US82101087,10,1
US05104204,10,1
US82104834,10,1
US64108274,10,1
US64107482,10,1
US82108195,10,1
US82107968,10,1
US82107942,10,1
US82104599,10,1
US82105214,10,1
US82108048,10,1
US82107536,10,1
US82104627,10,1
US82104884,10,1
US82105043,10,1
US45102570,10,1
US64108129,10,1
US82102898,10,1
US82107925,10,1
US82104336,10,1
US11108039,10,1
US82108127,10,1
US82108173,10,1
US82101919,10,1
US45102746,10,1
US82101895,10,1
US82107962,10,1
2010453164,45,1
US82105027,10,1
US82104911,10,1
US64107572,10,1
US82107589,10,1
US82101541,10,1
2008117365,11,1
US64107909,10,1
US82106468,10,1
US64105045,10,1
US82105085,10,1
US05100834,10,1
US82104376,10,1
US82107714,10,1
US82100846,10,1
US82105355,10,1
US82105496,10,1
US82105964,10,1
2009452451,45,1
2009452482,45,1
US45102375,10,1
US05104494,10,1
US82102332,10,1
US45102533,10,1
US45102700,10,1
US45102694,10,1
US82105493,10,1
US45102567,10,1
US64108063,10,1
US82108076,10,1
US82107775,10,1
US64107774,10,1
US82107836,10,1
US82107646,10,1
US82106073,10,1
US82107575,10,1
US45102515,10,1
US11107944,10,1
US82102002,10,1
US82101056,10,1
US82108176,10,1
US45102697,10,1
US82105186,10,1
US82108172,10,1
