UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
92BR00001,K1830,86,2,61,,601,1,152,3,1,,
92BR00002,K1831,86,2,61,,803,1,147,3,1,,ABT.3/11/91
92BR00003,K1848,86,2,61,,HMD,1,176,2,A,2,L.EYE.CONJ.
92BR00004,K1849,86,2,61,,602,1,168,3,1,,
92BR00005,K1880,86,2,60,,603,1,162,3,1,,FLTS
92BR00006,K1882,86,2,61,,813,1,172,4,1,,
92BR00007,K1883,86,2,60,,823,1,184,3,1,,ULCER.R.EYE
92BR00008,K1884,86,2,60,,HMD,1,168,3,A,3,
92BR00009,K1907,86,2,61,,HMD,1,156,3,A,2,
92BR00010,K1910,86,2,63,29C,-Z-,1,162,2,L,,
92BR00011,K1919,86,2,63,,604,1,160,2,1,,
92BR00012,K1923,86,2,68,,601,1,177,3,1,,
92BR00013,K1939,86,2,63,,833,1,186,3,1,,BIG BAG
92BR00014,K1942,86,2,60,30A,-Z-,1,155,2,L,,
92BR00015,K1949,86,2,60,29A,-Z-,1,156,2,L,,
92BR00016,K1950,86,2,60,,602,1,180,3,1,,
92BR00017,K1966,86,2,68,32C,843,1,136,3,1,,
92BR00018,K1971,86,2,60,,853,1,186,2,1,,
92BR00019,K1997,86,2,60,,HMD,1,164,3,A,3,
92BR00020,K2001,86,2,61,,603,1,190,4,1,,
92BR00021,K2005,86,2,61,,863,1,148,2,1,,
92BR00022,K2016,86,2,60,,604,1,166,2,1,,
92BR00023,K2030,86,2,63,,HMD,1,213,3,A,2,AB.REAR
92BR00024,K2056,86,2,61,,HMD,1,185,2,A,3,
92BR00025,K2057,86,2,61,30B,-Z-,1,156,2,L,,
92BR00026,K2067,86,2,60,30A,-Z-,1,166,2,L,,SW.BAG
92BR00027,K2099,86,2,68,,602,1,191,3,1,,
92BR00028,K2117,86,2,68,,873,1,169,3,1,,
92BR00029,K2123,86,2,63,,601,1,172,3,1,,
92BR00030,K2145,86,2,61,,603,1,160,3,1,,
92BR00031,K2161,86,2,63,,883,1,165,2,1,,"LT,4TEATS"
92BR00032,K2166,86,2,60,31B,-Z-,1,174,3,L,,
92BR00033,K2196,86,2,61,,893,1,177,3,1,,SW.BAG
92BR00034,K2224,86,2,63,,HMD,1,180,4,A,2,
92BR00035,K2228,86,2,61,29A,HMD,1,154,2,A,3,
92BR00036,K2248,86,2,61,,604,1,174,3,1,,
92BR00037,K2265,86,2,68,,603,1,157,2,1,,SW.BAG4TEATS
92BR00038,K2281,86,2,61,,903,1,166,3,1,,
92BR00039,K2282,86,2,61,,HMD,1,189,3,A,2,SW.BAG
92BR00040,K2313,86,2,63,,601,1,204,3,1,,
92BR00041,K2340,86,2,63,,913,1,180,2,1,,
92BR00042,K2362,86,2,68,,803,1,193,2,1,,
92BR00043,K2403,86,2,68,34D,-Z-,1,128,2,L,,
92BR00044,K2405,86,2,68,31B,-Z-,1,161,2,L,,
92BR00045,K2406,86,2,68,30B,-Z-,1,170,2,L,,
