UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR00001,A0113,1.0,82,, 27,2,0,W
94BR00002,A0147,1.0,81,, 02,2,0,W
94BR00003,A0153,1.0,82,, 29,2,0,W
94BR00004,A0152,1.0,81,, 04,2,0,W
94BR00005,A0165,1.0,81,, 01,2,0,W
94BR00006,A0166,1.0,81,, 02,2,0,W
94BR00007,A0162,1.0,82,FOUNDER '94, 30,2,0,W
94BR00008,A0120,1.0,82,, 28,2,0,W
94BR00009,A0129,1.0,81,, 03,2,0,W
94BR00010,A0181,1.0,81,, 04,2,0,W
94BR00011,A0184,1.0,82,, 20,2,0,W
94BR00012,A0185,1.0,82,, 21,2,0,W
94BR00013,A0187,1.0,82,, 22,2,0,W
94BR00014,A0171,1.0,82,, 31,2,0,W
94BR00015,A0013,1.0,82,, 20,2,0,W
94BR00016,A0039,1.0,81,, 01,2,0,W
94BR00017,A0037,1.0,82,KEEP, 21,2,0,W
94BR00018,A0051,1.0,82,, 23,2,0,W
94BR00019,A0050,1.0,82,, 22,2,0,W
94BR00020,A0058,1.0,82,, 24,2,0,W
94BR00021,A0068,1.0,82,, 25,2,0,W
94BR00022,A0084,1.0,82,, 26,2,0,W
94BR00023,A0315,0.6,73,, 42,2,6,W
94BR00024,A0317,0.6,73,, 43,2,6,W
94BR00025,A0302,0.6,73,, 44,2,6,W
94BR00026,A0333,0.6,73,, 43,2,6,W
94BR00027,A0332,0.6,73,, 42,2,6,W
94BR00028,A0351,0.6,73,, 44,2,6,W
94BR00029,A0354,0.6,72,, 41,2,6,W
94BR00030,A0355,0.6,73,, 42,2,6,W
94BR00031,A0357,0.6,73,, 43,2,6,W
94BR00032,A0361,0.6,72,, 44,2,6,W
94BR00033,A0366,0.6,73,, 41,2,6,W
94BR00034,A0320,0.6,73,, 41,2,6,W
94BR00035,A0326,0.6,73,, 44,2,6,W
94BR00036,A0328,0.6,73,IDX144, 41,2,6,W
94BR00037,A0387,0.6,72,, 44,2,6,W
94BR00038,A0395,0.6,73,, 41,2,6,W
94BR00039,A0397,0.6,73,, 42,2,6,W
94BR00040,A0375,0.6,72,, 42,2,6,W
94BR00041,A0379,0.6,72,, 43,2,6,W
94BR00042,A0411,0.6,73,, 41,2,6,W
94BR00043,A0401,0.6,73,, 43,2,6,W
94BR00044,A0407,0.6,73,, 44,2,6,W
94BR00045,A0433,0.6,73,, 41,2,6,W
94BR00046,A0445,0.6,73,, 42,2,6,W
94BR00047,A0446,0.6,73,, 43,2,6,W
94BR00048,A0448,0.6,72,, 44,2,6,W
94BR00049,A0455,0.6,73,, 41,2,6,W
94BR00050,A0456,0.6,73,, 42,2,6,W
94BR00051,A0460,0.6,73,, 43,2,6,W
94BR00052,A0468,0.6,73,, 41,2,6,W
94BR00053,A0424,0.6,72,, 42,2,6,W
94BR00054,A0425,0.6,73,, 43,2,6,W
94BR00055,A0428,0.6,73,, 44,2,6,W
94BR00056,A0480,0.6,73,IDX127, 44,2,6,W
94BR00057,A0490,0.6,73,, 41,2,6,W
94BR00058,A0495,0.6,73,, 42,2,6,W
94BR00059,A0497,0.6,73,, 43,2,6,W
94BR00060,A0473,0.6,72,, 44,2,6,W
94BR00061,A0476,0.6,73,, 42,2,6,W
94BR00062,A0479,0.6,73,, 43,2,6,W
94BR00063,A0510,0.6,73,, 42,2,6,W
94BR00064,A0508,0.6,73,, 44,2,6,W
94BR00065,A0509,0.6,73,, 41,2,6,W
94BR00066,A0531,0.6,73,, 41,2,6,W
94BR00067,A0530,0.6,73,, 44,2,6,W
94BR00068,A0541,0.6,73,, 42,2,6,W
94BR00069,A0545,0.6,73,, 43,2,6,W
94BR00070,A0551,0.6,73,, 41,2,6,W
94BR00071,A0550,0.6,73,, 44,2,6,W
94BR00072,A0555,0.6,73,, 42,2,6,W
94BR00073,A0558,0.6,73,, 44,2,6,W
94BR00074,A0564,0.6,72,, 43,2,6,W
94BR00075,A0520,0.6,73,, 43,2,6,W
94BR00076,A0584,0.6,73,, 43,2,6,W
94BR00077,A0589,0.6,73,, 44,2,6,W
94BR00078,A0598,0.6,72,, 42,2,6,W
94BR00079,A0570,0.6,73,, 41,2,6,W
94BR00080,A0601,0.6,72,, 41,2,6,W
94BR00081,A0603,0.6,72,, 43,2,6,W
94BR00082,A0605,0.6,72,, 44,2,6,W
94BR00083,A0602,0.6,73,, 42,2,6,W
94BR00084,A0210,1.0,81,, 03,2,0,W
94BR00085,A0214,1.0,82,WOUND L SHOU, 23,2,0,W
94BR00086,A0218,1.0,82,, 24,2,0,W
94BR00087,A0241,1.0,00,BLACK,972,1,1,W
94BR00088,A0255,0.6,73,, 42,2,6,W
94BR00089,A0252,0.6,73,, 41,2,6,W
94BR00090,A0258,0.6,72,, 44,2,6,W
94BR00091,A0257,0.6,72,, 43,2,6,W
94BR00092,A0269,0.6,73,, 41,2,6,W
94BR00093,A0282,0.6,73,IDX131, 44,2,6,W
94BR00094,A0287,0.6,73,, 41,2,6,W
94BR00095,A0291,0.6,72,, 43,2,6,W
94BR00096,A0290,0.6,72,, 42,2,6,W
94BR00097,A0271,0.6,73,, 42,2,6,W
94BR00098,A0276,0.6,73,, 43,2,6,W
94BR00099,A0004,1.0,00,BLACK,971,1,1,W
94BR00100,K3115,6.0,61,FLTS, 12,1,0,W
94BR00101,K3181,6.0,60,, 01,1,0,W
94BR00102,K3010,7.0,60,, 04,1,0,W
94BR00103,K3035,7.0,62,FLT, 71,1,0,W
94BR00104,K3053,7.0,68,DYSTOCIA, 51,1,0,W
94BR00105,K3062,6.0,68,, 53,1,0,W
94BR00106,K3340,6.0,60,, 52,1,0,W
94BR00107,K3368,6.0,61,RETAG S #2, 14,1,0,W
94BR00108,K3391,6.0,61,THIN 94, 11,1,0,W
94BR00109,K3403,6.0,62,, 67,1,0,W
94BR00110,K3464,6.0,60,, 02,1,0,W
94BR00111,K3604,6.0,62,FIRM RP 94, 54,1,0,W
94BR00112,K3688,6.0,61,, 12,1,0,W
94BR00113,K3249,6.0,62,, 66,1,0,W
94BR00114,K3272,6.0,61,, 13,1,0,W
94BR00115,K3835,5.0,62,, 60,1,0,W
94BR00116,K3885,5.0,62,, 62,1,0,W
94BR00117,K3888,5.0,61,, 14,1,0,W
94BR00118,K3898,5.0,61,, 54,1,0,W
94BR00119,K3872,5.0,68,SW BAG, 53,1,0,W
94BR00120,K3909,5.0,61,, 11,1,0,W
