UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,COND,UREA,WORK,AISIRE
95BR00001, 1031,3.0,48,,415,2,I,0,0.0,o,W,
95BR00002, 1036,6.0,18,,45,1,I,0,0.0,o,W,
95BR00003, 1032,3.0,48,ENTR,412,2,I,0,0.0,o,W,
95BR00004, 1043,4.0,48,,415,2,I,0,0.0,o,W,
95BR00005, 1042,4.0,18,SAVE not SPG,45,1,I,0,0.0,o,W,
95BR00006, 1049,2.0,18,,45,1,I,0,0.0,o,W,
95BR00007, 1069,4.0,18,,41,1,I,0,0.0,o,W,
95BR00008, 1080,3.0,48,,414,2,I,0,0.0,o,W,
95BR00009, 1083,6.0,18,,43,1,I,0,0.0,o,W,
95BR00010, 1077,2.0,18,,45,1,I,0,0.0,o,W,
95BR00011, 1510,3.0,18,CUTS R LEGS,45,1,I,0,0.0,o,W,
95BR00012, 1516,3.0,48,,415,2,I,0,0.0,o,W,
95BR00013, 1519,3.0,48,TAG by FENCE,415,2,I,0,0.0,o,W,
95BR00014, 1507,4.5,48,,415,2,I,0,0.0,o,W,
95BR00015, 1533,3.0,48,,415,2,I,0,0.0,o,W,
95BR00016, 1536,6.0,18,,45,1,I,0,0.0,o,W,
95BR00017, 1542,4.0,48,,415,2,I,0,0.0,o,W,
95BR00018, 1553,3.0,48,,415,2,I,0,0.0,o,W,
95BR00019, 1520,3.0,18,,45,1,I,0,0.0,o,W,
95BR00020, 1524,3.0,48,,415,2,I,0,0.0,o,W,
95BR00021,  514,3.5,48,,415,2,I,0,0.0,o,W,
95BR00022,  509,3.0,48,,411,2,I,0,0.0,o,W,
95BR00023,  540,6.0,18,,45,1,I,0,0.0,o,W,
95BR00024,  549,2.0,18,,45,1,I,0,0.0,o,W,
95BR00025,  551,4.0,48,,415,2,I,0,0.0,o,W,
95BR00026,  523,4.0,48,,415,2,I,0,0.0,o,W,
95BR00027, 4009,5.0,48,,414,2,I,0,0.0,o,W,
95BR00028, 4513,3.0,18,"5BAG,LUMP",45,1,I,0,0.0,o,W,
95BR00029, 4519,3.0,48,ENTR,413,2,I,0,0.0,o,W,
