UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,COND,WORK
96BR00001,A1116,2.0,ch,ORPHAN,ai2,2,2,118,0,W
96BR00002,A1101,2.0,81,ENTR 1EYE,02,2,0,155,0,W
96BR00003,A1103,2.0,81,,03,2,0,180,0,W
96BR00004,A1109,2.0,73,4TEATS,5,F,6,145,0,W
96BR00005,A1131,2.0,ch,4TEATS,ai2,2,2,163,0,W
96BR00006,A1133,2.0,ch,4TEATS,ai2,2,2,131,0,W
96BR00007,A1134,2.0,ch,,ai2,2,2,151,0,W
96BR00008,A1141,2.0,73,,6,F,6,164,0,W
96BR00009,A1142,2.0,73,X L TEAT ???,7,F,6,0,0,W
96BR00010,A1151,2.0,81,,ai0,2,0,172,0,W
96BR00011,A1154,2.0,ch,,ai2,2,2,200,0,W
96BR00012,A1157,2.0,81,THIN 96,01,2,0,143,0,W
96BR00013,A1161,2.0,ch,,ai2,2,2,140,0,W
96BR00014,A1169,2.0,ch,,ai2,2,2,132,0,W
96BR00015,A1121,2.0,ch,ORPHAN,ai2,2,2,133,0,W
96BR00016,A1125,2.0,ch,4TEATS,ai2,2,2,161,0,W
96BR00017,A1129,2.0,ch,,ai2,2,2,119,0,W
96BR00018,A1183,2.0,81,,02,2,0,160,0,W
96BR00019,A1177,2.0,ch,4TEATS,ai2,2,2,189,0,W
96BR00020,A1011,2.0,73,,5,F,6,0,0,W
96BR00021,A1014,2.0,81,,03,2,0,183,0,W
96BR00022,A1043,2.0,73,4TEATS,4,F,6,0,0,W
96BR00023,A1046,2.0,ch,,ai2,2,2,169,0,W
96BR00024,A1050,2.0,73,,6,F,6,0,0,W
96BR00025,A1053,2.0,73,,3,F,6,191,0,W
96BR00026,A1062,2.0,81,,02,2,0,173,0,W
96BR00027,A1024,2.0,81,,ai0,2,0,155,0,W
96BR00028,A1026,2.0,82,,28,2,0,153,0,W
96BR00029,A1085,2.0,82,DYSTOCIA 95,ai0,2,0,179,0,W
96BR00030,A1082,2.0,81,,03,2,0,174,0,W
96BR00031,A1088,2.0,ch,,ai2,2,2,116,0,W
96BR00032,A1089,2.0,81,,01,2,0,148,0,W
96BR00033,A1090,2.0,81,,ai0,2,0,146,0,W
96BR00034,A1096,2.0,ch,3TEATS,ai2,2,2,156,0,W
96BR00035,A1099,2.0,ch,,ai2,2,2,128,0,W
96BR00036,A1073,2.0,81,,01,2,0,138,0,W
96BR00037,A1074,2.0,81,,ai0,2,0,160,0,W
96BR00038,A1078,2.0,ch,,ai2,2,2,119,0,W
96BR00039,A1079,2.0,ch,,ai2,2,2,151,0,W
96BR00040,A1311,2.0,ch,,ai2,2,2,118,0,W
96BR00041,A1314,2.0,ch,,ai2,2,2,124,0,W
96BR00042,A1315,2.0,ch,ENTR,ai2,2,2,124,0,W
96BR00043,A1301,2.0,73,,1,F,6,167,0,W
96BR00044,A1331,2.0,82,,24,2,0,155,0,W
96BR00045,A1337,2.0,ch,,ai2,2,2,139,0,W
96BR00046,A1346,2.0,ch,SM BAG,ai2,2,2,142,0,W
96BR00047,A1347,2.0,ch,,ai2,2,2,144,0,W
96BR00048,A1351,2.0,73,HAIRY,1,F,6,0,0,W
96BR00049,A1358,2.0,82,,ai0,2,0,141,0,W
96BR00050,A1365,2.0,82,4TEATS,25,2,0,156,0,W
96BR00051,A1362,2.0,ch,,ai2,2,2,128,0,W
96BR00052,A1383,2.0,81,,03,2,0,145,0,W
96BR00053,A1397,2.0,81,,01,2,0,164,0,W
96BR00054,A1374,2.0,73,ENTR,3,F,6,0,0,W
96BR00055,A1404,2.0,81,4TEATS,ai0,2,0,169,0,W
96BR00056,A1439,2.0,82,,ai0,2,0,160,0,W
96BR00057,A1441,2.0,73,PG 0 9/9/96,4,F,6,132,0,W
96BR00058,A1440,2.0,73,,2,F,6,0,0,W
96BR00059,A1443,2.0,73,,3,F,6,0,0,W
96BR00060,A1449,2.0,82,SM BAG,27,2,0,201,0,W
96BR00061,A1451,2.0,82,,28,2,0,161,0,W
96BR00062,A1452,2.0,82,,ai0,2,0,173,0,W
96BR00063,A1428,2.0,82,4TEATS,26,2,0,162,0,W
96BR00064,A1493,2.0,81,,02,2,0,165,0,W
96BR00065,A1513,2.0,73,,5,F,6,0,0,W
96BR00066,A1517,1.5,73,"WEAK,IMM.",,F,6,116,0,W
96BR00067,A1503,2.0,82,,21,2,0,157,0,W
96BR00068,A1531,1.5,73,,,F,6,115,0,W
96BR00069,A1539,1.5,73,TRT REYE 9/18,,F,6,120,0,W
96BR00070,A1544,1.5,73,,,F,6,138,0,W
96BR00071,A1546,1.5,73,,,F,6,142,0,W
96BR00072,A1549,1.5,73,,,F,6,120,0,W
96BR00073,A1556,1.5,73,,,F,6,134,0,W
96BR00074,A1563,1.5,73,,,F,6,127,0,W
96BR00075,A1525,1.5,73,SUCK1SIDE,,F,6,134,0,W
96BR00076,A1527,1.5,73,,,F,6,115,0,W
96BR00077,A1587,1.5,73,,,F,6,110,0,W
