UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,GET,WORK
98BR00001, 1102,4.0,00,,L-,3,7,148,N,*
98BR00002, 1004,6.0,18,,L-,3,7,173,N,*
98BR00003, 1068,6.0,18,,L-,3,7,145,N,*
98BR00004, 1024,5.0,18,,L-,3,7,189,N,W
98BR00005, 1087,4.0,00,?ABORTED 4-30,L-,3,7,156,N,*
98BR00006, 1098,4.0,00,,L-,3,7,199,N,*
98BR00007, 1099,4.0,00,,L-,3,7,156,N,*
98BR00008, 1074,5.0,18,GOOD EWE,L-,3,7,145,N,*
98BR00009, 1558,5.0,18,"OUT,LAME",L-,3,7,186,N,*
98BR00010, 1564,4.0,00,,L-,3,7,203,N,*
98BR00011, 1566,4.0,00,,L-,3,7,169,N,*
98BR00012, 1562,4.0,00,,L-,3,7,202,N,*
98BR00013, 1572,4.0,00,,L-,3,7,152,N,*
98BR00014,  512,5.0,18,,L-,3,7,172,N,*
98BR00015,  533,6.0,18,TR96=2,L-,3,7,180,N,W
98BR00016,  532,5.0,00,,L-,3,7,153,N,*
98BR00017,  542,5.0,18,,L-,3,7,149,N,*
98BR00018,  553,5.0,00,LOST TAG#502,L-,3,7,169,N,*
98BR00019,  556,4.0,00,,L-,3,7,176,N,*
98BR00020,  565,4.0,00,,L-,3,7,166,N,*
98BR00021,  566,4.0,00,,L-,3,7,157,N,*
98BR00022,  562,4.0,00,,L-,3,7,158,N,*
98BR00023,  520,6.0,18,,L-,3,7,185,N,W
98BR00024,  580,4.0,00,4035=NEW580,L-,3,7,138,N,*
98BR00025,  573,4.0,00,"OLD101,NEW573",L-,3,7,174,N,*
98BR00026,  574,6.0,18,"OLD70,NEW574",L-,3,7,168,N,*
98BR00027,  575,4.0,00,"OLD96,NEW575",L-,3,7,163,N,*
98BR00028,  572,3.0,00,NEW ID = 572,L-,3,7,177,N,*
98BR00029,  578,5.0,18,"OLD38,NEW578",L-,3,7,164,N,*
98BR00030,  579,6.0,18,OLD1089NEW579,L-,3,7,143,N,*
98BR00031,  577,5.0,18,"OLD59,NEW577",L-,3,7,158,N,*
98BR00032, 4031,4.0,00,,L-,3,7,149,N,*
98BR00033, 4030,4.0,00,,L-,3,7,158,N,W
98BR00034, 4033,4.0,00,,L-,3,7,197,N,W
98BR00035, 4542,6.0,18,,L-,3,7,174,N,*
98BR00036, 4583,5.0,18,,L-,3,7,144,N,*
98BR00037, 4571,6.0,18,,L-,3,7,155,N,*
98BR00038, 4617,4.0,00,,L-,3,7,164,N,*
98BR00039, 4604,6.0,18,,L-,3,7,179,N,*
98BR00040, 4605,5.0,18,LUMP JAW,L-,3,7,161,N,*
98BR00041, 4607,5.0,18,DYSTOCIA+8803,L-,3,7,187,N,*
98BR00042, 4621,4.0,00,BAG 9,L-,3,7,178,N,*
98BR00043, 4620,4.0,00,,L-,3,7,166,N,*
98BR00044, 4622,4.0,00,SORE @MOUTH,L-,3,7,165,N,*
98BR00045, 5115,5.0,18,,L-,3,7,150,N,*
98BR00046, 5136,4.0,00,OPP? 01/09/96,L-,3,7,173,N,*
98BR00047, 5132,4.0,00,GRANNY,L-,3,7,141,N,*
98BR00048, 5138,4.0,00,,L-,3,7,156,N,*
98BR00049, 5143,4.0,00,,L-,3,7,158,N,*
98BR00050, 5145,4.0,00,,L-,3,7,154,N,*
98BR00051, 5152,4.0,00,,L-,3,7,172,N,*
98BR00052, 5127,4.0,00,,L-,3,7,155,N,*
98BR00053, 5013,6.0,18,,L-,3,7,167,N,*
98BR00054, 5015,6.0,18,,L-,3,7,173,N,*
98BR00055, 5005,6.0,18,,L-,3,7,156,N,*
98BR00056, 5032,5.0,00,,L-,3,7,157,N,*
98BR00057, 5045,5.0,18,,L-,3,7,200,N,W
98BR00058, 5053,5.0,00,,L-,3,7,174,N,*
98BR00059, 5022,5.0,00,,L-,3,7,181,N,*
98BR00060, 5080,6.0,18,,L-,3,7,153,N,*
98BR00061, 5099,5.0,18,,L-,3,7,151,N,*
98BR00062, 5073,5.0,18,,L-,3,7,143,N,*
98BR00063, 5072,6.0,18,FIX YTEX TAG,L-,3,7,155,N,*
98BR00064, 5504,5.0,00,,L-,3,7,152,N,*
98BR00065, 5508,5.0,18,SHED LAMBED95,L-,3,7,154,N,*
98BR00066, 5555,5.0,00,,L-,3,7,179,N,*
98BR00067, 5565,4.0,00,,L-,3,7,135,N,*
98BR00068, 5568,4.0,00,,L-,3,7,167,N,*
98BR00069, 5524,6.0,18,DYSTOCIA'98,L-,3,7,162,N,*
98BR00070, 5526,5.0,00,GOOD EWE,L-,3,7,171,N,*
98BR00071, 6110,2.0,00,,L-,3,7,168,N,*
98BR00072, 6113,2.0,00,,L-,3,7,152,N,*
98BR00073, 6115,2.0,00,,L-,3,7,150,N,*
98BR00074, 6112,2.0,00,,L-,3,7,140,N,*
98BR00075, 6130,2.0,00,,L-,3,7,166,N,W
98BR00076, 6133,2.0,00,,L-,3,7,159,N,*
98BR00077, 6138,2.0,00,,L-,3,7,147,N,*
98BR00078, 6143,2.0,00,,L-,3,7,140,N,*
98BR00079, 6149,2.0,00,,L-,3,7,153,N,*
98BR00080, 6153,2.0,00,,L-,3,7,203,N,W
98BR00081, 6156,2.0,00,,L-,3,7,174,N,*
98BR00082, 6124,2.0,00,,L-,3,7,125,N,*
98BR00083, 6122,2.0,00,,L-,3,7,169,N,*
98BR00084, 6183,2.0,00,,L-,3,7,168,N,*
98BR00085, 6182,2.0,00,,L-,3,7,157,N,*
98BR00086, 6195,2.0,00,,L-,3,7,157,N,*
98BR00087, 6196,2.0,00,,L-,3,7,156,N,*
98BR00088, 6192,2.0,00,,L-,3,7,152,N,*
98BR00089, 6198,2.0,00,,L-,3,7,151,N,*
98BR00090, 6199,2.0,00,,L-,3,7,183,N,*
98BR00091, 6171,2.0,00,,L-,3,7,177,N,W
98BR00092, 6174,2.0,00,,L-,3,7,166,N,*
98BR00093, 6172,2.0,00,,L-,3,7,150,N,*
98BR00094, 6178,2.0,00,,L-,3,7,170,N,*
98BR00095, 6013,2.0,00,,L-,3,7,138,N,*
98BR00096, 6012,2.0,00,,L-,3,7,131,N,*
98BR00097, 6006,2.0,00,,L-,3,7,179,N,*
98BR00098, 6002,2.0,00,,L-,3,7,162,N,*
98BR00099, 6036,2.0,00,,L-,3,7,128,N,*
98BR00100, 6038,2.0,00,,L-,3,7,152,N,*
98BR00101, 6037,2.0,00,,L-,3,7,129,N,*
98BR00102, 6045,2.0,00,,L-,3,7,140,N,*
98BR00103, 6046,2.0,00,,L-,3,7,189,N,*
98BR00104, 6050,2.0,00,,L-,3,7,186,N,*
98BR00105, 6054,2.0,00,,L-,3,7,158,N,*
98BR00106, 6052,2.0,00,,L-,3,7,158,N,*
98BR00107, 6059,2.0,00,,L-,3,7,150,N,*
98BR00108, 6060,2.0,00,?ABORTED 4/98,L-,3,7,169,N,*
98BR00109, 6065,2.0,00,,L-,3,7,163,N,*
98BR00110, 6062,2.0,00,,L-,3,7,151,N,*
98BR00111, 6026,2.0,00,,L-,3,7,141,N,*
98BR00112, 6022,2.0,00,,L-,3,7,146,N,*
98BR00113, 6081,2.0,00,,L-,3,7,166,N,*
98BR00114, 6080,2.0,00,,L-,3,7,156,N,*
98BR00115, 6083,2.0,00,,L-,3,7,176,N,*
98BR00116, 6087,2.0,00,,L-,3,7,156,N,*
98BR00117, 6096,2.0,00,,L-,3,7,141,N,*
98BR00118, 6099,2.0,00,,L-,3,7,157,N,*
98BR00119, 6071,2.0,00,,L-,3,7,172,N,*
98BR00120, 6073,2.0,00,,L-,3,7,140,N,*
98BR00121, 6076,2.0,00,,L-,3,7,158,N,*
98BR00122, 6072,2.0,00,,L-,3,7,150,N,*
98BR00123, 6079,2.0,00,,L-,3,7,134,N,*
98BR00124, 6077,2.0,00,,L-,3,7,156,N,*
98BR00125, 6315,2.0,00,,L-,3,7,134,N,*
98BR00126, 6316,2.0,00,,L-,3,7,141,N,*
98BR00127, 6345,2.0,00,,L-,3,7,169,N,W
98BR00128, 6346,2.0,00,,L-,3,7,149,N,*
98BR00129, 6368,2.0,00,,L-,3,7,157,N,*
98BR00130, 6321,2.0,00,,L-,3,7,168,N,W
98BR00131, 6371,2.0,00,,L-,3,7,147,N,*
98BR00132, 6377,2.0,00,,L-,3,7,145,N,*
98BR00133, 6419,2.0,00,,L-,3,7,158,N,*
98BR00134, 6402,2.0,00,,L-,3,7,153,N,*
98BR00135, 6437,2.0,00,,L-,3,7,154,N,*
98BR00136, 6452,2.0,00,,L-,3,7,161,N,*
98BR00137, 6421,2.0,00,,L-,3,7,146,N,*
98BR00138, 6428,2.0,00,,L-,3,7,170,N,*
98BR00139, 6213,2.0,00,,L-,3,7,176,N,W
98BR00140, 6216,2.0,00,,L-,3,7,155,N,W
98BR00141, 6230,2.0,00,,L-,3,7,152,N,*
98BR00142, 6236,2.0,00,,L-,3,7,167,N,W
98BR00143, 6237,2.0,00,,L-,3,7,152,N,*
98BR00144, 6242,2.0,00,,L-,3,7,170,N,W
98BR00145, 6249,2.0,00,,L-,3,7,148,N,*
98BR00146, 6256,2.0,00,TRT R EYE,L-,3,7,151,N,*
98BR00147, 6259,2.0,00,,L-,3,7,122,N,*
98BR00148, 6266,2.0,00,,L-,3,7,161,N,*
98BR00149, 6268,2.0,00,,L-,3,7,162,N,*
98BR00150, 6226,2.0,00,,L-,3,7,162,N,*
98BR00151, 6229,2.0,00,,L-,3,7,162,N,*
98BR00152, 6282,2.0,00,,L-,3,7,164,N,*
98BR00153, 6288,2.0,00,,L-,3,7,150,N,*
98BR00154, 6293,2.0,00,,L-,3,7,169,N,*
98BR00155, 6294,2.0,00,,L-,3,7,163,N,*
98BR00156, 6273,2.0,00,,L-,3,7,148,N,*
98BR00157, 2114,4.0,00,,L-,3,7,164,N,W
98BR00158, 2103,4.0,00,,L-,3,7,178,N,*
98BR00159, 2106,4.0,00,,L-,3,7,190,N,W
98BR00160, 2107,4.0,00,,L-,3,7,201,N,*
98BR00161, 2005,6.0,18,,L-,3,7,138,N,*
98BR00162, 2002,5.0,00,,L-,3,7,168,N,*
98BR00163, 2041,5.0,18,,L-,3,7,143,N,*
98BR00164, 2063,5.0,18,,L-,3,7,165,N,*
98BR00165, 2062,6.0,18,,L-,3,7,164,N,*
98BR00166, 2020,6.0,18,,L-,3,7,148,N,*
98BR00167, 2091,4.0,00,,L-,3,7,141,N,*
98BR00168, 2090,4.0,00,,L-,3,7,171,N,*
98BR00169, 2093,4.0,00,,L-,3,7,159,N,*
