UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK
00BR00001, 1098,6.0,00,LOW SW.BAG,UTI,A,7,154,2,n
00BR00002, 1564,6.0,00,,UTI,A,7,155,3,W
00BR00003, 1566,6.0,00,,UTI,A,7,147,3,W
00BR00004,  542,7.0,18,,UTI,A,7,135,3,W
00BR00005,  556,6.0,00,,UTI,A,7,180,3,W
00BR00006,  565,6.0,00,,UTI,A,7,182,1,n
00BR00007,  566,6.0,00,FIX BIG TAG**,UTI,A,7,208,5,n
00BR00008,  562,6.0,00,,UTI,A,7,158,3,W
00BR00009,  580,6.0,00,OLD4035NEW580,UTI,A,7,155,3,W
00BR00010,  573,6.0,00,"OLD101,NEW573",UTI,A,7,164,3,W
00BR00011,  572,5.0,00,NEW ID = 572,UTI,A,7,169,3,W
00BR00012,  578,7.0,18,"OLD38,NEW578",UTI,A,7,163,3,W
00BR00013,  577,7.0,18,"OLD59,NEW577",UTI,A,7,157,3,W
00BR00014, 4031,6.0,00,,UTI,A,7,132,3,W
00BR00015, 4030,6.0,00,VLT L,UTI,A,7,138,2,n
00BR00016, 4617,6.0,00,,UTI,A,7,167,1,n
00BR00017, 4605,7.0,18,JAW OK,UTI,A,7,177,3,W
00BR00018, 5115,7.0,18,,UTI,A,7,146,3,W
00BR00019, 5136,6.0,00,OPP? 01/09/96,UTI,A,7,170,3,W
00BR00020, 5143,6.0,00,,UTI,A,7,155,3,W
00BR00021, 5145,6.0,00,,UTI,A,7,165,1,n
00BR00022, 5127,6.0,00,,UTI,A,7,157,2,n
00BR00023, 5045,7.0,18,,UTI,A,7,163,3,W
00BR00024, 5053,7.0,00,,UTI,A,7,176,3,W
00BR00025, 5555,7.0,00,,UTI,A,7,175,3,W
00BR00026, 5565,6.0,00,FIX BIG TAG**,UTI,A,7,160,5,n
00BR00027, 5568,6.0,00,MEAN,UTI,A,7,175,3,W
00BR00028, 6115,4.0,00,,UTI,A,7,170,1,n
00BR00029, 6112,4.0,00,,BF,3,7,155,3,W
00BR00030, 6133,4.0,00,,BF,3,7,169,3,W
00BR00031, 6138,4.0,00,,BF,3,7,164,3,W
00BR00032, 6143,4.0,00,,BF,3,7,163,3,W
00BR00033, 6149,4.0,00,,BF,3,7,138,3,W
00BR00034, 6156,4.0,00,,UTI,A,7,184,2,n
00BR00035, 6124,4.0,00,,UTI,A,7,138,1,n
00BR00036, 6122,4.0,00,,BF,3,7,181,3,W
00BR00037, 6183,4.0,00,,UTI,A,7,193,2,n
00BR00038, 6182,4.0,00,"LIM,THIN",BF,3,7,151,3,W
00BR00039, 6191,4.0,00,TAG IN 9/1 ?,BF,3,7,158,3,W
00BR00040, 6195,4.0,00,,UTI,A,7,174,2,n
00BR00041, 6192,4.0,00,,BF,3,7,157,3,W
00BR00042, 6198,4.0,00,,BF,3,7,169,3,W
00BR00043, 6199,4.0,00,FIX BIG TAG**,UTI,A,7,196,2,n
00BR00044, 6171,4.0,00,,BF,3,7,165,3,W
00BR00045, 6174,4.0,00,"VLTS, X",UTI,A,7,183,3,W
00BR00046, 6172,4.0,00,,BF,3,7,157,3,W
00BR00047, 6178,4.0,00,,UTI,A,7,174,2,n
00BR00048, 6013,4.0,00,,BF,3,7,142,3,W
00BR00049, 6006,4.0,00,,BF,3,7,175,3,W
00BR00050, 6002,4.0,00,,BF,3,7,172,1,W
00BR00051, 6036,4.0,00,,UTI,A,7,136,1,n
00BR00052, 6038,4.0,00,,UTI,A,7,158,3,W
00BR00053, 6037,4.0,00,,UTI,A,7,150,1,n
00BR00054, 6046,4.0,00,,KNA,3,7,666,K,W
00BR00055, 6054,4.0,00,,BF,3,7,177,1,W
00BR00056, 6052,4.0,00,,BF,3,7,164,3,W
00BR00057, 6059,4.0,00,,BF,3,7,190,3,W
00BR00058, 6060,4.0,00,?ABORTED 4/98,KNA,3,7,666,K,W
00BR00059, 6062,4.0,00,,UTI,A,7,165,1,n
00BR00060, 6022,4.0,00,,BF,3,7,163,3,W
00BR00061, 6080,4.0,00,,BF,3,7,176,2,W
00BR00062, 6083,4.0,00,,UTI,A,7,200,1,n
00BR00063, 6087,4.0,00,,UTI,A,7,162,2,n
00BR00064, 6096,4.0,00,,BF,3,7,180,1,W
00BR00065, 6071,4.0,00,,BF,3,7,158,3,W
00BR00066, 6073,4.0,00,,BF,3,7,148,3,W
00BR00067, 6079,4.0,00,,BF,3,7,150,2,W
00BR00068, 6077,4.0,00,BIG HARD BAG,BF,3,7,162,2,W
00BR00069, 6316,4.0,00,,BF,3,7,146,3,W
00BR00070, 6371,4.0,00,,BF,3,7,152,3,W
00BR00071, 6377,4.0,00,JAW OK,UTI,A,7,160,3,W
00BR00072, 6419,4.0,00,,UTI,A,7,165,2,n
00BR00073, 6402,4.0,00,,BF,3,7,176,3,W
00BR00074, 6437,4.0,00,,UTI,A,7,168,1,n
00BR00075, 6452,4.0,00,,BF,3,7,175,3,W
00BR00076, 6421,4.0,00,,BF,3,7,138,3,W
00BR00077, 6428,4.0,00,,BF,3,7,180,3,W
00BR00078, 6213,4.0,00,,BF,3,7,161,3,W
00BR00079, 6236,4.0,00,1TAG,UTI,A,7,173,3,W
00BR00080, 6242,4.0,00,,BF,3,7,177,3,W
00BR00081, 6249,4.0,00,,BF,3,7,163,3,W
00BR00082, 6256,4.0,00,TRT R EYE,BF,3,7,156,3,W
00BR00083, 6259,4.0,00,,UTI,A,7,129,1,n
00BR00084, 6266,4.0,00,** CHK TAG **,BF,3,7,177,3,W
00BR00085, 6268,4.0,00,** CHK TAG **,BF,3,7,165,3,W
00BR00086, 6226,4.0,00,,UTI,A,7,142,2,n
00BR00087, 6229,4.0,00,,BF,3,7,162,3,W
00BR00088, 6282,4.0,00,OVINE DOLLY,UTI,A,7,158,1,n
00BR00089, 6293,4.0,00,BIG BAG,UTI,A,7,184,1,n
00BR00090, 6294,4.0,00,,BF,3,7,163,3,W
00BR00091, 6273,4.0,00,,UTI,A,7,190,5,n
00BR00092, 2114,6.0,00,,UTI,A,7,166,5,n
00BR00093, 2103,6.0,00,,UTI,A,7,178,1,n
00BR00094, 2063,7.0,18,FIX BIG TAG**,UTI,A,7,162,3,W
00BR00095, 2091,6.0,00,,UTI,A,7,148,3,W
00BR00096, 2090,6.0,00,,UTI,A,7,168,3,W
00BR00097, 2093,6.0,00,,UTI,A,7,161,3,W
00BR00098, 2099,6.0,00,,UTI,A,7,155,2,n
00BR00099, 2076,7.0,18,LAME RR 52094,UTI,A,7,175,3,W
00BR00100, 2540,7.0,18,SHED LAMBED95,UTI,A,7,144,3,W
00BR00101, 8113,2.0,00,,BF,3,7,121,3,W
00BR00102, 8119,2.0,00,,KNA,3,7,666,K,W
00BR00103, 8142,2.0,00,BLACK MARKER,03,1,1,141,1,W
00BR00104, 8147,2.0,00,BLACK MARKER,04,1,1,137,1,W
00BR00105, 8150,2.0,00,,BF,3,7,152,3,W
00BR00106, 8122,2.0,00,,BF,3,7,161,3,W
00BR00107, 8179,2.0,00,4TEATS,KNA,3,7,666,K,W
00BR00108, 8013,2.0,00,,BF,3,7,142,3,W
00BR00109, 8015,2.0,00,T X C ewe,UTI,A,7,154,3,W
00BR00110, 8018,2.0,00,PINTO MARKER,01,1,1,133,2,W
00BR00111, 8019,2.0,00,WEAK,BF,3,7,143,3,W
00BR00112, 8039,2.0,00,,BF,3,7,161,3,W
00BR00113, 8040,2.0,00,,BF,3,7,141,3,W
00BR00114, 8050,2.0,00,T X C ewe,UTI,A,7,155,3,W
00BR00115, 8063,2.0,00,PNEUMONIA?,BF,3,7,157,3,W
00BR00116, 8028,2.0,00,BLACK MARKER,02,1,1,147,1,W
00BR00117, 8027,2.0,00,,BF,3,7,170,3,W
00BR00118, 8084,2.0,00,BLK. EAR,BF,3,7,134,3,W
00BR00119, 8091,2.0,00,,BF,3,7,137,3,W
00BR00120, 8077,2.0,00,HAIRY,BF,3,7,121,3,W
00BR00121, 8308,2.0,00,,BF,3,7,134,3,W
00BR00122, 8307,2.0,00,,BF,3,7,148,3,W
00BR00123, 8351,2.0,00,,BF,3,7,159,3,W
00BR00124, 8359,2.0,00,,01,1,7,149,3,W
00BR00125, 8362,2.0,00,,52,2,7,130,3,W
00BR00126, 8320,2.0,00,,BF,3,7,146,3,W
00BR00127, 8381,2.0,00,,BF,3,7,170,3,W
00BR00128, 8384,2.0,00,,02,1,7,167,3,W
00BR00129, 8382,2.0,00,,41,2,7,151,3,W
00BR00130, 8390,2.0,00,"X,POLYPAY",UTI,A,7,115,3,W
00BR00131, 8392,2.0,00,,42,2,7,122,3,W
