UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP
02BR00001, 6062,6.0,00,,UTE,U,2,183,3,W,
02BR00002, 6377,6.0,00,"LTS,SW.BAG",UTE,U,2,150,3,W,
02BR00003, 6236,6.0,00,SW.BAG,UTE,U,2,177,3,W,
02BR00004, 8136,4.0,00,"T X C ewe,OVX",OVX,O,2,0,5,W,
02BR00005, 8019,4.0,18,L.EYE TRT '02,AI-,A,2,165,4,W,
02BR00006, 8040,4.0,18,"OVX,BARREN",OVX,O,2,183,5,.,
02BR00007, 8050,4.0,00,T X C ewe,UTE,U,2,173,3,W,
02BR00008, 8059,4.0,18,POLYPAY?OVX,OVX,O,2,195,5,W,
02BR00009, 8028,4.0,00,BLACK MARKER,BLK,1,1,159,2,.,10
02BR00010, 8027,4.0,18,,AI-,A,2,163,1,W,
02BR00011, 8084,4.0,18,BLK. EAR,AI-,A,2,139,4,W,
02BR00012, 8091,4.0,18,,AI-,A,2,146,4,W,
02BR00013, 8320,4.0,18,,AI-,A,2,167,4,W,
02BR00014, 8375,4.0,18,,AI-,A,2,167,4,W,
02BR00015, 8416,4.0,18,,AI-,A,2,158,1,W,
02BR00016, 8436,4.0,18,,-2-,1,2,171,2,W,
02BR00017, 8439,4.0,88,,-5-,2,0,160,2,W,
02BR00018, 8441,4.0,18,,-2-,1,2,171,1,W,
02BR00019, 8443,4.0,88,TAG CUT '2002,-5-,2,0,156,3,W,
02BR00020, 8462,4.0,88,,-2-,1,0,165,2,W,
02BR00021, 8423,4.0,88,,-4-,2,0,138,3,W,
02BR00022, 8492,4.0,18,,AI-,A,2,156,4,W,
02BR00023, 8479,4.0,18,,-3-,1,2,197,3,W,
02BR00024, 8516,4.0,88,WORN TAG,-4-,2,0,143,2,W,
02BR00025, 8504,4.0,18,,AI-,A,2,151,4,W,
02BR00026, 8539,4.0,18,1TAG,AI-,A,2,147,4,W,
02BR00027, 8524,4.0,18,,AI-,A,2,174,4,W,
02BR00028, 8526,4.0,88,,-4-,2,0,142,2,W,
02BR00029, 8595,4.0,88,,-5-,2,0,169,2,W,
02BR00030, 8601,4.0,18,,AI-,A,2,192,4,W,
02BR00031, 8636,4.0,18,,-4-,2,2,140,1,W,
02BR00032, 8641,4.0,18,pg 4/24 156#,AI-,A,2,151,4,W,
02BR00033, 8665,4.0,18,,AI-,A,2,154,1,W,
02BR00034, 8668,4.0,88,,-5-,2,0,141,2,W,
02BR00035, 8682,4.0,18,"LT,R.",AI-,A,2,159,4,W,
02BR00036, 8695,4.0,18,TAG CUT '2002,-4-,2,2,183,2,W,
02BR00037, 8697,4.0,88,,-2-,1,0,159,2,W,
02BR00038, 8210,4.0,68,,-5-,2,7,174,1,W,
02BR00039, 8212,4.0,68,NICE,-5-,2,7,173,2,W,
02BR00040, 8217,4.0,18,,AI-,A,2,132,4,W,
02BR00041, 8202,4.0,88,COARSE,-3-,1,0,161,1,W,
02BR00042, 8281,4.0,18,"OVX,PROD",OVX,O,2,200,5,.,
02BR00043, 8286,4.0,68,,-1-,1,7,199,1,W,
02BR00044, 8295,4.0,18,,AI-,A,2,171,2,W,
02BR00045, 8858,4.0,18,,-3-,1,2,182,1,W,
02BR00046, 8876,4.0,18,,-1-,1,2,155,2,W,
02BR00047, 8757,4.0,68,,-4-,2,7,163,1,W,
02BR00048, 8764,4.0,18,,-5-,2,2,159,2,W,
02BR00049, 8724,4.0,88,,-2-,1,0,150,2,W,
02BR00050, 8727,4.0,88,,-2-,1,0,169,2,W,
02BR00051, 8780,4.0,88,,-2-,1,0,163,2,W,
02BR00052, 8793,4.0,68,,-2-,1,7,165,1,W,
02BR00053, 8776,4.0,00,"X, ?UDDER",UTE,U,2,161,3,W,
02BR00054, 7485,5.0,00,MLTS,UTE,U,2,195,2,W,
02BR00055,01103,2.0,18,,-4-,2,2,159,1,W,
02BR00056,01131,2.0,68,,-4-,2,7,166,2,W,
02BR00057,01139,2.0,68,,OVX,O,7,200,1,W,
02BR00058,01142,2.0,68,,-5-,2,7,179,2,W,
02BR00059,01161,2.0,18,,AI-,A,2,152,4,W,
02BR00060,01178,2.0,88,"OVX, SMALL",OVX,O,2,128,5,W,
02BR00061,01015,2.0,18,,-2-,1,2,144,2,W,
02BR00062,01019,2.0,88,DYSTOCIA,-1-,1,0,169,1,W,
02BR00063,01056,2.0,18,"OVX, SMALL",OVX,O,2,122,5,.,
02BR00064,01066,2.0,18,"CLR2, OVX",OVX,O,2,159,5,.,
02BR00065,01328,2.0,88,"NICE, A",-2-,1,0,147,1,W,
02BR00066,01383,2.0,68,,-2-,1,7,199,1,W,
02BR00067,01372,2.0,68,,-1-,1,7,158,1,W,
02BR00068,01379,2.0,18,,-1-,1,2,152,2,W,
02BR00069,01417,2.0,41,"OVX, SMALL",OVX,O,2,136,5,W,
02BR00070,01406,2.0,41,"OVX, SMALL",OVX,O,2,138,5,.,
02BR00071,01430,2.0,18,,-5-,2,2,158,2,W,
02BR00072,01422,2.0,18,,-4-,2,2,167,2,W,
02BR00073,01486,2.0,41,"F2,CLR, OVX",OVX,O,2,158,5,.,
02BR00074,01499,2.0,18,"OVX, SMALL",OVX,O,2,140,5,W,
02BR00075,01470,2.0,18,THIN,-2-,1,2,139,2,W,
02BR00076,01242,2.0,68,SUCK1SIDE,-5-,2,7,159,1,W,
02BR00077,01257,2.0,68,,OVX,O,7,159,5,W,
02BR00078,01267,2.0,18,,-5-,2,2,157,1,W,
02BR00079,01287,2.0,18,,OVX,O,2,178,5,W,
02BR00080,01291,2.0,18,?UDDER,-3-,1,2,156,1,W,
02BR00081,00116,2.0,18,NICE,OVX,O,2,174,5,W,
02BR00082,00102,2.0,88,,-5-,2,0,132,2,W,
02BR00083,00136,2.0,18,,-5-,2,2,170,1,W,
02BR00084,00140,2.0,18,,-2-,1,2,194,1,W,
02BR00085,00148,2.0,18,,-1-,1,2,139,2,W,
02BR00086,00166,2.0,00,BLACK EWE,BLK,2,1,188,3,W,
02BR00087,00122,2.0,18,,-1-,1,2,168,1,W,
02BR00088,00197,2.0,18,,-3-,1,2,156,1,W,
02BR00089,00179,2.0,18,EYES OK,AI-,A,2,169,3,W,
02BR00090,00483,2.0,18,"F2, OVX",OVX,O,2,137,5,W,
02BR00091,00491,2.0,41,,12T,2,2,140,1,W,
02BR00092,00534,2.0,68,,-4-,2,7,162,2,W,
02BR00093,00537,2.0,41,BRN. L.EYE,13T,2,2,200,5,W,
02BR00094,00545,2.0,18,NICE,AI-,A,2,166,2,W,
02BR00095,00559,2.0,18,,-1-,1,2,157,2,W,
02BR00096,00589,2.0,68,DYSTOCIA,-1-,1,7,164,3,W,
