UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,PD,DISP,BLEED,STM
05BR00001, 3114,1.5,00,,r.4,3,7,201,3,W,1,,.,80
05BR00002, 3101,1.5,00,,r.3,3,7,164,1,W,1,,.,33
05BR00003, 3100,1.5,00,11 BAG LUMPY,Mkt,.,7,149,3,W,3,93,.,33
05BR00004, 3148,1.5,00,ABS. LEG,Mkt,.,7,149,3,W,3,93,.,04
05BR00005, 3160,1.5,00,,r.4,3,7,155,3,W,1,,.,33
05BR00006, 3181,1.5,00,"MASTITIS, R.",Mkt,.,7,174,3,W,3,93,.,33
05BR00007, 3015,1.5,00,,r.1,3,7,187,3,W,1,04,.,80
05BR00008, 3016,1.5,00,,r.2,3,7,182,3,W,1,,.,80
05BR00009, 3004,1.5,00,,r.3,3,7,185,3,W,1,,.,80
05BR00010, 3006,1.5,00,,r.4,3,7,184,3,W,1,,.,80
05BR00011, 3007,1.5,00,,r.1,3,7,202,5,W,1,,.,80
05BR00012, 3031,1.5,00,,r.2,3,7,191,3,W,1,,.,80
05BR00013, 3033,1.5,00,ENTR,r.3,3,7,197,3,W,1,,.,80
05BR00014, 3035,1.5,00,,Jar,3,7,225,5,W,1,,.,80
05BR00015, 3036,1.5,00,,r.1,3,7,165,3,W,1,,.,33
05BR00016, 3032,1.5,00,,r.4,3,7,183,3,W,1,,.,80
05BR00017, 3039,1.5,00,,r.2,3,7,174,3,W,1,,.,33
05BR00018, 3037,1.5,00,,r.1,3,7,188,3,W,1,,.,80
05BR00019, 3048,1.5,00,HAIRY,r.3,3,7,142,2,W,1,,.,33
05BR00020, 3058,1.5,00,,r.4,3,7,168,3,W,1,,.,33
05BR00021, 3057,1.5,00,,r.2,3,7,165,3,W,1,,.,80
05BR00022, 3060,1.5,00,,r.1,3,7,200,3,W,1,,.,33
05BR00023, 3064,1.5,00,,r.3,3,7,164,3,W,1,,.,80
05BR00024, 3066,1.5,00,,r.2,3,7,165,1,W,1,,.,33
05BR00025, 3021,1.5,00,,r.3,3,7,156,3,W,1,,.,33
05BR00026, 3083,1.5,00,,r.4,3,7,174,3,W,1,,.,33
05BR00027, 3085,1.5,00,,r.1,3,7,203,3,W,1,,.,33
05BR00028, 3088,1.5,00,,r.2,3,7,181,3,W,1,,.,33
05BR00029, 3089,1.5,00,NICE X,Mkt,.,7,233,B,W,3,93,.,80
05BR00030, 3090,1.5,00,,r.4,3,7,182,5,W,1,,.,80
05BR00031, 3078,1.5,00,,Jar,3,7,220,5,W,1,,.,80
05BR00032, 8084,7.0,18,BLK. EAR,31,1,0,158,1,W,1,,.,07
05BR00033, 8091,7.0,18,THIN,32,1,2,153,2,W,1,,.,07
05BR00034, 8441,7.0,18,,33,1,0,183,1,W,1,,.,43
05BR00035, 8443,7.0,88,R.UDDER CUTok,Mkt,.,0,174,1,W,3,93,.,30
05BR00036, 8539,7.0,18,1TAG,34,1,2,174,1,W,1,,.,07
05BR00037, 8601,7.0,18,LUNGS?,35,1,2,205,1,W,1,,.,07
05BR00038, 8641,7.0,18,pg 4/24 156#,35,1,2,162,2,W,1,,.,07
05BR00039, 8665,7.0,18,,37,1,2,177,2,W,1,,.,07
05BR00040, 8695,7.0,18,TAG CUT '2002,38,1,0,200,1,W,1,,.,07
05BR00041, 8210,7.0,68,TEETH,d.1,3,0,187,1,W,U,93,.,06
05BR00042, 8286,7.0,68,,03,1,0,204,1,W,1,,.,06
05BR00043, 8858,7.0,18,"DYSTOC,breech",32,1,0,181,2,W,1,,.,07
05BR00044, 8757,7.0,68,,02,1,0,184,1,W,1,,.,06
05BR00045, 8764,7.0,18,,31,1,0,185,2,W,1,,.,43
05BR00046, 8793,7.0,68,X 12 BAG,Mkt,.,0,181,2,W,3,93,.,06
05BR00047,01103,5.0,18,,07,1,2,179,1,W,1,,.,07
05BR00048,01131,5.0,68,,03,1,0,207,1,W,1,,.,06
05BR00049,01161,5.0,18,,08,1,2,183,1,W,1,,.,07
05BR00050,01178,5.0,88,"OVX, SMALL",OVX,O,2,198,5,W,O,,.,30
05BR00051,01015,5.0,18,IN W/ RED 41,06,1,0,189,2,W,1,,.,07
05BR00052,01056,5.0,18,"OVX, SMALL",OVX,O,2,185,5,W,O,,.,07
05BR00053,01328,5.0,88,"NICE, A", 1,2,0,188,1,W,1,,.,30
05BR00054,01372,5.0,68,,14,1,0,183,H,W,1,,.,06
05BR00055,01379,5.0,18,PNEU.,11,1,2,190,1,W,1,,.,07
05BR00056,01417,5.0,41,"OVX, SMALL",OVX,O,2,0,5,W,O,,.,02
05BR00057,01430,5.0,18,,13,1,0,204,5,W,1,,.,07
05BR00058,01422,5.0,18,,12,1,0,205,2,W,1,,.,07
05BR00059,01486,5.0,41,"F2,CLR, OVX",OVX,O,2,188,5,W,O,,.,02
05BR00060,01499,5.0,18,"OVX, SMALL",OVX,O,2,200,5,W,O,,.,07
05BR00061,01470,5.0,18,THIN,14,1,0,162,1,W,1,,.,07
05BR00062,01242,5.0,68,VLTS,13,1,0,179,1,W,1,,.,06
05BR00063,01257,5.0,68,OVX,OVX,O,2,0,5,W,O,,.,06
05BR00064,01267,5.0,18,12 BAG X,Mkt,.,0,181,5,W,3,93,.,07
05BR00065,01287,5.0,18,OVX,OVX,O,2,0,5,W,O,,.,07
05BR00066,00116,5.0,18,OVX,OVX,O,2,0,5,W,O,,.,07
05BR00067,00102,5.0,88,, 1,2,0,190,1,W,1,,.,30
05BR00068,00148,5.0,18,, 1,1,0,174,2,W,1,,.,07
05BR00069,00197,5.0,18,DYSTOCIA, 3,1,0,171,1,W,1,,.,07
05BR00070,00179,5.0,18,EYES OK, 2,1,0,218,1,W,1,,.,07
05BR00071,00483,5.0,18,"F2, OVX",OVX,O,2,170,5,W,O,,.,07
05BR00072,00534,5.0,68,BIG BAG LTS,22,1,0,170,1,W,1,,.,06
05BR00073,00545,5.0,18,NICE, 4,1,2,176,2,W,1,,.,07
05BR00074,00589,5.0,68,DYSTOCIA,11,1,0,173,1,W,1,,.,06
05BR00075,00571,5.0,18,OVX,OVX,O,2,0,5,W,O,,.,43
05BR00076,00647,5.0,68,"NICE, A+",23,1,0,226,2,W,1,,.,06
05BR00077,00657,5.0,88,LT SUCK1SIDE, 1,2,0,173,2,W,1,,.,30
05BR00078,00625,5.0,68,LOW PROD.,Mkt,.,0,207,5,W,3,93,.,06
05BR00079,00670,5.0,68,,12,1,0,194,2,W,1,,.,06
05BR00080,00678,5.0,18,"F2, OVX",OVX,O,2,0,5,W,O,,.,07
05BR00081,00677,5.0,18,, 5,1,0,189,2,W,1,,.,07
05BR00082,00816,5.0,18,LTS,01,1,2,182,1,W,1,,.,43
05BR00083,00876,5.0,18,OVX,OVX,O,2,0,5,W,O,,.,07
05BR00084,00872,5.0,18,,02,1,0,190,2,W,1,,.,07
05BR00085,00904,5.0,18,NICE,03,1,0,207,5,W,1,,.,07
05BR00086,00976,5.0,18,,04,1,0,182,1,W,1,,.,07
05BR00087,00979,5.0,18,THIN,05,1,0,169,2,W,1,,.,07
05BR00088,00707,5.0,18,, 6,1,0,172,2,W,1,,.,07
05BR00089,00737,5.0,41,#2 BORN LATE,Jar,3,0,204,2,W,1,,.,02
05BR00090,00728,5.0,18,, 7,1,0,172,1,W,1,,.,43
05BR00091,00795,5.0,18,VLTS, 8,1,2,196,2,W,1,,.,43
05BR00092,91108,6.0,88,,02,2,0,176,2,W,1,,.,30
05BR00093,91137,6.0,18,,05,1,0,170,2,W,1,,.,07
05BR00094,91120,6.0,18,XHEALTH,Mkt,.,0,131,1,W,3,93,.,07
05BR00095,91125,6.0,88,,03,2,0,204,2,W,1,,.,30
05BR00096,91174,6.0,88,,04,2,0,175,2,W,1,,.,30
05BR00097,91003,6.0,18,,02,1,2,177,1,W,1,,.,07
05BR00098,91009,6.0,18,1TAG,03,1,2,194,H,W,1,,.,07
05BR00099,91058,6.0,18,LUNGS?,04,1,0,194,2,W,1,,.,07
05BR00100,91020,6.0,18,CHK. UDDER,Mkt,.,2,195,1,W,3,93,.,07
05BR00101,91084,6.0,88,OVX,OVX,O,2,0,5,W,O,,.,30
05BR00102,91075,6.0,18,"?BRED, OVX",OVX,O,2,171,5,W,O,,.,07
05BR00103,91072,6.0,18,R.SPOILED,Mkt,.,0,167,2,W,3,93,.,07
05BR00104,91362,6.0,18,SW.BAG,d.1,3,2,176,H,W,U,93,.,07
05BR00105,91379,6.0,18,,06,1,2,184,2,W,1,,.,07
05BR00106,91251,6.0,68,VLTS,25,1,0,196,2,W,1,,.,06
05BR00107,90121,6.0,88,LOW PROD.,Mkt,.,0,206,5,W,3,93,.,30
05BR00108,90018,6.0,18,THIN,15,1,2,183,1,W,1,,.,07
05BR00109,90053,6.0,88,DYSTOCIA,01,2,0,173,1,W,1,,.,30
05BR00110,90061,6.0,68,NICE,41,1,0,191,2,W,1,,.,06
05BR00111,90096,6.0,18,LOW PROD.,Mkt,.,2,197,5,W,3,93,.,07
05BR00112,90071,6.0,88,,02,2,0,161,2,W,1,,.,30
05BR00113,90077,6.0,68,,04,1,0,197,2,W,1,,.,06
05BR00114,90312,6.0,18,RP ok,25,1,2,201,1,W,1,,.,07
05BR00115,90333,6.0,88,RP,03,2,0,186,2,W,1,,.,30
05BR00116,90335,6.0,18,,26,1,0,172,2,W,1,,.,07
05BR00117,90365,6.0,18,BAD SW BAG,Mkt,.,2,159,2,W,3,93,.,07
05BR00118,90362,6.0,18,,27,1,2,159,2,W,1,,.,07
05BR00119,90386,6.0,18,,28,1,0,164,1,W,1,,.,07
05BR00120,90392,6.0,18,, 1,1,2,138,2,W,1,,.,07
05BR00121,90372,6.0,18,"R.SPOILED, U",Mkt,.,2,175,5,W,3,93,.,07
05BR00122,90532,6.0,18,MORE IN HER, 2,1,0,175,2,W,1,,.,07
05BR00123,90597,6.0,88,,04,2,0,175,1,W,1,,.,30
05BR00124,90576,6.0,18,Fearing Tag, 3,1,0,175,2,W,1,,.,07
05BR00125,90638,6.0,68,LEGGY,24,1,0,217,2,W,1,,.,06
05BR00126,90687,6.0,88,,05,2,0,184,2,W,1,,.,30
05BR00127,90694,6.0,88,FAT,01,2,0,196,1,W,1,,.,30
05BR00128,90216,6.0,18,,17,1,0,171,1,W,1,,.,07
05BR00129,90212,6.0,18,,16,1,0,184,2,W,1,,.,07
05BR00130,90239,6.0,18,SW BAG,18,1,0,178,2,W,1,,.,07
05BR00131,90256,6.0,18,DYSTOCIA ok,21,1,2,189,1,W,1,,.,07
05BR00132,90259,6.0,18,LOW BAG X,Mkt,.,0,151,2,W,3,93,.,07
05BR00133,90257,6.0,18,BIG BAG,22,1,0,157,1,W,1,,.,07
05BR00134,90281,6.0,18,,24,1,0,172,2,W,1,,.,07
05BR00135,90280,6.0,18,SL.RUPTURE?,Mkt,.,0,180,H,W,3,93,.,07
05BR00136,90276,6.0,18,R.BLOODY MILK,23,1,0,203,5,W,1,,.,07
05BR00137,90800,6.0,88,DABS AND SICK,d.1,3,0,205,5,W,U,93,.,30
05BR00138,90844,6.0,88,,04,2,0,174,5,W,1,,.,30
05BR00139,90866,6.0,00,L.SPOILED,Mkt,.,1,213,2,W,3,93,.,92
05BR00140,90880,6.0,88,,01,2,0,178,5,W,1,,.,30
05BR00141,90883,6.0,18,THIN, 7,1,0,173,1,W,1,,.,07
