UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,BLEED,STM,C1107,W1107,C0111,W0111
06BR00001, 3101,3.5,00,,17,1,7,182,2,W,1,.,.,33,6,172,6,175
06BR00002, 3160,3.5,00,LATEtoMILK,11,1,7,195,5,W,1,.,.,33,7,198,7,189
06BR00003, 3036,3.5,00,,18,1,7,178,2,W,1,.,.,33,7,180,7,172
06BR00004, 3039,3.5,00,"LTS,FEVER TX.",14,1,7,196,2,W,1,.,.,33,7,187,7,191
06BR00005, 3058,3.5,00,,15,1,7,199,1,W,1,.,.,33,7,201,7,198
06BR00006, 3060,3.5,00,,14,1,7,211,1,W,1,.,.,33,5,206,6,208
06BR00007, 3066,3.5,00,,19,1,7,167,1,W,1,.,.,33,6,164,6,177
06BR00008, 3022,3.5,00,,16,1,7,149,1,W,1,.,.,33,4,161,5,169
06BR00009, 3083,3.5,00,,13,1,7,186,2,W,1,.,.,33,5,173,6,177
06BR00010, 3085,3.5,00,,12,1,7,202,1,W,1,.,.,33,6,193,7,198
06BR00011,01103,7.0,18,SW.BAG,03,1,2,188,1,W,1,.,.,07,6,173,6,176
06BR00012,01131,7.0,68,,01,1,0,196,1,W,1,.,B,06,4,189,3,179
06BR00013,01161,7.0,18,MISSING?,19,1,2,190,1,W,1,.,.,07,7,184,6,182
06BR00014,01015,7.0,18,IN W/ RED 41,05,1,0,194,1,W,1,.,.,07,5,180,5,191
06BR00015,01328,7.0,88,LATEtoMILK,07,2,0,181,2,W,1,.,.,30,0,182,0,162
06BR00016,01430,7.0,18,,01,1,0,184,1,W,1,.,.,07,6,169,6,187
06BR00017,01422,7.0,18,BIG SW.BAG,33,1,0,201,1,W,1,.,.,07,6,199,5,204
06BR00018,01470,7.0,18,THIN, 2,1,0,177,1,W,1,.,.,07,6,166,6,163
06BR00019,01242,7.0,68,VLTS,04,1,0,152,1,W,1,.,B,06,3,150,4,162
06BR00020,00148,7.0,18,,31,1,0,177,1,W,1,.,.,07,6,174,6,175
06BR00021,00197,7.0,18,DYSTOCIA,29,1,0,185,1,W,1,.,.,07,5,181,6,192
06BR00022,00545,7.0,18,NICE,26,1,2,199,1,W,1,.,.,07,7,183,8,184
06BR00023,00589,7.0,68,DYSTOCIA,02,1,0,213,5,W,1,.,B,06,7,211,6,209
06BR00024,00647,7.0,68,DEPRESSED,45,1,0,206,1,W,1,.,B,06,5,197,5,204
06BR00025,00657,7.0,88,LTS,01,2,0,171,2,W,1,.,.,30,0,168,0,166
06BR00026,00670,7.0,68,,42,1,0,197,2,W,1,.,B,06,6,198,6,198
06BR00027,00677,7.0,18,LUMP IN BAG,32,1,0,197,1,W,1,.,.,07,6,191,7,180
06BR00028,00816,7.0,18,LTS,29,1,2,187,1,W,1,.,.,43,5,184,5,182
06BR00029,00904,7.0,18,NICE,22,1,0,184,1,W,1,.,.,07,7,181,7,190
06BR00030,00976,7.0,18,, 3,1,0,192,1,W,1,.,.,07,7,184,6,168
06BR00031,00737,7.0,41,#2 BORN LATE,59,2,0,196,2,W,1,.,.,02,0,188,0,172
06BR00032,00728,7.0,18,SW.BAG,17,1,0,189,1,W,1,.,.,43,5,184,6,184
06BR00033,03116,2.0,m3,NE23-503116, 2,1,r,143,C,W,1,.,.,m3,6,134,6,160
06BR00034,03118,2.0,m3,NE23-503118, 4,1,r,186,5,W,1,.,.,m3,7,176,7,196
06BR00035,03101,2.0,m3,NE23-503101, 7,1,r,140,C,W,1,.,.,m3,6,130,6,153
06BR00036,03100,2.0,m3,VAGINITIS, 6,1,r,140,C,W,1,.,.,m3,5,141,6,170
06BR00037,03104,2.0,m3,NE23-503104, 8,1,r,166,5,W,1,.,.,m3,5,157,7,186
06BR00038,03107,2.0,m3,NE23-503107, 1,1,r,165,C,W,1,.,.,m3,6,150,7,184
