UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
14BR00001,H3345,7.0,88,4TEATS,13,1,7,136,1,0,1,93,30,,,,
14BR00002,H3499,7.0,88,4TEATS,17,1,7,154,1,W,1,,30,157,1107,173,0106
14BR00003,H3857,6.0,88,LONG TEATS,14,1,,208,2,W,1,,30,205,1107,206,0106
14BR00004,H3898,6.0,82,.,18,1,,143,1,W,1,,30,158,1107,164,0106
14BR00005,H3905,6.0,88,SNOTTY.INC.RE,16,1,,138,1,W,1,,30,149,1107,147,0106
14BR00006,H3934,6.0,88,SRS.MORE,15,1,,176,1,0,1,93,30,,,,
14BR00007,H4017,6.0,84,.,17,1,,155,1,W,1,,30,160,1107,168,0106
14BR00008,H4114,6.0,83,.,15,1,,177,1,W,1,,30,182,1107,193,0106
14BR00009,H4277,6.0,83,.,14,1,,149,1,W,1,,30,153,1107,160,0106
14BR00010,H4333,6.0,88,.,13,1,,148,1,W,1,,30,157,1107,157,0106
14BR00011,H4399,6.0,88,.,14,1,,164,1,W,1,,30,173,1107,179,0106
14BR00012,H4499,6.0,88,RP,17,1,,145,1,W,1,,30,157,1107,165,0106
14BR00013,H4591,5.0,,,13,1,,161,1,W,1,,30,166,1107,175,0106
14BR00014,H4639,5.0,,,15,1,,153,2,W,1,,30,143,1107,157,0106
14BR00015,H4805,5.0,,Bret Grp 3,13,1,,194,H,W,1,,30,197,1107,195,0106
14BR00016,H4823,5.0,,Saved; nice,16,1,,194,1,W,1,,30,200,1107,212,0106
14BR00017,H4891,5.0,,BLOODLSD.OKNO,15,1,,165,1,W,1,,30,173,1107,177,0106
14BR00018,H5114,5.0,,,13,1,,171,2,W,1,,30,175,1107,176,0106
14BR00019,H5141,5.0,,,15,1,,156,1,W,1,,30,152,1107,179,0106
14BR00020,H5213,5.0,,CHUNKSOKNOW,13,1,,145,1,W,1,,30,147,1107,157,0106
14BR00021,H5272,5.0,,,18,1,,137,1,W,1,,30,142,1107,135,0106
14BR00022,H5319,5.0,,Saved; nice,18,1,,197,2,W,1,,30,208,1107,201,0106
14BR00023,H5332,5.0,,STIFF.HIND.EN,14,1,,181,2,W,1,,30,187,1107,179,0106
14BR00024,H5408,5.0,,Thin Pen 2014,14,1,,194,2,W,1,,30,177,1107,,
14BR00025,H5411,5.0,,Broken Leg,18,1,,167,2,0,1,42,30,,,,
14BR00026,H5430,5.0,,,17,1,,161,1,W,1,,30,161,1107,164,0106
14BR00027,H5431,5.0,,CHECK PARENTS,15,1,,189,2,W,1,,30,180,1107,190,0106
14BR00028,H5456,5.0,,Ugly eyes,13,1,,156,2,W,1,,30,155,1107,155,0106
14BR00029,H5484,5.0,,SRS.MORE,18,1,,184,2,W,1,,30,188,1107,200,0106
14BR00030,H5520,5.0,,,17,1,,136,1,W,1,,30,150,1107,127,0106
14BR00031,H5551,5.0,,,13,1,,142,2,W,1,,30,151,1107,145,0106
14BR00032,H5570,4.0,,.,15,1,0,156,1,W,1,,30,161,1107,184,0106
14BR00033,H5592,4.0,,4TEATS,13,1,0,162,1,W,1,,30,171,1107,180,0106
14BR00034,H5668,4.0,,MissJanWt,16,1,0,174,1,W,1,,30,184,1107,0,0106
14BR00035,H5686,4.0,,In 10-25-13,18,1,0,150,2,W,1,,30,157,1107,161,0106
14BR00036,H5693,4.0,,.,17,1,0,168,2,W,1,,30,162,1107,172,0106
14BR00037,H5696,4.0,,.,15,1,0,176,2,W,1,,30,173,1107,178,0106
