UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00001,A0005,1.0,,.,Tom,2,0,121,1,127,1008,,1,,30,132,1121,,
19BR00002,A0006,1.0,,.,EC2,5,0,123,2,130,1119,W,1,,30,139,1216,,
19BR00003,A0009,1.0,,.,26,1,0,162,D,153,1008,W,1,,30,162,1106,169,0108
19BR00004,A0023,1.0,,.,21,1,7,139,2,131,1010,W,1,,30,147,1106,156,0108
19BR00005,A0024,1.0,,.,EC3,5,0,154,D,163,1119,W,1,,30,166,1216,,
19BR00006,A0025,1.0,,HAIRY,26,1,0,140,2,131,1010,W,1,,30,145,1106,155,0108
19BR00007,A0032,1.0,,PINK,22,1,,149,D,139,1008,W,1,,30,149,1106,157,0108
19BR00008,A0035,1.0,,.,25,1,7,121,2,,,0,1,,30,,,,
19BR00009,A0049,1.0,,PINK,21,1,0,145,1,135,1010,W,1,,30,150,1106,151,0108
19BR00010,A0052,1.0,,PINK,EC1,5,,154,1,163,1119,W,1,,30,166,1216,,
19BR00011,A0059,1.0,,.,23,1,7,123,1,130,1008,W,1,,30,147,1106,157,0108
19BR00012,A0061,1.0,,PINK,27,1,0,125,2,118,1008,W,1,,30,134,1106,140,0108
19BR00013,A0066,1.0,,.,26,1,0,135,1,141,1008,W,1,,30,140,1106,,
19BR00014,A0069,1.0,,.,24,1,,161,2,153,1008,W,1,,30,172,1106,163,0108
19BR00015,A0070,1.0,,.,23,1,,147,D,147,1008,W,1,,30,153,1106,154,0108
19BR00016,A0072,1.0,,PINK.UGLY,EC2,5,0,167,D,171,1119,W,1,,30,172,1216,,
19BR00017,A0073,1.0,,.,EC3,5,,178,D,191,1119,W,1,,30,194,1216,,
19BR00018,A0078,1.0,,.,21,1,0,140,1,134,1008,W,1,,30,141,1106,135,0108
19BR00019,A0081,1.0,,In 10-22-19,21,1,0,129,1,,,W,1,,30,134,1106,143,0108
19BR00020,A0089,1.0,,.,25,1,0,152,1,151,1008,W,1,,30,163,1106,162,0108
19BR00021,A0094,1.0,,.,Tom,2,0,131,1,129,1010,,1,,30,130,1121,,
19BR00022,A0103,1.0,,ScoursTx,20,1,,123,1,120,1008,W,1,,30,135,1106,152,0108
19BR00023,A0106,1.0,,RespTx,24,1,0,143,2,145,1008,W,1,,30,152,1106,155,0108
19BR00024,A0110,1.0,,.,20,1,0,134,2,136,1008,W,1,,30,143,1106,156,0108
19BR00025,A0121,1.0,,.,21,1,0,133,1,135,1008,W,1,,30,136,1106,149,0108
19BR00026,A0128,1.0,,ScoursTx,23,1,,176,D,169,1008,W,1,,30,172,1106,182,0108
19BR00027,A0132,1.0,,2ND.UGLY,21,1,0,150,1,147,1008,W,1,,30,158,1106,164,0108
19BR00028,A0134,1.0,,PINK.EARS,EC1,5,0,163,2,164,1119,W,1,,30,169,1216,,
19BR00029,A0136,1.0,,.,EC2,5,0,153,1,155,1119,W,1,,30,164,1216,,
19BR00030,A0144,1.0,,NWBLameRF,24,1,0,135,1,140,1008,W,1,,30,151,1106,139,0108
19BR00031,A0148,1.0,,.,28,1,,142,D,134,1010,W,1,,30,149,1106,154,0108
19BR00032,A0149,1.0,,IncRR&TempTx,EC3,5,0,140,1,134,1119,W,1,,30,152,1216,,
19BR00033,A0158,1.0,,PINK  ScoursT,EC1,5,,149,D,146,1119,W,1,,30,153,1216,,
19BR00034,A0159,1.0,,.,EC2,5,7,144,2,158,1119,W,1,,30,156,1216,,
19BR00035,A0164,1.0,,.,25,1,,160,1,157,1008,W,1,,30,168,1106,184,0108
19BR00036,A0167,1.0,,HAIRY,EC3,5,0,160,D,158,1119,W,1,,30,165,1216,,
19BR00037,A0173,1.0,,ScoursTx,EC1,5,0,182,D,179,1119,W,1,,30,184,1216,,
19BR00038,A0175,1.0,,.,28,1,0,142,2,131,1010,W,1,,30,146,1106,157,0108
19BR00039,A0179,1.0,,HAIRY,20,1,7,146,D,144,1008,W,1,,30,144,1106,146,0108
19BR00040,A0184,1.0,,.,25,1,0,132,2,121,1008,W,1,,30,141,1106,151,0108
19BR00041,A0187,1.0,,.,EC2,5,0,140,1,147,1119,W,1,,30,155,1216,,
19BR00042,A0188,1.0,,HAIRY,21,1,7,130,2,133,1008,W,1,,30,142,1106,152,0108
19BR00043,A0189,1.0,,.,27,1,7,160,D,164,1008,W,1,,30,165,1106,169,0108
19BR00044,A0192,1.0,,.,20,1,0,111,1,116,1008,W,1,,30,121,1106,124,0108
19BR00045,A0193,1.0,,.,21,1,0,127,2,120,1010,W,1,,30,131,1106,139,0108
19BR00046,A0196,1.0,,.,28,1,0,151,1,156,1008,W,1,,30,161,1106,169,0108
19BR00047,A0199,1.0,,.,27,1,,149,D,154,1008,W,1,,30,150,1106,152,0108
19BR00048,A0202,1.0,,.,20,1,0,155,1,162,1008,W,1,,30,161,1106,172,0108
19BR00049,A0203,1.0,,.,26,1,0,149,1,147,1008,W,1,,30,157,1106,169,0108
19BR00050,A0207,1.0,,.,26,1,0,145,1,143,1008,W,1,,30,153,1106,152,0108
