UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
23BR00001,A0009,5.0,,LambedInJuly,39,1,0,211,4.5,1,211,1010,W,1,,30,216,1115,5.0,216,1228,4.5
23BR00002,A0059,5.0,,WARTS,39,1,7,157,3.0,1,155,1010,W,1,,30,171,1115,3.5,175,1228,4.0
23BR00003,A0309,5.0,,.,38,1,,209,4.0,1,212,1011,W,1,,30,210,1115,4.0,228,1228,4.0
23BR00004,A0311,5.0,,.,39,1,7,198,4.0,1,200,1010,W,1,,30,209,1115,4.0,217,1228,4.5
23BR00005,A0327,5.0,,CHUNKSBS,39,1,,186,3.5,1,187,1011,W,1,,30,201,1115,4.0,210,1228,4.0
23BR00006,A0354,4.0,,.,37,1,0,188,3.5,2,189,1010,W,1,,30,208,1115,4.0,199,1228,4.0
23BR00007,A0356,4.0,,.,42,1,7,173,3.0,1,171,1010,W,1,,30,179,1115,3.5,190,1228,3.5
23BR00008,A0363,4.0,,.,41,1,,165,3.5,1,175,1010,W,1,,30,168,1115,4.0,173,1228,4.0
23BR00009,A0370,4.0,,.,38,1,0,178,4.0,1,172,1010,W,1,,30,176,1115,4.0,196,1228,4.0
23BR00010,A0389,4.0,,.,41,1,,174,3.5,1,168,1010,W,1,,30,177,1115,3.5,190,1228,3.5
23BR00011,A0404,4.0,,SM.BAG,38,1,0,178,4.0,1,176,1011,W,1,,30,188,1115,4.5,188,1228,4.0
23BR00012,A0407,4.0,,NICE LAMB,43,1,0,230,4.0,1,233,1011,W,1,,30,229,1115,4.0,239,1228,4.5
23BR00013,A0432,4.0,,+Y0460,40,1,0,180,3.5,2,172,1010,W,1,,30,188,1115,4.0,200,1228,4.0
23BR00014,A0444,4.0,,.,40,1,0,173,4.0,1,171,1010,W,1,,30,185,1115,4.5,188,1228,4.0
23BR00015,A0456,4.0,,.,42,1,7,189,3.5,1,180,1010,W,1,,30,185,1115,3.5,211,1228,4.0
23BR00016,A0460,4.0,,.,41,1,,172,3.0,1,172,1010,W,1,,30,157,1115,3.5,184,1228,3.5
23BR00017,A0498,4.0,,.,41,1,,196,4.0,2,197,1010,W,1,,30,193,1115,4.0,200,1228,4.0
23BR00018,A0533,4.0,,TRYONE,42,1,0,167,3.5,1,185,1010,W,1,,30,187,1115,4.0,201,1228,4.0
23BR00019,A0535,4.0,,.,37,1,,193,3.5,2,190,1010,W,1,,30,202,1115,5.0,211,1228,4.5
23BR00020,A0545,4.0,,.,43,1,,177,3.5,1,180,1011,W,1,,30,188,1115,3.5,206,1228,4.0
23BR00021,A0587,4.0,,SMBAG,37,1,7,172,3.5,2,168,1010,W,1,,30,177,1115,4.0,197,1228,4.0
23BR00022,A0590,4.0,,.,43,1,,165,3.0,2,175,1010,W,1,,30,166,1115,3.5,177,1228,3.0
23BR00023,A0607,4.0,,.,41,1,0,204,4.0,1,197,1010,W,1,,30,202,1115,4.0,206,1228,4.0
23BR00024,A0609,4.0,,SMBAG,40,1,7,186,3.5,1,186,1010,W,1,,30,189,1115,4.0,205,1228,4.0
23BR00025,A0622,4.0,,2@ONCE,42,1,0,186,4.0,1,190,1011,W,1,,30,195,1115,4.0,206,1228,4.0
23BR00026,A0632,4.0,,.,37,1,,189,4.0,1,188,1011,W,1,,30,193,1115,3.5,209,1228,4.0
23BR00027,A0654,4.0,,.,42,1,7,189,3.5,1,178,1010,W,1,,30,188,1115,3.5,208,1228,3.5
23BR00028,A0687,4.0,,.,39,1,,217,4.5,D,208,1010,W,1,,30,218,1115,3.5,227,1228,4.5
23BR00029,A0733,3.0,,SMBAG,39,1,0,164,3.0,2,168,1010,W,1,,30,180,1115,3.5,197,1228,4.0
23BR00030,A0761,3.0,,SMBAG,42,1,0,162,3.5,1,165,1010,W,1,,30,179,1115,4.0,189,1228,4.0
23BR00031,A0766,3.0,,.,40,1,0,211,4.0,2,206,1011,W,1,,30,223,1115,3.5,218,1228,4.0
23BR00032,A0816,3.0,,SMBAG,39,1,0,173,3.5,H,178,1010,W,1,,30,179,1115,4.5,198,1228,4.0
23BR00033,A0844,3.0,,.,37,1,7,184,3.5,2,195,1010,W,1,,30,200,1115,4.0,212,1228,4.0
23BR00034,A0850,3.0,,SMBAG,39,1,7,174,3.5,1,175,1010,W,1,,30,182,1115,4.0,201,1228,4.5
23BR00035,A0871,3.0,,SMBAG,39,1,0,154,3.5,2,155,1011,W,1,,30,167,1115,4.0,178,1228,4.5
23BR00036,A0899,3.0,,.,43,1,0,176,3.5,1,183,1010,W,1,,30,180,1115,4.0,200,1228,4.0
23BR00037,A0907,3.0,,.,38,1,0,163,3.0,1,157,1010,W,1,,30,171,1115,4.0,188,1228,4.0
23BR00038,A0970,3.0,,SMBAG,41,1,,158,3.5,1,165,1010,W,1,,30,169,1115,4.0,187,1228,4.0
23BR00039,A0997,3.0,,.,41,1,,196,4.0,2,197,1011,W,1,,30,199,1115,4.5,213,1228,4.5
23BR00040,A1002,3.0,,.,41,1,0,193,3.5,1,193,1011,W,1,,30,193,1115,4.0,219,1228,4.0
23BR00041,A1008,3.0,,.,41,1,7,189,4.0,1,185,1010,W,1,,30,187,1115,3.5,208,1228,4.0
23BR00042,A1050,3.0,,SMBAG,39,1,,172,3.5,1,176,1011,W,1,,30,187,1115,3.5,194,1228,4.0
23BR00043,A1054,2.0,,Open face,42,1,0,158,3.0,1,167,1010,W,1,,30,162,1115,4.0,178,1228,4.0
23BR00044,A1057,2.0,,HAIRY,42,1,0,171,3.0,1,168,1011,W,1,,30,188,1115,3.0,206,1228,4.0
23BR00045,A1080,2.0,,.,38,1,,133,3.0,1,147,1011,W,1,,30,150,1115,4.0,163,1228,4.0
23BR00046,A1101,2.0,,2ND,38,1,0,162,3.5,1,167,1010,W,1,,30,171,1115,4.0,160,1228,4.0
23BR00047,A1119,2.0,,.,40,1,,161,3.0,1,161,1011,W,1,,30,168,1115,4.0,173,1228,3.5
23BR00048,A1127,2.0,,.,37,1,0,193,4.0,D,190,1010,W,1,,30,206,1115,4.5,219,1228,4.0
23BR00049,A1130,2.0,,.,41,1,7,152,3.0,1,151,1010,W,1,,30,146,1115,3.5,186,1228,4.0
23BR00050,A1137,2.0,,PINK,38,1,0,174,3.5,2,182,1010,W,1,,30,187,1115,4.0,211,1228,4.0
23BR00051,A1144,2.0,,2ND.HAIRY,37,1,,152,3.5,1,152,1011,W,1,,30,155,1115,4.0,171,1228,4.0
23BR00052,A1150,2.0,,PINK,41,1,0,186,4.0,D,191,1010,W,1,,30,187,1115,4.5,193,1228,4.5
23BR00053,A1157,2.0,,PE,42,1,0,145,3.5,2,149,1011,W,1,,30,153,1115,4.0,171,1228,4.0
23BR00054,A1161,2.0,,HAIRY,41,1,,171,3.5,1,174,1010,W,1,,30,169,1115,3.5,185,1228,4.0
23BR00055,A1162,2.0,,.,41,1,,160,3.0,1,167,1011,W,1,,30,163,1115,3.5,188,1228,4.0
23BR00056,A1179,2.0,,.,41,1,0,204,3.5,2,191,1010,W,1,,30,193,1115,3.5,211,1228,4.0
23BR00057,A1192,2.0,,.,41,1,,179,3.5,1,183,1010,W,1,,30,182,1115,4.0,190,1228,4.0
23BR00058,A1193,2.0,,.,39,1,0,202,4.0,1,198,1011,W,1,,30,205,1115,4.5,220,1228,4.5
23BR00059,A1202,2.0,,.,43,1,7,160,3.5,2,156,1010,W,1,,30,165,1115,3.5,180,1228,3.5
23BR00060,A1226,2.0,,.,38,1,7,177,3.5,2,182,1010,W,1,,30,191,1115,4.5,209,1228,4.5
23BR00061,A1243,2.0,,.,40,1,0,166,3.5,2,162,1011,W,1,,30,175,1115,4.0,189,1228,4.0
23BR00062,A1259,2.0,,.,43,1,0,196,4.0,1,201,1011,W,1,,30,201,1115,4.5,211,1228,4.0
23BR00063,A1273,2.0,,YellowDotBret,37,1,0,149,3.0,D,,,0,1,,30,164,1128,4.0,,,
23BR00064,A1283,2.0,,HAIRY,43,1,0,167,3.5,1,161,1011,W,1,,30,171,1115,4.5,175,1228,4.0
23BR00065,A1297,2.0,,.,40,1,0,157,3.0,1,156,1010,W,1,,30,164,1115,3.5,173,1228,3.5
23BR00066,A1302,2.0,,.,37,1,0,219,4.0,D,216,1010,W,1,,30,238,1115,4.5,239,1228,4.0
23BR00067,A1306,2.0,,.,40,1,7,167,3.5,1,164,1010,W,1,,30,178,1115,4.0,187,1228,4.0
23BR00068,A1312,2.0,,.,43,1,0,163,4.0,2,165,1010,W,1,,30,169,1115,4.5,182,1228,4.0
23BR00069,A1314,2.0,,.,42,1,0,176,3.5,1,171,1010,W,1,,30,177,1115,4.0,190,1228,4.0
23BR00070,A1320,2.0,,HAIRY,37,1,,158,3.0,1,154,1010,W,1,,30,167,1115,3.0,184,1228,4.0
23BR00071,A1322,2.0,,HAIRY,43,1,0,172,3.5,1,161,1010,W,1,,30,175,1115,3.5,185,1228,4.0
23BR00072,A1335,2.0,,"+Y0409,Y0410",37,1,7,188,3.5,1,191,1010,W,1,,30,204,1115,4.5,212,1228,4.0
23BR00073,A1353,2.0,,.,43,1,0,139,3.0,1,136,1011,W,1,,30,145,1115,3.0,175,1228,4.0
23BR00074,A1355,2.0,,YellowDotBret,41,1,0,197,4.0,D,,,0,1,,30,199,1128,4.5,,,
23BR00075,A1360,2.0,,.,40,1,7,174,4.0,1,175,1010,W,1,,30,185,1115,5.0,193,1228,4.0
23BR00076,A1361,2.0,,YellowDotBret,40,1,7,200,4.0,D,,,0,1,,30,194,1128,5.0,,,
23BR00077,A1367,2.0,,.,42,1,0,173,3.5,1,168,1010,W,1,,30,179,1115,4.0,204,1228,4.0
23BR00078,A1382,2.0,,.,42,1,7,187,4.0,1,194,1011,W,1,,30,195,1115,4.0,212,1228,4.0
23BR00079,A1383,2.0,,.,40,1,7,171,3.5,2,171,1011,W,1,,30,186,1115,3.5,195,1228,4.5
23BR00080,A1390,2.0,,.,42,1,0,207,4.0,D,205,1010,W,1,,30,206,1115,4.5,215,1228,4.0
23BR00081,A1408,2.0,,.,40,1,0,153,3.0,1,157,1010,W,1,,30,166,1115,3.5,174,1228,4.0
23BR00082,A1419,2.0,,.,38,1,7,164,3.5,1,165,1010,W,1,,30,171,1115,4.0,183,1228,4.0
23BR00083,A1450,2.0,,.,41,1,7,158,3.0,2,167,1010,W,1,,30,165,1115,3.5,171,1228,4.0
23BR00084,A1456,2.0,,.,39,1,0,146,3.0,1,150,1010,W,1,,30,160,1115,4.0,167,1228,4.0
23BR00085,A1468,1.0,,.,38,1,7,151,3.0,2,162,1010,W,1,,30,167,1115,4.0,186,1228,4.0
23BR00086,A1476,1.0,,.,42,1,7,142,3.0,2,149,1010,W,1,,30,151,1115,3.0,174,1228,4.0
23BR00087,A1483,1.0,,1ST,38,1,0,166,3.5,D,167,1010,W,1,,30,165,1115,4.0,180,1228,4.5
23BR00088,A1493,1.0,,.,41,1,0,179,4.0,D,177,1010,W,1,,30,180,1115,4.5,189,1228,4.0
23BR00089,A1502,1.0,,.,40,1,0,143,3.5,1,143,1011,W,1,,30,152,1115,4.0,167,1228,4.0
23BR00090,A1503,1.0,,NO.DATA,43,1,0,169,4.0,D,171,1011,W,1,,30,175,1115,4.0,182,1228,4.0
23BR00091,A1506,1.0,,DRY,39,1,0,125,3.0,D,141,1010,W,1,,30,146,1115,3.5,153,1228,4.0
23BR00092,A1507,1.0,,CHUNKSRSD.MIL,39,1,,147,3.5,1,154,1010,W,1,,30,165,1115,3.5,167,1228,4.0
23BR00093,A1508,1.0,,3RD,38,1,,155,3.5,1,160,1010,W,1,,30,169,1115,4.0,190,1228,4.0
23BR00094,A1509,1.0,,.,41,1,,141,3.0,1,147,1010,W,1,,30,144,1115,3.5,167,1228,3.5
23BR00095,A1511,1.0,,.,40,1,0,140,2.5,2,141,1011,W,1,,30,153,1115,3.5,168,1228,3.5
23BR00096,A1512,1.0,,.,42,1,0,157,3.0,1,166,1010,W,1,,30,177,1115,3.5,189,1228,4.0
23BR00097,A1514,1.0,,.,43,1,,153,3.5,1,154,1010,W,1,,30,157,1115,3.5,175,1228,4.0
23BR00098,A1515,1.0,,CHUNKSBS,43,1,,135,3.0,2,132,1011,W,1,,30,145,1115,3.5,153,1228,3.5
23BR00099,A1516,1.0,,.,43,1,,145,3.0,1,145,1011,W,1,,30,154,1115,4.0,156,1228,4.0
23BR00100,A1518,1.0,,.,40,1,0,147,3.0,2,157,1010,W,1,,30,164,1115,3.5,168,1228,4.0
23BR00101,A1522,1.0,,.,38,1,0,146,3.5,1,144,1011,W,1,,30,153,1115,3.5,161,1228,4.0
23BR00102,A1527,1.0,,.,37,1,0,167,3.5,1,173,1010,W,1,,30,174,1115,3.5,186,1228,4.0
23BR00103,A1530,1.0,,.,42,1,0,141,3.5,1,145,1010,W,1,,30,150,1115,3.5,146,1228,4.0
23BR00104,A1532,1.0,,.,40,1,0,135,3.5,1,136,1010,W,1,,30,146,1115,4.0,152,1228,4.0
23BR00105,A1535,1.0,,.,39,1,7,134,3.0,1,139,1010,W,1,,30,147,1115,3.5,167,1228,3.5
23BR00106,A1536,1.0,,.,42,1,7,166,3.0,1,169,1011,W,1,,30,178,1115,3.0,213,1228,4.0
23BR00107,A1545,1.0,,.,43,1,7,140,3.0,2,140,1010,W,1,,30,139,1115,3.0,163,1228,3.5
23BR00108,A1548,1.0,,.,40,1,0,130,2.5,1,128,1010,W,1,,30,135,1115,2.0,149,1228,3.5
23BR00109,A1549,1.0,,.,40,1,0,133,3.5,2,135,1010,W,1,,30,143,1115,4.0,151,1228,3.5
23BR00110,A1551,1.0,,.,40,1,0,146,3.5,2,144,1010,W,1,,30,153,1115,3.5,163,1228,4.0
23BR00111,A1554,1.0,,.,37,1,0,119,3.0,H,111,1010,W,6,19,30,,,,,,
23BR00112,A1558,1.0,,.,39,1,0,176,4.0,D,180,1010,W,1,,30,183,1115,4.0,198,1228,4.5
23BR00113,A1569,1.0,,HAIRY,38,1,0,135,3.0,2,143,1011,W,1,,30,146,1115,3.5,161,1228,3.5
23BR00114,A1581,1.0,,.,38,1,0,189,4.0,1,187,1010,W,1,,30,175,1115,3.5,173,1228,3.5
23BR00115,A1582,1.0,,.,43,1,0,133,2.5,1,143,1011,W,1,,30,147,1115,3.0,158,1228,3.5
23BR00116,A1594,1.0,,.,38,1,0,152,3.5,D,157,1010,W,1,,30,164,1115,4.0,171,1228,3.5
23BR00117,A1611,1.0,,.,42,1,0,125,3.0,2,139,1010,W,1,,30,144,1115,3.0,155,1228,3.5
23BR00118,A1614,1.0,,.,38,1,0,171,3.5,D,178,1010,W,1,,30,176,1115,4.0,184,1228,3.5
23BR00119,A1615,1.0,,WATERYMLK,37,1,0,175,4.0,D,175,1011,W,1,,30,193,1115,4.0,199,1228,4.0
23BR00120,A1616,1.0,,.,42,1,7,140,2.5,2,139,1010,W,1,,30,154,1115,3.0,153,1228,3.5
23BR00121,A1617,1.0,,.,42,1,7,144,3.0,1,155,1010,W,1,,30,155,1115,3.0,182,1228,3.5
23BR00122,A1625,1.0,,.,43,1,,153,3.0,1,156,1010,W,1,,30,165,1115,4.0,177,1228,3.5
23BR00123,A1626,1.0,,SMBAG,43,1,0,162,3.5,1,165,1010,W,1,,30,174,1115,4.0,196,1228,4.0
23BR00124,A1632,1.0,,.,38,1,0,158,3.0,1,158,1010,W,6,01,30,172,1115,3.0,,,
23BR00125,A1637,1.0,,.,37,1,0,151,3.5,D,144,1010,W,1,,30,156,1115,4.0,143,1228,4.0
23BR00126,A1644,1.0,,.,41,1,,142,3.0,2,149,1011,W,1,,30,145,1115,3.0,173,1228,4.0
23BR00127,A1646,1.0,,.,43,1,7,155,3.5,1,164,1011,W,1,,30,176,1115,4.0,199,1228,4.0
23BR00128,A1648,1.0,,.,38,1,,146,3.0,1,147,1011,W,1,,30,162,1115,3.5,169,1228,3.5
23BR00129,A1649,1.0,,.,39,1,,162,4.0,D,157,1010,W,1,,30,164,1115,4.0,177,1228,4.0
23BR00130,A1651,1.0,,HAIRY,37,1,0,163,3.5,D,166,1010,W,1,,30,169,1115,4.0,175,1228,4.0
23BR00131,A1654,1.0,,.,42,1,0,139,3.0,2,145,1011,W,1,,30,144,1115,3.0,138,1228,3.5
23BR00132,A1658,1.0,,.,42,1,,194,4.0,D,194,1010,W,1,,30,193,1115,4.0,188,1228,4.0
23BR00133,A1663,1.0,,.,41,1,0,155,2.5,1,151,1010,W,1,,30,153,1115,3.0,169,1228,4.0
23BR00134,A1665,1.0,,HAIRY,41,1,0,133,3.0,1,136,1010,W,1,,30,138,1115,3.5,149,1228,3.5
23BR00135,A1674,1.0,,HAIRY,42,1,,133,3.0,1,131,1011,W,1,,30,151,1115,3.5,163,1228,4.0
23BR00136,A1678,1.0,,HAIRY,38,1,0,153,3.5,D,147,1010,W,1,,30,157,1115,3.5,162,1228,4.0
23BR00137,A1684,1.0,,2ND+2@ONCE,41,1,0,143,3.0,2,156,1010,W,1,,30,144,1115,4.0,171,1228,4.0
23BR00138,A1685,1.0,,Down,40,1,7,141,3.0,1,143,1011,W,6,66,30,153,1115,3.5,,,
23BR00139,A1692,1.0,,.,42,1,,140,3.0,1,139,1010,W,1,,30,146,1115,3.5,161,1228,3.5
23BR00140,A1706,1.0,,SM.BAG,38,1,0,133,3.0,2,140,1011,W,1,,30,145,1115,3.5,156,1228,4.0
23BR00141,A1709,1.0,,SM.BAG,37,1,,128,3.5,1,139,1010,W,1,,30,144,1115,3.5,138,1228,3.5
23BR00142,A1712,1.0,,3RD,41,1,,143,3.0,1,133,1010,W,1,,30,139,1115,3.0,168,1228,3.5
23BR00143,A1723,1.0,,.,40,1,0,151,3.5,1,153,1010,W,1,,30,164,1115,4.0,175,1228,4.0
23BR00144,A1725,1.0,,.,38,1,0,158,4.0,1,157,1010,W,1,,30,162,1115,4.5,174,1228,4.0
23BR00145,A1726,1.0,,.,37,1,0,179,3.5,2,177,1010,W,1,,30,187,1115,4.0,198,1228,4.0
23BR00146,A1734,1.0,,.,37,1,,163,3.5,1,165,1010,W,1,,30,178,1115,4.0,179,1228,4.0
23BR00147,A1736,1.0,,.,37,1,0,174,3.5,D,175,1010,W,1,,30,194,1115,4.5,186,1228,4.0
23BR00148,A1742,1.0,,1ST,38,1,0,154,3.5,1,161,1010,W,1,,30,164,1115,4.5,179,1228,4.0
23BR00149,A1753,1.0,,Gut problem,43,1,0,152,3.5,1,158,1010,W,6,42,30,169,1115,4.0,,,
23BR00150,A1754,1.0,,HAIRY,40,1,0,140,3.0,1,141,1011,W,1,,30,156,1115,4.0,166,1228,3.5
23BR00151,A1762,1.0,,.,37,1,7,140,2.5,1,142,1010,W,1,,30,149,1115,3.5,164,1228,4.0
23BR00152,H9310,7.0,,.,39,1,7,172,3.0,2,174,1010,W,1,,30,179,1115,3.5,190,1228,4.0
23BR00153,H9393,7.0,,.,43,1,0,160,3.0,1,158,1011,W,1,,30,161,1115,3.0,164,1228,3.5
23BR00154,H9448,7.0,,TIGHTBAG,39,1,0,190,3.0,1,186,1011,W,1,,30,200,1115,3.5,210,1228,4.0
23BR00155,H9501,7.0,,CHUNK.LS,40,1,0,158,3.0,1,168,1010,W,1,,30,174,1115,4.0,175,1228,4.0
23BR00156,H9551,7.0,,WARTS,39,1,,183,3.0,2,175,1010,W,1,,30,183,1115,3.5,184,1228,3.5
23BR00157,H9648,6.0,,SMBAG,39,1,0,156,2.0,2,158,1010,W,1,,30,165,1115,3.0,182,1228,3.0
23BR00158,H9692,6.0,,.,43,1,0,175,3.0,1,163,1010,W,1,,30,174,1115,3.5,178,1228,3.5
23BR00159,H9754,6.0,,.,43,1,0,194,3.5,1,189,1010,W,1,,30,197,1115,4.5,212,1228,4.5
23BR00160,H9899,6.0,,.,37,1,7,171,3.5,1,171,1010,W,1,,30,196,1115,4.0,206,1228,4.0
23BR00161,H9974,5.0,,SMBAG,37,1,7,237,4.0,1,231,1011,W,1,,30,235,1115,4.5,245,1228,4.5
23BR00162,H9980,5.0,,.,39,1,,204,4.0,1,201,1010,W,1,,30,213,1115,4.5,222,1228,4.5
23BR00163,H9982,5.0,,.,39,1,0,153,3.5,1,155,1011,W,1,,30,158,1115,3.5,180,1228,4.0
23BR00164,K5131,6.0,,LAME,1,1,,215,3.5,H,212,1010,W,1,,06,240,1128,4.0,238,1228,4.0
23BR00165,K5132,6.0,,.,3,1,,206,3.5,2,201,1011,W,1,,06,235,1128,4.0,215,1228,4.0
23BR00166,K5150,6.0,,.,4,1,,184,3.0,2,180,1010,W,1,,06,227,1128,3.5,220,1228,4.0
23BR00167,K5173,6.0,,CANTFINDLAMB,2,1,,193,3.0,1,198,1010,W,1,,06,219,1128,3.5,220,1228,4.0
23BR00168,K5201,5.0,,.,1,1,,205,3.5,1,195,1010,W,1,,06,217,1128,4.0,230,1228,4.0
23BR00169,K5202,5.0,,.,3,1,,187,3.5,1,187,1010,W,1,,06,213,1128,4.0,217,1228,4.0
23BR00170,K5230,5.0,,OKFORONE,2,1,,224,3.5,1,215,1011,W,1,,06,245,1128,3.5,237,1228,4.5
23BR00171,K5275,4.0,,.,35,1,,200,3.5,1,196,1011,W,1,,06,205,1115,3.0,198,1228,3.0
23BR00172,K5298,4.0,,.,2,1,,173,3.5,1,172,1011,W,1,,06,193,1128,4.0,190,1228,4.0
23BR00173,K5301,4.0,,.,35,1,,221,3.5,2,219,1011,W,1,,06,222,1115,3.5,219,1228,4.0
23BR00174,K5309,4.0,,.,4,1,,196,4.0,1,188,1010,W,1,,06,218,1128,4.5,226,1228,4.0
23BR00175,K5343,3.0,,SMBAG,35,1,,175,3.5,2,182,1011,W,1,,06,185,1115,3.0,202,1228,4.0
23BR00176,K5346,3.0,,.,1,1,,185,3.5,1,185,1011,W,1,,06,205,1128,4.0,206,1228,4.0
23BR00177,K5357,3.0,,2ND.BACKWARDS,35,1,,209,3.0,1,211,1010,W,1,,06,226,1115,4.0,238,1228,4.5
23BR00178,K5369,3.0,,.,35,1,,193,3.5,1,195,1011,W,1,,06,199,1115,3.5,217,1228,4.0
23BR00179,K5382,3.0,,SMBAG,35,1,,176,3.5,1,182,1011,W,1,,06,186,1115,3.0,202,1228,4.0
23BR00180,K5386,3.0,,.,1,1,,201,4.0,1,202,1010,W,1,,06,221,1128,4.0,217,1228,4.5
23BR00181,K5388,3.0,,MissedSpwt21,2,1,,174,3.0,2,184,1010,W,1,,06,190,1128,3.0,195,1228,4.0
23BR00182,K5392,3.0,,RSMORE,4,1,,178,3.5,1,182,1011,W,1,,06,204,1128,4.0,208,1228,4.0
23BR00183,K5405,3.0,,.,35,1,,160,3.5,1,171,1010,W,1,,06,171,1115,3.0,182,1228,3.5
23BR00184,K5414,2.0,,PE,3,1,,211,3.5,1,205,1010,W,1,,06,238,1128,4.0,228,1228,4.0
23BR00185,K5416,2.0,,+Y0399,3,1,,197,4.0,1,193,1010,W,1,,06,210,1128,4.0,202,1228,4.0
23BR00186,K5425,2.0,,.,4,1,,172,3.5,1,178,1010,W,1,,06,198,1128,4.0,201,1228,4.0
23BR00187,K5434,2.0,,2ND,4,1,,222,4.0,D,229,1010,W,1,,06,246,1128,4.0,237,1228,4.0
23BR00188,K5440,2.0,,.,3,1,,162,3.0,2,177,1010,W,1,,06,197,1128,3.5,190,1228,4.0
23BR00189,K5441,2.0,,HAIRY,4,1,,179,3.0,1,188,1011,W,1,,06,220,1128,4.0,217,1228,4.0
23BR00190,K5450,1.0,,.,2,1,,145,3.0,2,146,1010,W,1,,06,163,1128,3.0,162,1228,3.5
23BR00191,K5451,1.0,,.,4,1,,164,3.5,1,168,1010,W,1,,06,190,1128,4.0,187,1228,4.0
23BR00192,K5452,1.0,,2ND,2,1,,200,4.0,1,201,1011,W,1,,06,220,1128,4.0,217,1228,4.0
23BR00193,K5453,1.0,,.,1,1,,202,4.0,2,196,1010,W,1,,06,222,1128,4.0,227,1228,4.0
23BR00194,K5456,1.0,,.,2,1,,165,3.5,D,178,1010,W,7,97,06,182,1128,4.0,,,
23BR00195,K5458,1.0,,SM.BAG,3,1,,162,3.5,1,166,1011,W,1,,06,182,1128,3.5,185,1228,4.0
23BR00196,K5463,1.0,,.,3,1,,194,3.5,D,190,1010,W,1,,06,218,1128,3.5,216,1228,4.0
