UID,ETAG,YR,SEX,LINE,LOT,BPEN,PD,FAWT,COND,BGRP,GRP,RMK
93BR00001,K3115,88,2,61,,11,1,189,4,1,,
93BR00002,K3117,88,2,60,,52,1,171,3,1,,
93BR00003,K3126,88,2,68,35A,LIS,1,152,,L,,
93BR00004,K3181,88,2,60,,04,1,189,3,1,,
93BR00005,K3010,87,2,60,,03,1,190,3,1,,
93BR00006,K3035,87,2,62,,65,1,183,3,1,,TRT ?
93BR00007,K3053,87,2,62,,52,1,216,4,1,,DYSTOCIA
93BR00008,K3066,88,2,68,35C,LIS,1,182,,L,,
93BR00009,K3062,88,2,61,,51,1,197,3,1,,
93BR00010,K3098,88,2,61,,14,1,169,2,1,,
93BR03015,Z0597,91,2,97,,971,1,220,2,1,,
93BR03016,Z0576,91,2,97,,971,1,178,2,1,,
93BR03017,Z0658,91,3,55,RUM,RUM,1,0,,,F,
93BR03018,Z0660,91,3,55,RUM,RUM,1,0,,,F,
93BR03019,Z0683,91,2,97,,972,1,166,3,1,,
93BR03020,Z0837,91,3,00,BLK,BLK,1,206,4,,W,BLK.WETHER
93BR03021,Z0850,91,2,97,,971,1,182,3,1,,
93BR03022,Z0733,91,2,97,,972,1,185,3,1,,
93BR03023,Z0729,91,2,97,,971,1,180,3,1,,
93BR03024,K4266,89,2,68,,52,1,190,3,1,,
