UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR00001,A0113,1.0,82,, 27,2,0,W
94BR00002,A0147,1.0,81,, 02,2,0,W
94BR00003,A0153,1.0,82,, 29,2,0,W
94BR00004,A0152,1.0,81,, 04,2,0,W
94BR00005,A0165,1.0,81,, 01,2,0,W
94BR00006,A0166,1.0,81,, 02,2,0,W
94BR00007,A0162,1.0,82,FOUNDER '94, 30,2,0,W
94BR00008,A0120,1.0,82,, 28,2,0,W
94BR00009,A0129,1.0,81,, 03,2,0,W
94BR00010,A0181,1.0,81,, 04,2,0,W
94BR02195,Z2411,1.0,97,ENTR,971,1,0,W
94BR02196,Z2419,1.0,97,,971,1,0,W
94BR02197,Z2436,1.0,97,,972,1,0,W
94BR02198,Z2437,1.0,97,,971,1,0,W
94BR02199,Z2461,1.0,97,,972,1,0,W
94BR02200,Z2490,1.0,97,ENTR,971,1,0,W
94BR02201,Z2474,1.0,97,,971,1,0,W
94BR02202,Z2622,1.0,97,,972,1,0,W
94BR02203,Z2298,1.0,97,,971,1,0,W
94BR02204,Z2299,1.0,97,PINKEYE 05/19,971,1,0,W
