UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,COND,UREA,WORK,AISIRE
95BR00001, 1031,3.0,48,,415,2,I,0,0.0,o,W,
95BR00002, 1036,6.0,18,,45,1,I,0,0.0,o,W,
95BR00003, 1032,3.0,48,ENTR,412,2,I,0,0.0,o,W,
95BR00004, 1043,4.0,48,,415,2,I,0,0.0,o,W,
95BR00005, 1042,4.0,18,SAVE not SPG,45,1,I,0,0.0,o,W,
95BR00006, 1049,2.0,18,,45,1,I,0,0.0,o,W,
95BR00007, 1069,4.0,18,,41,1,I,0,0.0,o,W,
95BR00008, 1080,3.0,48,,414,2,I,0,0.0,o,W,
95BR00009, 1083,6.0,18,,43,1,I,0,0.0,o,W,
95BR00010, 1077,2.0,18,,45,1,I,0,0.0,o,W,
95BR02426,   46,3.0,18,BRN.LEGS,45,1,I,0,0.0,o,W,
95BR02427,   49,3.0,48,,415,2,I,0,0.0,o,W,
95BR02428,   53,4.0,18,,45,1,I,0,0.0,o,W,
95BR02429,   58,6.0,18,,45,1,I,0,0.0,o,W,
95BR02430,   71,3.0,18,,45,1,I,0,0.0,o,W,
95BR02431,   74,3.0,18,,45,1,I,0,0.0,o,W,
95BR02432,   72,3.0,00,,45,1,I,0,0.0,o,W,
95BR02433,    8,3.0,18,,45,1,I,0,0.0,o,W,
95BR02434,A1279,1.0,ch,VAG.PROLAPSE,-2-,2,2,115,2.0,o,W,S1878
95BR02435,A1279,1.0,ch,VAG.PROLAPSE,-2-,2,2,115,0.0,o,W,S1878
