UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,COND,WORK
97BR00001,A1101,3.0,81,ENTR 1EYE,03,2,0,162,0,W
97BR00002,A1103,3.0,81,,04,2,0,188,0,W
97BR00003,A1109,3.0,73,4TEATS,-FL,F,6,0,0,*
97BR00004,A1133,3.0,ch,4TEATS,AI,A,2,154,0,W
97BR00005,A1134,3.0,ch,,AI,A,2,162,0,W
97BR00006,A1141,3.0,73,,-FL,F,6,0,0,*
97BR00007,A1151,3.0,81,,04,2,0,182,0,W
97BR00008,A1154,3.0,ch,,AI,A,2,196,0,W
97BR00009,A1157,3.0,81,LATE2MILK,03,2,0,138,0,W
97BR00010,A1161,3.0,ch,,AI,A,2,168,0,W
97BR02349,Z2912,3.0,97,FIBERBAG,972,1,0,206,0,W
97BR02350,Z2903,3.0,97,,972,1,0,222,0,W
97BR02351,Z2940,3.0,97,LATE2MILK,971,1,0,214,0,W
97BR02352,Z2945,3.0,97,FIX TAG OCT97,972,1,0,188,0,W
97BR02353,Z2957,3.0,97,,972,1,0,222,0,W
97BR02354,Z2963,3.0,97,3TEATS,972,1,0,207,0,W
97BR02355,Z2982,3.0,97,SICK 110394,972,1,0,246,0,W
97BR02356,Z2973,3.0,97,SM BAG,972,1,0,222,0,W
97BR02357,Z2975,3.0,97,SAVE,971,1,0,232,0,W
97BR02358,A2669,1.5,73,,-FL,F,6,140,0,W
