UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP
02BR00001, 6062,6.0,00,,UTE,U,2,183,3,W,
02BR00002, 6377,6.0,00,"LTS,SW.BAG",UTE,U,2,150,3,W,
02BR00003, 6236,6.0,00,SW.BAG,UTE,U,2,177,3,W,
02BR00004, 8136,4.0,00,"T X C ewe,OVX",OVX,O,2,0,5,W,
02BR00005, 8019,4.0,18,L.EYE TRT '02,AI-,A,2,165,4,W,
02BR00006, 8040,4.0,18,"OVX,BARREN",OVX,O,2,183,5,.,
02BR00007, 8050,4.0,00,T X C ewe,UTE,U,2,173,3,W,
02BR00008, 8059,4.0,18,POLYPAY?OVX,OVX,O,2,195,5,W,
02BR00009, 8028,4.0,00,BLACK MARKER,BLK,1,1,159,2,.,10
02BR00010, 8027,4.0,18,,AI-,A,2,163,1,W,
02BR02107,Z7074,1.0,97,SM.BAG,971,1,0,193,H,W,
02BR02108,Z7200,1.0,97,,972,1,0,200,H,W,
02BR02109,Z7245,1.0,00,BLACK EWE,BLK,2,1,169,5,W,
02BR02110,Z7247,1.0,00,DARK PINTO,BLK,2,1,168,1,W,
02BR02111,00035,2.0,00,BLACK EWE,BLK,1,1,180,2,W,
02BR02112,00040,2.0,00,BLACK EWE,BLK,2,1,154,1,W,
02BR02113,00022,2.0,00,BLACK EWE,BLK,2,1,155,1,W,
02BR02114,00087,2.0,00,"SM.BAG,BLACK",BLK,1,1,176,2,W,
02BR02115,00097,2.0,68,DYSTOCIA ok,-5-,2,7,155,2,W,
02BR02116,00001,2.0,88,TAG CUT '2002,-5-,2,0,152,1,W,
