UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,DISP,PESSARY
03BR00001, 8019,5.0,18,L.EYE TRT '02, 1,2,.,190,4,W,,
03BR00002, 8084,5.0,18,BLK. EAR, 2,2,.,142,4,W,,
03BR00003, 8091,5.0,18,, 3,2,.,165,5,W,,
03BR00004, 8320,5.0,18,PG inDRYS'03, 4,2,.,148,4,W,,
03BR00005, 8375,5.0,18,, 5,2,.,174,5,W,,
03BR00006, 8416,5.0,18,, 6,2,.,174,4,W,,
03BR00007, 8439,5.0,88,,11,5,.,164,1,W,,
03BR00008, 8441,5.0,18,,31R,1,.,170,2,W,,
03BR00009, 8443,5.0,88,TAG CUT '2002,12,5,.,162,2,W,,
03BR00010, 8462,5.0,88,,12P,1,.,174,2,W,,
03BR01906,Z7959,1.0,97,*FIX YTEX TAG,972,1,.,183,B,W,,
03BR01907,Z7990,1.0,97,BIG,972,1,.,205,B,W,,
03BR01908,Z7790,1.0,97,,972,1,.,172,B,W,,
03BR01909,Z7793,1.0,97,,972,1,.,183,B,W,,
03BR01910,00035,3.0,00,BLACK EWE,BLK,1,1,180,1,W,,
03BR01911,00040,3.0,00,BLACK EWE,BLK,1,1,174,2,W,,
03BR01912,00022,3.0,00,BLACK EWE,BLK,1,1,171,2,W,,
03BR01913,00087,3.0,00,"SM.BAG,BLACK",BLK,1,1,167,2,W,,
03BR01914,00097,3.0,68,DYSTOCIA ok,14,5,.,173,2,W,,
03BR01915,00001,3.0,88,TAG CUT '2002,31,2,.,158,1,W,,
