UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK,PD,DISP,BLEED,STM
04BR00001, 3001,0.5,00,,51K,1,7,175,F,W,1,..,N,80
04BR00002, 3004,0.5,00,,52K,1,7,170,F,W,1,..,N,80
04BR00003, 3006,0.5,00,,53K,1,7,156,5,W,1,..,N,80
04BR00004, 3007,0.5,00,,54K,1,7,165,F,W,1,..,N,80
04BR00005, 3010,0.5,00,,55K,1,7,136,F,W,1,..,N,80
04BR00006, 3015,0.5,00,,56K,1,7,192,F,W,1,..,N,80
04BR00007, 3016,0.5,00,,57K,1,7,176,F,W,1,..,N,80
04BR00008, 3021,0.5,00,,971,1,7,161,F,W,1,..,N,33
04BR00009, 3022,0.5,00,,971,1,7,156,F,W,1,..,N,33
04BR00010, 3025,0.5,00,,58K,1,7,167,F,W,1,..,N,80
04BR01987,Z9958,1.0,00,,DAK,1,0,131,2,W,N,..,N,01
04BR01988,Z9959,1.0,00,,DAK,1,0,145,2,W,N,..,N,01
04BR01989,Z9966,1.0,00,4TEATS,44R,2,0,142,2,W,1,..,N,31
04BR01990,Z9969,1.0,00,ENTR,57K,1,7,169,T,W,1,..,N,80
04BR01991,Z9972,1.0,00,4TEATS,DAK,1,0,149,2,W,N,..,N,01
04BR01992,Z9985,1.0,00,,ZZZ,1,0,132,2,W,1,..,N,01
04BR01993,Z9988,1.0,00,,33R,2,0,171,1,W,1,..,N,31
04BR01994,Z9989,1.0,00,4TEATS,34R,2,0,157,2,W,1,..,N,31
04BR01995,Z9997,1.0,00,,58K,1,7,201,T,W,1,..,N,80
04BR01996,Z9999,1.0,00,,ZZZ,1,0,159,2,W,1,..,N,01
