UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
09BR00001,00976,9.0,18,,,,0,0,,,3,,07,,,,
09BR00002,01161,9.0,18,MISSING?,,,0,180,1,,3,93,07,,,,
09BR00003,03101,4.0,m3,NE23-5031,,,0,190,D,,1,,m3,,,,
09BR00004,03178,4.0,m3,NE23-5031,,,0,0,,,3,,m3,,,,
09BR00005,03193,4.0,m3,NE23-5031,,,0,0,2,,1,,m3,,,,
09BR00006,03022,5.5,00,,,,7,0,T,,1,,33,,,,
09BR00007,03039,5.5,00,No ear tag,,,7,0,T,,3,93,33,,,,
09BR00008,03058,5.5,00,,,,7,0,T,,1,,33,,,,
09BR00009,03060,5.5,00,,,,7,0,T,,1,,33,,,,
09BR00010,03083,5.5,00,,,,7,0,T,,1,,33,,,,
09BR02719,R7156,1.0,12,.,71,2,,134,1,W,1,,07,139,1123,130,0202
09BR02720,R7164,1.0,12,ENTROPION,73,2,,0,,W,1,,07,136,1123,133,0202
09BR02721,R7266,1.0,12,BLK LIPS,74,2,,0,2,W,1,,07,160,1123,153,0202
09BR02722,R7389,1.0,12,.,76,2,,136,D,W,1,,07,144,1123,132,0202
09BR02723,R7361,1.0,11,.,75,2,,149,1,W,1,,07,152,1123,146,0202
09BR02724,R7383,1.0,11,4TEATS,76,2,,128,D,W,1,,07,134,1123,125,0202
09BR02725,R7418,1.0,11,.,71,2,,121,2,W,1,,07,123,1123,119,0202
09BR02726,R7238,1.0,10,4TEATS,71,2,,0,2,W,1,,07,134,1123,132,0202
09BR02727,R6693,2.0,18,,64,2,0,0,,W,1,,07,164,1123,163,0202
09BR02728,R4488,5.0,18,,57,2,0,173,1,W,1,,07,171,1123,0,
