UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,WTWIN,WDAYW
19BR00001,A0005,1.0,,.,Tom,2,0,121,1,127,1008,,1,,30,132,1121,,
19BR00002,A0006,1.0,,.,EC2,5,0,123,2,130,1119,W,1,,30,139,1216,,
19BR00003,A0009,1.0,,.,26,1,0,162,D,153,1008,W,1,,30,162,1106,169,0108
19BR00004,A0023,1.0,,.,21,1,7,139,2,131,1010,W,1,,30,147,1106,156,0108
19BR00005,A0024,1.0,,.,EC3,5,0,154,D,163,1119,W,1,,30,166,1216,,
19BR00006,A0025,1.0,,HAIRY,26,1,0,140,2,131,1010,W,1,,30,145,1106,155,0108
19BR00007,A0032,1.0,,PINK,22,1,,149,D,139,1008,W,1,,30,149,1106,157,0108
19BR00008,A0035,1.0,,.,25,1,7,121,2,,,0,1,,30,,,,
19BR00009,A0049,1.0,,PINK,21,1,0,145,1,135,1010,W,1,,30,150,1106,151,0108
19BR00010,A0052,1.0,,PINK,EC1,5,,154,1,163,1119,W,1,,30,166,1216,,
19BR01359,Z6243,1.0,,.,29,1,,180,D,183,1008,W,1,,00,185,1106,188,0108
19BR01360,Z6249,1.0,,.,30,1,0,142,H,151,1010,W,1,,00,156,1106,156,0108
19BR01361,Z6281,1.0,,.,56,2,0,122,2,125,1008,W,1,,08,136,1113,138,0108
19BR01362,Z6289,1.0,,Thin Pen 2019,11,1,,135,H,136,1008,W,1,,SC,145,1106,142,0108
19BR01363,Z6317,1.0,,CU,29,1,0,142,H,136,1010,W,1,,00,153,1106,165,0108
19BR01364,Z6318,1.0,,CU,30,1,0,175,H,168,1008,W,1,,00,184,1106,189,0108
19BR01365,Z6322,1.0,,60BLK,11,1,,169,D,171,1008,W,1,,SC,173,1106,169,0108
19BR01366,Z6335,1.0,,CU,29,1,0,162,H,160,1008,W,1,,00,171,1106,178,0108
19BR01367,Z6351,1.0,,.,30,1,0,162,2,165,1008,W,1,,10,166,1106,174,0108
19BR01368,R9632,6.0,,.,44,2,,212,2,198,1008,W,7,,07,204,1113,217,0108
