UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FALLWT,BCS_FALL,BAND,WTOCT,DAYOCT,WORK,PD,DISP,STM,WTNOV,WDAYN,BCS_NOV,WTWIN,WDAYW,BCS_WIN
24BR00001,A0009,6.0,,.,33,1,0,184,4.0,1,183,1009,W,1,,30,196,1113,4.0,197,1220,4.0
24BR00002,A0059,6.0,,.,33,1,7,164,2.5,1,167,1008,W,1,,30,172,1113,3.5,169,1220,3.5
24BR00003,A0309,6.0,,.,35,1,,189,3.0,2,182,1008,W,1,,30,198,1113,3.5,204,1220,4.0
24BR00004,A0311,6.0,,.,33,1,7,188,3.5,1,191,1008,W,1,,30,209,1113,4.0,216,1220,4.0
24BR00005,A0327,6.0,,.,29,1,,186,2.5,1,182,1008,W,1,,30,195,1113,3.5,197,1220,3.5
24BR00006,A0354,5.0,,"+Y0617,Y0618",29,1,0,205,3.5,2,191,1008,W,1,,30,201,1113,4.0,187,1220,3.5
24BR00007,A0363,5.0,,.,31,1,,149,2.5,1,147,1009,W,1,,30,163,1113,3.0,158,1220,4.0
24BR00008,A0370,5.0,,.,32,1,0,166,2.5,1,156,1008,W,1,,30,173,1113,3.0,178,1220,3.0
24BR00009,A0404,5.0,,.,29,1,0,190,3.5,2,176,1008,W,1,,30,195,1113,4.0,186,1220,4.0
24BR00010,A0444,5.0,,.,35,1,0,164,3.0,H,145,1009,W,1,,30,163,1113,3.0,167,1220,3.5
24BR01680,Z9919,2.0,A,.,43,2,,209,2.0,H,211,1008,W,1,,97,239,1120,3.5,241,0107,3.5
24BR01681,Z9920,2.0,A,.,40,2,0,222,3.5,H,226,1009,W,1,,97,244,1120,4.0,245,0107,4.0
24BR01682,Z9925,2.0,A,.,42,2,0,230,3.5,D,221,1008,W,1,,97,261,1120,3.5,251,0107,3.5
24BR01683,Z9944,2.0,A,.,39,2,,218,3.5,D,217,1008,W,1,,97,241,1120,4.0,241,0107,4.0
24BR01684,Z9946,2.0,A,.,41,2,,171,3.5,H,166,1008,W,1,,97,199,1120,3.5,206,0107,4.0
24BR01685,Z9957,2.0,,.,70,2,,184,3.5,H,173,1008,W,1,,SC,215,1120,3.0,204,1220,3.0
24BR01686,Z9972,2.0,A,.,70,2,0,139,2.5,H,152,1008,W,1,,S3,180,1120,3.5,168,1220,3.5
24BR01687,Z9989,2.0,A,.,70,2,,136,3.0,H,143,1008,W,1,,C3,166,1120,4.0,160,1220,4.0
24BR01688,Z9994,2.0,,.,70,2,,171,3.0,1,184,1009,W,1,,00,185,1120,3.5,187,1220,3.5
24BR01689,Z9999,2.0,,"+Y0584,Y0585",70,2,,175,3.0,1,168,1008,W,1,,00,176,1120,3.5,186,1220,4.0
