UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV04,DEC14
94EW00001,A1114,73,3TEATS,100,1,79,-FL,,80,0
94EW00002,A1116,ch,ORPHAN,,1,,JIM,,57,0
94EW00003,A1101,81,ENTR 1EYE,114,1,87,8,,94,100
94EW00004,A1103,81,,106,1,91,8,,106,114
94EW00005,A1106,82,4TEATS,108,1,71,7,,85,85
94EW00006,A1102,81,3TEATS,121,1,99,7,,110,120
94EW00007,A1109,73,4TEATS,91,1,80,-FL,,85,0
94EW00008,A1131,ch,4TEATS,80,1,76,JIM,,86,0
94EW00009,A1133,ch,4TEATS,81,1,73,JIM,,75,0
94EW00010,A1134,ch,,86,1,83,JIM,,87,0
94EW00011,A1138,73,4TEATS,87,1,62,-FL,,59,0
94EW00012,A1137,73,4TEATS,87,1,57,-FL,,58,0
94EW00013,A1141,73,,107,1,91,-FL,,99,0
94EW00014,A1142,73,,91,1,67,-FL,,72,0
94EW00015,A1151,81,,105,1,112,8,,115,122
94EW00016,A1154,ch,,131,1,122,JIM,,136,0
94EW00017,A1157,81,,109,1,84,7,,90,96
94EW00018,A1161,ch,,81,1,80,JIM,,85,0
94EW00019,A1164,82,4TEATS,102,1,95,7,,99,101
94EW00020,A1162,82,,102,1,89,8,,99,107
94EW00021,A1169,ch,,92,1,76,JIM,,78,0
94EW00022,A1121,ch,ORPHAN,,1,,JIM,,83,0
94EW00023,A1125,ch,4TEATS,116,1,103,JIM,,106,0
94EW00024,A1129,ch,,88,1,86,JIM,,87,0
94EW00025,A1183,81,,105,1,94,7,,94,104
94EW00026,A1188,81,3TEATS,115,1,94,8,,100,105
94EW00027,A1195,73,,100,1,80,-FL,,78,0
94EW00028,A1198,ch,,99,1,78,JIM,,86,0
94EW00029,A1177,ch,4TEATS,129,1,111,JIM,,116,0
94EW00030,A1011,73,,99,1,80,-FL,,85,0
94EW00031,A1014,81,,103,1,97,7,,105,108
94EW00032,A1003,73,,97,1,71,-FL,,72,0
94EW00033,A1033,81,,103,1,84,7,,87,91
94EW00034,A1043,73,4TEATS,98,1,75,-FL,,73,0
94EW00035,A1044,73,,92,1,64,-FL,,62,0
94EW00036,A1046,ch,,106,1,88,JIM,,106,0
94EW00037,A1042,73,,95,1,66,-FL,,62,0
94EW00038,A1047,ch,,120,1,88,JIM,,95,0
94EW00039,A1050,73,,100,1,82,-FL,,87,0
94EW00040,A1053,73,,100,1,82,-FL,,87,0
94EW00041,A1062,81,,117,1,106,8,,108,111
94EW00042,A1024,81,,103,1,87,7,,94,98
94EW00043,A1026,82,,107,1,98,8,,98,101
94EW00044,A1027,82,,95,1,85,7,,91,83
94EW00045,A1085,82,4TEATS,117,1,93,8,,99,110
