UID,ETAG,LINE,RMK,IDX,PD,PTRT,CUWT,BPEN,BRAND,NOV02,DEC14,DEC28
99EW00001,91115,00,,99,1,,66,L-2,Blue,0,90,97
99EW00002,91103,00,,75,1,,75,L-1,Blue,0,92,97
99EW00003,91108,88,FIX BIG TAG,101,1,,80,L-5,Blue,85,96,109
99EW00004,91138,00,,109,1,,75,L-3,Blue,0,90,106
99EW00005,91137,00,,111,1,,73,L-2,Blue,0,94,106
99EW00006,91143,68,,95,1,,100,L-4,Blue,0,122,143
99EW00007,91145,88,,116,1,,82,L-5,Blue,0,99,121
99EW00008,91148,88,,85,1,,74,L-5,Blue,0,96,116
99EW00009,91149,88,,86,1,,78,L-6,Blue,0,94,109
99EW00010,91155,00,,86,1,,69,L-1,Blue,0,84,102
99EW00011,91156,00,,91,1,,77,L-2,Blue,0,91,106
99EW00012,91166,68,,91,1,,74,L-4,Blue,0,103,114
99EW00013,91169,88,,90,1,,66,L-5,Blue,0,86,103
99EW00014,91160,00,,108,1,,86,L-2,Blue,0,100,106
99EW00015,91125,88,,118,1,,75,L-6,Blue,0,97,115
99EW00016,91128,00,,102,1,,78,L-2,Blue,0,101,110
99EW00017,91127,00,,96,1,,73,L-1,Blue,0,71,85
99EW00018,91120,00,,93,1,,91,L-1,Blue,0,112,123
99EW00019,91181,00,,109,1,,82,L-1,Blue,0,91,106
99EW00020,91180,88,,124,1,,80,L-5,Blue,0,95,118
99EW00021,91188,00,BRN.EARS,89,1,,87,L-2,Blue,0,98,116
99EW00022,91193,00,,99,1,,71,L-2,Blue,0,80,94
99EW00023,91192,00,,114,1,,68,L-3,Blue,0,92,108
99EW00024,91199,00,,91,1,,76,L-1,Blue,0,90,112
99EW00025,91174,88,,103,1,,82,L-6,Blue,0,96,104
99EW00026,91013,00,,109,1,,94,L-2,Blue,0,112,130
99EW00027,91017,00,,93,1,,66,L-3,Blue,0,88,100
99EW00028,91003,00,,97,1,,84,L-3,Blue,0,105,119
99EW00029,91009,00,,100,1,,74,L-3,Blue,0,94,105
99EW00030,91030,88,,86,1,,82,L-5,Blue,0,87,111
99EW00031,91043,00,,93,1,,77,L-1,Blue,0,98,113
99EW00032,91044,00,,91,1,,70,L-2,Blue,0,93,111
99EW00033,91046,68,,81,1,,84,L-4,Blue,0,97,120
99EW00034,91042,68,,114,1,,103,L-4,Blue,0,122,137
