UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,NOV01,DEC14,IDZ65,PREG
00EW00001,01115,88,SAVE,0,1,LIM,81,e.8,purple,94,102,0,0
00EW00002,01103,18,,0,1,LIM,80,e.0,purple,83,96,0,0
00EW00003,01104,18,,0,1,LIM,73,e.0,purple,77,83,0,0
00EW00004,01105,41,SAVE,0,1,LIM,79,e.2,purple,86,98,0,0
00EW00005,01131,68,,0,1,LIM,96,e.0,purple,102,120,0,0
00EW00006,01139,68,BLK.EARS,0,1,LIM,80,e.0,purple,89,100,0,0
00EW00007,01142,68,,0,1,LIM,104,e.0,purple,109,116,0,0
00EW00008,01149,00,,0,1,LIM,90,e.0,purple,93,95,0,0
00EW00009,01161,18,,0,1,LIM,88,e.0,purple,98,106,0,1
00EW00010,01186,18,,0,1,LIM,86,e.0,purple,89,104,0,1
00EW00011,01175,42,,0,1,LIM,75,e.1,purple,80,85,0,0
00EW00012,01178,88,,0,1,LIM,76,e.7,purple,77,78,0,0
00EW00013,01015,00,,0,1,LIM,82,e.0,purple,85,96,0,0
00EW00014,01019,88,,0,1,LIM,85,e.6,purple,92,101,0,1
00EW00015,01005,00,,0,1,LIM,78,e.0,purple,82,94,0,0
00EW00016,01006,00,,0,1,LIM,74,e.0,purple,85,92,0,0
00EW00017,01040,18,,0,1,LIM,74,e.0,purple,83,89,0,0
00EW00018,01048,68,,0,1,LIM,82,e.0,purple,93,101,0,0
00EW00019,01053,88,,0,1,LIM,74,e.9,purple,77,87,0,0
00EW00020,01056,00,,0,1,LIM,77,e.0,purple,79,80,0,0
00EW00021,01057,68,,0,1,LIM,94,e.0,purple,104,120,0,0
00EW00022,01061,00,,0,1,LIM,82,e.0,purple,84,94,0,0
00EW00023,01060,68,,0,1,LIM,85,e.0,purple,98,114,0,0
00EW00024,01066,18,C2,0,1,LIM,85,e.0,purple,88,99,0,0
00EW00025,01088,18,,0,1,LIM,75,e.0,purple,80,83,0,0
00EW00026,01095,00,,0,1,LIM,90,e.0,purple,95,95,0,0
00EW00027,01311,68,,0,1,LIM,92,e.0,purple,95,100,0,0
00EW00028,01307,00,,0,1,LIM,80,e.0,purple,82,90,0,0
00EW00029,01346,41,,0,1,LIM,95,e.1,purple,97,112,0,0
00EW00030,01355,00,BLACK EWE,0,1,LIM,90,e.0,purple,93,97,0,0
00EW00031,01358,68,,0,1,LIM,92,e.0,purple,104,117,0,0
00EW00032,01368,88,,0,1,LIM,81,e.8,purple,89,103,0,0
00EW00033,01324,18,,0,1,LIM,85,e.0,purple,93,99,0,0
00EW00034,01328,88,,0,1,LIM,81,e.9,purple,83,91,0,1
00EW00035,01383,68,,0,1,LIM,97,e.0,purple,106,117,0,0
00EW00036,01372,68,,0,1,LIM,74,e.0,purple,76,88,0,0
00EW00037,01378,00,,0,1,LIM,95,e.0,purple,110,124,0,0
00EW00038,01379,18,,0,1,LIM,96,e.0,purple,97,104,0,0
00EW00039,01412,68,,0,1,LIM,76,e.0,purple,84,95,0,0
00EW00040,01417,41,,0,1,LIM,80,e.1,purple,87,89,0,0
00EW00041,01406,41,,0,1,LIM,70,e.2,purple,74,84,0,0
00EW00042,01430,18,,0,1,LIM,78,e.0,purple,83,90,0,0
00EW00043,01437,42,,0,1,LIM,69,e.2,purple,78,82,0,0
00EW00044,01459,42,,0,1,LIM,77,e.1,purple,82,95,0,0
00EW00045,01463,18,,0,1,LIM,69,e.0,purple,74,89,0,0
00EW00046,01426,00,BLACK EWE,0,1,LIM,83,e.0,purple,87,96,0,0
00EW00047,01422,00,,0,1,LIM,76,e.0,purple,81,94,0,0
00EW00048,01480,18,,0,1,LIM,76,e.0,purple,81,86,0,0
00EW00049,01486,41,,0,1,LIM,87,e.2,purple,96,101,0,0
00EW00050,01491,68,SCOURS,0,1,LIM,77,e.0,purple,82,80,0,.
00EW00051,01499,00,,0,1,LIM,77,e.0,purple,77,84,0,0
00EW00052,01471,18,,0,1,LIM,90,e.0,purple,90,94,0,0
00EW00053,01470,18,,0,1,LIM,83,e.0,purple,87,98,0,0
00EW00054,01474,18,,0,1,LIM,84,e.0,purple,88,95,0,1
00EW00055,01477,00,,0,1,LIM,74,e.0,purple,85,92,0,0
00EW00056,01516,00,,0,1,LIM,73,e.0,purple,77,89,0,0
00EW00057,01517,68,F4+,0,1,LIM,78,e.0,purple,83,95,0,0
00EW00058,01506,68,,0,1,LIM,81,e.0,purple,92,110,0,0
00EW00059,01522,68,,0,1,LIM,93,e.0,purple,101,105,0,0
