UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,OCT31,DEC14,IDZ65,PREG
01EW00001,A8157,00,NICE,0,1,none,106,e62,purple,104,118,0,1
01EW00002,A8161,00,,0,1,none,106,e63,purple,113,120,0,1
01EW00003,A8163,00,"1/4S,BUM,SAVE",0,1,none,76,e64,purple,86,97,0,1
01EW00004,A8164,00,,0,1,none,107,e65,purple,111,121,0,1
01EW00005,A8167,00,"1/4F,BUM,SAVE",0,1,none,68,e66,purple,74,85,0,1
01EW00006,A8169,00,,0,1,none,110,e62,purple,114,123,0,1
01EW00007,A8172,84,HAIRY,108,1,none,110,e62,purple,112,117,0,1
01EW00008,A8173,00,,0,1,none,74,e63,purple,72,87,0,1
01EW00009,A8174,00,,0,1,none,76,e64,purple,77,80,0,1
01EW00010,A8178,00,,0,1,none,90,e65,purple,98,109,0,1
01EW00011,A8181,00,BRITCHY,0,1,none,96,e66,purple,108,113,0,1
01EW00012,A8182,00,,0,1,none,70,e62,purple,81,85,0,0
01EW00013,A8183,00,,0,1,none,68,e63,purple,67,79,0,1
01EW00014,A8186,82,WEAK,93,1,none,97,e11,purple,88,92,0,1
01EW00015,A8197,82,4TEATS,108,1,none,113,e12,purple,109,121,0,1
01EW00016,A8198,82,WEAK,95,1,none,98,e13,purple,101,109,0,1
01EW00017,A8199,00,,0,1,none,84,e64,purple,83,90,0,1
01EW00018,A8207,84,WEAK,97,1,none,82,e63,purple,85,89,0,1
01EW00019,A8208,00,,0,1,none,93,e65,purple,99,106,0,1
01EW00020,A8209,00,NICE,0,1,none,107,e66,purple,110,116,0,1
01EW00021,A8219,84,,100,1,none,101,e64,purple,100,105,0,1
01EW00022,A8220,81,,104,1,none,106,e11,purple,102,116,0,1
01EW00023,A8223,83,,95,1,none,102,e13,purple,93,111,0,1
01EW00024,A8224,83,,85,1,none,82,e14,purple,82,94,0,1
01EW00025,A8225,83,WEAK,83,1,none,87,e11,purple,84,98,0,1
01EW00026,A8226,84,,95,1,none,100,e63,purple,95,101,0,1
01EW00027,A8228,00,,0,1,none,102,e62,purple,104,112,0,1
01EW00028,A8229,00,"1/4F,BUM,SAVE",0,1,none,62,e63,purple,67,77,0,0
01EW00029,A8230,00,,0,1,none,91,e64,purple,95,103,0,1
01EW00030,A8236,84,,101,1,none,85,e62,purple,91,100,0,1
01EW00031,A8237,84,4TEATS,90,1,none,95,e66,purple,96,109,0,1
01EW00032,A8251,84,,103,1,none,100,e64,purple,94,104,0,1
01EW00033,A8259,00,,0,1,none,102,e65,purple,107,115,0,1
01EW00034,A8260,82,,87,1,none,80,e14,purple,87,97,0,0
01EW00035,A8268,82,,98,1,none,109,e11,purple,114,129,0,1
01EW00036,A8274,84,,101,1,none,82,e63,purple,90,92,0,1
01EW00037,A8277,84,4TEATS,98,1,none,106,e66,purple,110,115,0,1
01EW00038,A8279,81,ENTR .122 inb,100,1,none,91,e12,purple,93,106,0,1
01EW00039,A8282,81,,109,1,none,101,e13,purple,100,111,0,1
01EW00040,A8283,81,NICE,95,1,none,85,e14,purple,99,125,0,1
01EW00041,A8287,81,,114,1,none,117,e11,purple,128,150,0,1
01EW00042,A8290,00,,0,1,none,74,e66,purple,78,79,0,1
