UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,NOV04,DEC17,IDZ65,YTEX,PREG
03EW00001,H0419,88,,101,1,none,97,e10,green,105,114,0,Green,1
03EW00002,H0407,88,,98,1,none,100,e.9,green,110,118,0,Green,0
03EW00003,H0432,88,,99,1,none,103,e10,green,107,120,0,Green,1
03EW00004,H0439,88,,103,1,none,106,e10,green,119,139,0,Green,1
03EW00005,H0424,88,,100,1,Ram,111,Ram,Red,111,135,0,Green,
03EW00006,H0428,88,,107,1,none,98,e10,green,114,128,0,Green,0
03EW00007,H0484,88,,111,1,none,96,e.9,green,112,119,0,Green,1
03EW00008,H0495,88,,103,1,none,87,e.9,green,97,111,0,Green,1
03EW00009,H0499,88,ENTR*2,109,1,none,91,e.9,green,103,118,0,Green,1
03EW00010,H0471,88,,113,1,Ram,121,Ram,Red,121,147,0,Green,
03EW00011,H0470,88,MSG 11/4/03,112,7,none,101,e10,green,0,0,0,Green,
03EW00012,H0478,88,4TEATS,105,1,none,87,e10,green,103,115,0,Green,1
03EW00013,H0479,88,NICE,103,1,Ram,101,Ram,Red,101,140,0,Green,
03EW00014,H0511,88,,113,1,none,97,e10,green,118,130,0,Green,1
03EW00015,H0513,88,,102,1,none,98,e10,green,106,118,0,Green,1
03EW00016,H0516,88,NICE,108,1,none,86,e.9,green,104,119,0,Green,1
03EW00017,H0501,88,GAUNT,104,1,Ram,100,Ram,Red,100,127,0,Green,
03EW00018,H0500,88,,105,1,none,81,e.9,green,103,111,0,Green,1
03EW00019,H0503,88,"NICE, TB1",100,1,Ram,116,Ram,Red,116,133,0,Green,
03EW00020,H0531,88,HAIRY,108,1,none,89,e.9,green,103,114,0,Green,1
03EW00021,H0534,88,,102,1,Ram,103,Ram,Red,103,130,0,Green,
03EW00022,H0535,88,,101,7,Ram,99,Ram,Red,99,0,0,Green,
03EW00023,H0536,88,NICE,99,1,none,90,e10,green,107,118,0,Green,1
03EW00024,H0539,88,,113,1,Ram,102,Ram,Red,102,134,0,Green,
03EW00025,H0540,88,,119,1,Ram,120,Ram,Red,120,139,0,Green,
03EW00026,H0546,88,,106,1,Ram,103,Ram,Red,103,120,0,Green,
03EW00027,H0547,88,,116,1,none,98,e10,green,113,122,0,Green,1
03EW00028,H0556,88,,107,1,none,81,e.9,green,97,104,0,Green,1
03EW00029,H0552,88,HAIRY,105,1,none,92,e10,green,103,108,0,Green,1
03EW00030,H0557,88,,109,1,Ram,100,Ram,Red,100,120,0,Green,
03EW00031,H0563,88,F2+,114,1,Ram,114,Ram,Red,114,134,0,Green,
03EW00032,H0564,88,PNEU.,101,1,none,86,e.9,green,100,112,0,Green,1
03EW00033,H0562,88,"FX.RIBS,L,OK",114,1,Ram,107,Ram,Red,107,144,0,Green,
03EW00034,H0568,88,HAIRY,106,1,none,86,e.9,green,93,103,0,Green,1
03EW00035,H0569,88,,112,1,none,97,e.9,green,104,113,0,Green,0
03EW00036,H0567,88,HAIRY,112,1,none,91,e.9,green,102,114,0,Green,1
03EW00037,H0524,88,,101,1,none,89,e.9,green,107,117,0,Green,1
03EW00038,H0525,88,,102,1,none,85,e.9,green,103,113,0,Green,1
03EW00039,H0580,88,,99,1,none,74,e10,green,88,98,0,Green,1
03EW00040,H0585,88,H2,96,1,Ram,102,Ram,Red,102,131,0,Green,
03EW00041,H0587,88,,111,1,none,92,e10,green,106,111,0,Green,1
03EW00042,H0591,88,,115,1,none,91,e.9,green,110,124,0,Green,1
03EW00043,H0595,88,,112,1,none,94,e.9,green,106,116,0,Green,1
03EW00044,H0596,88,,105,1,Ram,96,Ram,Red,96,129,0,Green,
03EW00045,H0598,88,BUCK!,106,1,Ram,104,Ram,Red,104,135,0,Green,
03EW00046,H0599,88,NICE,112,1,none,104,e.9,green,113,129,0,Green,1
03EW00047,H0571,88,,106,1,Ram,98,Ram,Red,98,120,0,Green,
03EW00048,H0570,88,,105,1,none,76,e.9,green,84,93,0,Green,1
03EW00049,H0610,88,PNEU.,113,1,none,99,e10,green,107,117,0,Green,1
03EW00050,H0614,88,,120,1,none,96,e10,green,111,126,0,Green,1
03EW00051,H0615,88,,112,1,Ram,101,Ram,Red,101,125,0,Green,
03EW00052,H0612,88,F2 H2,105,1,Ram,116,Ram,Red,116,141,0,Green,
03EW00053,H0619,88,,109,1,none,82,e.9,green,98,108,0,Green,1
03EW00054,H0601,88,,102,1,none,81,e10,green,97,119,0,Green,1
03EW00055,H0604,88,HAIRY,103,1,none,74,e.9,green,92,108,0,Green,1
03EW00056,H0606,88,,110,1,Ram,101,Ram,Red,101,136,0,Green,
03EW00057,H0631,88,TB1,121,1,Ram,128,Ram,Red,128,159,0,Green,
03EW00058,H0630,88,,107,1,Ram,95,Ram,Red,95,118,0,Green,
03EW00059,H0639,88,,100,1,none,93,e10,green,108,112,0,Green,1
03EW00060,H0637,88,NICE,107,1,none,109,e10,green,124,127,0,Green,1
03EW00061,H0641,88,NICE,114,1,Ram,101,Ram,Red,101,139,0,Green,
03EW00062,H0640,88,,114,1,none,90,e.9,green,110,130,0,Green,1
03EW00063,H0643,88,,99,1,none,98,e10,green,103,117,0,Green,1
03EW00064,H0644,88,,108,1,none,91,e.9,green,109,122,0,Green,1
03EW00065,H0646,88,MSG d224 ??,111,1,none,89,e10,green,106,117,0,Green,1
03EW00066,H0651,88,,108,1,none,90,e.9,green,112,120,0,Green,1
03EW00067,H0653,88,,102,1,none,80,e.9,green,93,109,0,Green,1
03EW00068,H0654,88,GRAYTAILHEAD,104,1,none,92,e.9,green,96,110,0,Green,1
03EW00069,H0655,88,NICE,110,1,Ram,105,Ram,Red,105,120,0,Green,
03EW00070,H0656,88,NICE,112,1,Ram,105,Ram,Red,105,128,0,Green,
03EW00071,H0652,88,HAIRY,107,1,none,86,e.9,green,103,109,0,Green,1
03EW00072,H0626,88,,103,1,Ram,103,Ram,Red,103,127,0,Green,
03EW00073,H0629,88,,106,1,none,71,e.9,green,91,105,0,Green,1
03EW00074,H0627,88,"NICE, TB1",111,1,Ram,116,Ram,Red,116,140,0,Green,
