UID,ETAG,LINE,RMK,IDX,PD,BRDGTRT,CUWT,BPEN,BRAND,W1019,W1205,IDZ65,CLR,STM
06EW00001,H2194,88,,97,1,LIFE,85,e31,Purple,88,104,0,1,30
06EW00002,H2195,88,,106,1,LIFE,113,e31,Purple,119,139,0,1,30
06EW00003,H2192,88,,96,1,LIFE,94,e34,Purple,86,108,0,1,30
06EW00004,H2199,88,,96,1,Norm,86,e33,Purple,93,110,0,1,30
06EW00005,H2315,00,4TEATS,96,1,Norm,100,e.0,Purple,122,138,0,1,33
06EW00006,H2316,00,Save with X's,104,1,Norm,104,e.0,Purple,107,123,0,1,33
06EW00007,H2312,00,HAIRY 4TEATS,97,1,Norm,98,e.0,Purple,113,124,0,1,33
06EW00008,H2317,88,"WEAK, HAIRY",100,1,LIFE,101,e32,Purple,105,119,0,1,30
06EW00009,H2300,88,SCOURS TX.,109,1,LIFE,115,e31,Purple,124,144,0,1,30
06EW00010,H2303,88,,95,1,Norm,91,e33,Purple,94,112,0,1,30
06EW00011,H2309,88,,95,1,LIFE,90,e33,Purple,87,102,0,1,30
06EW00012,H2334,88,,101,1,LIFE,88,e34,Purple,94,112,0,1,30
06EW00013,H2330,00,,88,1,Norm,93,e.0,Purple,94,105,0,1,33
06EW00014,H2341,00,,95,1,Norm,95,e.0,Purple,91,114,0,1,33
06EW00015,H2349,88,,99,1,LIFE,97,e32,Purple,100,117,0,1,30
06EW00016,H2340,00,,99,1,Norm,105,e.0,Purple,123,134,0,1,33
06EW00017,H2350,88,,104,1,LIFE,108,e31,Purple,111,131,0,1,30
06EW00018,H2354,88,,107,1,Norm,98,e34,Purple,110,134,0,1,30
06EW00019,H2355,88,,103,1,Norm,96,e31,Purple,107,115,0,1,30
06EW00020,H2359,00,,98,1,Norm,103,e.0,Purple,120,136,0,1,33
06EW00021,H2364,00,,97,1,Norm,102,e.0,Purple,106,124,0,1,33
