UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1018,W1207,IDZ65,CLR,STM,DIETPEN
07EW00001,H3111,88,TAIL CHEWED,105,1,sy2,83,p26,Red,Yes,94,101,0,1,30,18
07EW00002,H3110,88,.,99,1,sy3,79,p36,Red,Yes,88,90,0,1,30,12
07EW00003,H3113,88,.,103,1,sy2,84,p22,Red,No,92,103,0,1,30,
07EW00004,H3114,88,.,98,1,sy4,70,p42,Red,Yes,82,88,0,1,30, 5
07EW00005,H3115,88,.,95,1,sy2,85,p23,Red,Yes,90,107,0,1,30,16
07EW00006,H3116,88,.,96,1,sy4,73,p45,Red,Yes,85,88,0,1,30, 5
07EW00007,H3118,88,.,102,1,sy1,90,p15,Red,Yes,100,108,0,1,30,15
07EW00008,H3104,88,.,99,1,sy3,78,p36,Red,Yes,83,90,0,1,30,10
07EW00009,H3107,88,.,92,1,sy3,81,p37,Red,Yes,93,96,0,1,30,12
07EW00010,H3133,88,HAIRY,96,1,sy3,76,p35,Red,Yes,87,93,0,1,30, 8
07EW00011,H3137,88,4TEATS,110,1,sy1,104,p17,Red,Yes,110,122,0,1,30,19
07EW00012,H3143,88,.,115,1,sy2,89,p23,Red,No,92,105,0,1,30,
07EW00013,H3146,88,.,91,1,sy4,71,p46,Red,Yes,74,93,0,1,30,11
07EW00014,H3142,88,"HAIRY,JAW5",100,1,sy2,89,p28,Red,No,97,110,0,1,30,
07EW00015,H3151,00,.,115,1,TAY,113,BF,Star,,128,137,0,1,33,
07EW00016,H3153,88,4TEATS,111,1,sy1,95,p16,Red,Yes,105,110,0,1,30,17
07EW00017,H3152,88,.,108,1,sy1,95,p17,Red,Yes,112,112,0,1,30,15
07EW00018,H3160,88,.,92,1,sy4,74,p42,Red,Yes,81,100,0,1,30, 9
07EW00019,H3123,88,.,100,1,sy3,79,p35,Red,Yes,86,94,0,1,30,12
07EW00020,H3122,88,.,102,1,sy3,76,p37,Red,Yes,84,95,0,1,30,12
07EW00021,H3129,88,.,99,1,sy3,76,p37,Red,Yes,84,95,0,1,30, 8
07EW00022,H3181,88,.,101,1,sy1,93,p13,Red,Yes,110,112,0,1,30,13
07EW00023,H3184,88,.,95,1,sy3,81,p34,Red,Yes,91,99,0,1,30, 8
07EW00024,H3186,00,.,109,1,TAY,105,BF,Star,,121,132,0,1,33,
07EW00025,H3188,88,.,100,1,sy1,103,p17,Red,Yes,121,126,0,1,30,19
07EW00026,H3191,88,"NUFLOR, SMZ",84,1,sy4,68,p43,Red,No,79,102,0,1,30,
07EW00027,H3190,88,.,91,1,sy2,82,p21,Red,Yes,90,97,0,1,30,14
07EW00028,H3194,88,BIG LAMB,132,1,sy1,126,p12,Red,Yes,141,148,0,1,30,15
07EW00029,H3195,88,.,97,1,sy2,84,p23,Red,No,100,111,0,1,30,
07EW00030,H3171,88,.,86,1,sy4,64,p41,Red,No,69,85,0,1,30,
07EW00031,H3170,88,HAIRY,95,1,sy3,76,p31,Red,Yes,91,97,0,1,30, 6
07EW00032,H3174,88,.,93,1,sy2,81,p27,Red,Yes,90,97,0,1,30,18
07EW00033,H3175,88,NICE LAMB,92,1,sy3,74,p32,Red,Yes,87,101,0,1,30, 6
07EW00034,H3172,88,.,92,1,sy4,65,p41,Red,Yes,73,79,0,1,30,11
07EW00035,H3179,88,.,110,1,sy1,93,p12,Red,Yes,106,114,0,1,30,15
07EW00036,H3177,88,.,88,1,sy4,71,p45,Red,Yes,82,97,0,1,30, 9
07EW00037,H3010,88,ENTROPION,98,1,sy2,87,p25,Red,No,97,107,0,1,30,
07EW00038,H3014,00,NICE LAMB,112,1,TAY,115,BF,Star,,141,152,0,1,33,
