UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1208,IDZ65,CLR,STM,DIETPEN
08EW00001,H4224,,.,,1,,91,e19,,,87,,1,30,
08EW00002,T2099,,.,,1,,87,,,,,,1,02,
08EW00003,X6153,,.,,1,,88,e11,,,78,,1,TC,
08EW00004,X6464,,.,,1,,95,,,,89,,1,04,
08EW00005,X6988,,.,,1,,69,,,,,,2,MY,
08EW00006,R7216,,.,,1,,110,e15,,,124,,1,07,
08EW00007,T1919,,HAIRY,,1,,89,T1,,,85,,1,02,
08EW00008,R7403,,.,,1,,95,e14,,,100,,1,07,
08EW00009,T2212,,.,,1,,86,T3,,,91,,1,02,
08EW00010,H4339,,HAIRY,,1,,59,e19,,,61,,1,30,
08EW00011,T2150,,E LT EYE,,1,,103,T2,,,125,,1,02,
08EW00012,H4400,,SLIGHTLY H,,1,,95,e18,,,93,,1,30,
08EW00013,H4381,,.,,1,,78,e19,,,67,,1,30,
08EW00014,T2144,,4TEATS,,1,,91,T3,,,93,,1,02,
08EW00015,K4383,,E RT EYE,,1,,109,e3,,,105,,1,06,
08EW00016,X6172,,4TEATS,,1,,100,e8,,,101,,4,C3,
08EW00017,T2113,,.,,1,,87,T1,,,97,,1,02,
08EW00018,K4357,,.,,1,,97,e13,,,99,,1,06,
08EW00019,T1927,,.,,1,,101,T3,,,113,,1,02,
08EW00020,R7383,,4TEATS,,1,,84,e15,,,69,,1,07,
08EW00021,T2159,,.,,1,,103,T2,,,122,,1,02,
08EW00022,H4349,,.,,1,,87,e18,,,86,,1,30,
08EW00023,T2301,,2ND,,1,,80,T2,,,83,,1,02,
08EW00024,R7394,,.,,1,,84,e15,,,80,,1,07,
08EW00025,K4174,,.,,1,,98,e13,,,112,,1,06,
08EW00026,K4354,,.,,1,,93,e13,,,84,,1,06,
08EW00027,T1900,,.,,1,,83,T2,,,92,,1,02,
08EW00028,H4244,,.,,1,,86,e19,,,89,,1,30,
08EW00029,H4399,,.,,1,,82,e24,,,85,,1,30,
08EW00030,R7194,,4TEATS,,1,,87,e16,,,85,,1,07,
08EW00031,R7156,,.,,1,,98,e14,,,108,,1,07,
08EW00032,H4333,,.,,1,,93,e17,,,93,,1,30,
08EW00033,H4369,,.,,1,,87,e18,,,91,,1,30,
08EW00034,K4363,,.,,1,,105,e12,,,113,,1,06,
08EW00035,X5971,,.,,1,,107,e10,,,116,,1,TC,
08EW00036,H4378,,.,,1,,86,e22,,,104,,1,30,
08EW00037,H4201,,.,,1,,83,e22,,,74,,1,30,
08EW00038,X6949,,.,,1,,95,e10,,,0,,5,SC,
08EW00039,X5871,,BRN.RT.EAR 4T,,1,,102,e10,,,106,,2,TC,
08EW00040,X5870,,4TEATS,,1,,94,e9,,,91,,1,TC,
08EW00041,H4331,,H.BLK SP RT S,,1,,87,e17,,,97,,2,30,
08EW00042,T2197,,HAIRY BUTT,,1,,88,T1,,,81,,1,02,
08EW00043,X5864,,.,,1,,109,e4,,,109,,2,T3,
08EW00044,H4361,,.,,1,,97,e19,,,91,,1,30,
08EW00045,T2308,,E RT EYE,,1,,86,T1,,,92,,1,02,
08EW00046,H4173,,E,,1,,73,e19,,,63,,1,30,
