UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,PREGTEST,IDZ65,CLR,STM
13EW00001,H7946,,.,1,113,e9,,,128,1127,Preg,,1,30
13EW00002,H7947,,.,1,82,e9,,,101,1127,Preg,,1,30
13EW00003,H7954,,.,1,99,e8,,,128,1127,Preg,,1,30
13EW00004,H7958,,.,1,102,e8,,,133,1127,Preg,,1,30
13EW00005,H7973,,.,1,91,e9,,,112,1127,Preg,,1,30
13EW00006,H7986,,.,1,94,e8,,,117,1127,Preg,,1,30
13EW00007,H7990,,NICE.POLY,2,104,e9,,,118,1127,Preg,,1,30
13EW00008,H7991,,.,2,112,e9,,,115,1127,Preg,,1,30
13EW00009,H8005,,.,1,107,e9,,,127,1127,Preg,,1,30
13EW00010,H8032,,.,3,114,BRT,,,114,1127,Open,,1,30
13EW00011,H8036,,.,1,84,e8,,,98,1127,Preg,,1,30
13EW00012,H8054,,TurnedOutNice,3,117,e9,,,141,1127,Preg,,1,30
13EW00013,H8057,,HAIRY.BLACK!,1,87,BL,,,103,1127,Preg,,9,30
13EW00014,H8063,,.,1,100,e8,,,120,1127,Preg,,1,30
13EW00015,H8083,,.,1,107,e9,,,129,1127,Preg,,1,30
13EW00016,H8092,,TurnedOutNice,3,102,e8,,,125,1127,Preg,,1,30
13EW00017,H8096,,.,1,74,e9,,,83,1127,Open,,1,30
13EW00018,H8097,,.,1,83,e9,,,99,1127,Preg,,1,30
13EW00019,H8104,,2ND,1,84,e9,,,102,1127,Preg,,1,30
13EW00020,H8120,,SCOURS,1,85,e9,,,111,1127,Preg,,1,30
13EW00021,H8135,,.,1,96,e9,,,110,1127,Preg,,1,30
13EW00022,H8146,,.,1,99,e8,,,125,1127,Preg,,1,30
13EW00023,H8154,,.,1,83,e8,,,111,1127,Open,,1,30
13EW00024,H8155,,.,1,104,e9,,,128,1127,Preg,,1,30
13EW00025,H8161,,Nice,3,110,BRT,,,117,1127,Open,,2,30
13EW00026,H8162,,.,1,95,e8,,,126,1127,Preg,,1,30
13EW00027,H8169,,TAIL.CHEWED,1,87,e9,,,107,1127,Preg,,1,30
13EW00028,H8203,,.,1,90,e9,,,114,1127,Preg,,1,30
13EW00029,H8206,,Misread;saved,3,74,BRT,,,81,1127,Open,,2,30
13EW00030,H8209,,SCOURS,1,77,e9,,,95,1127,Preg,,1,30
13EW00031,H8218,,PINK,3,81,BRT,,,95,1127,Preg,,1,30
13EW00032,H8248,,Orph403>Graft,1,78,e9,,,92,1127,Preg,,1,30
13EW00033,H8256,,SCOURS,1,78,e8,,,95,1127,Preg,,1,30
13EW00034,H8262,,.,1,84,e8,,,103,1127,Preg,,1,30
13EW00035,H8285,,.,1,95,e8,,,119,1127,Preg,,1,30
13EW00036,H8293,,TurnedOutNice,3,98,BRT,,,110,1127,Open,,1,30
13EW00037,H8300,,.,1,81,e9,,,90,1127,Preg,,1,30
13EW00038,H8301,,.,2,111,e8,,,134,1127,Preg,,1,30
13EW00039,H8302,,TurnedOutNice,3,103,BRT,,,110,1127,Open,,1,30
13EW00040,H8307,,.,1,86,e9,,,102,1127,Preg,,1,30
13EW00041,H8310,,.,1,95,e9,,,99,1127,Preg,,1,30
13EW00042,H8316,,NICE.POLYPAY,1,89,e9,,,101,1127,Preg,,1,30
13EW00043,H8317,,NICE.POLYPAY,1,94,e9,,,106,1127,Preg,,1,30
13EW00044,H8328,,.,1,85,e9,,,95,1127,Preg,,1,30
13EW00045,H8346,,.,1,86,e8,,,106,1127,Preg,,1,30
13EW00046,H8389,,.,1,84,e9,,,105,1127,Preg,,1,30
13EW00047,H8410,,.,1,82,e8,,,97,1127,Preg,,1,30
13EW00048,H8450,,TurnedOutNice,3,89,e8,,,109,1127,Preg,,1,30
13EW00049,H8452,,TurnedOutNice,3,96,e8,,,122,1127,Open,,1,30
13EW00050,K4926,,.,1,103,e11,,,97,1127,Open,,1,06
13EW00051,K4928,,SCOURS,1,130,e11,,,154,1127,Preg,,1,06
13EW00052,K4930,,.,1,86,e11,,,112,1127,Open,,1,06
13EW00053,K4931,,.,1,91,e11,,,120,1127,Preg,,1,06
13EW00054,K4937,,HAIRY,1,129,e11,,,154,1127,Preg,,1,06
13EW00055,K4943,,.,1,87,e11,,,117,1127,Preg,,1,06
13EW00056,K4951,,.,1,99,e11,,,124,1127,Preg,,1,06
13EW00057,K4959,,NICE LAMB,1,112,e11,,,136,1127,Preg,,1,06
13EW00058,K4963,,.,1,133,e11,,,172,1127,Preg,,1,06
13EW00059,K4972,,.,1,85,e11,,,116,1127,Preg,,1,06
13EW00060,K4974,,.,1,100,e11,,,128,1127,Preg,,1,06
13EW00061,K4975,,.,1,93,e11,,,113,1127,Preg,,1,06
13EW00062,K4978,,.,1,105,e11,,,135,1127,Preg,,1,06
13EW00063,K4992,,P.UGLY,1,103,e11,,,122,1127,Preg,,1,06
13EW00064,K4993,,NICE.K,1,78,e11,,,94,1127,Open,,1,06
13EW00065,L0993,,20BRN,1,104,e7,,,118,1127,Preg,,5,PC
13EW00066,L1001,,30BRN.N SCOUR,1,126,e7,,,141,1127,Preg,,5,PC
13EW00067,L1006,,25BLBR,1,116,e7,,,107,1127,Open,,5,PC
13EW00068,L1010,,MYO AA,1,144,e7,,,164,1127,Preg,,5,PC
13EW00069,L1036,,.,1,92,e7,,,116,1127,Open,,1,PC
13EW00070,L1080,,05BRN.HAIRY,3,135,e7,,,159,1127,Preg,,2,PC
13EW00071,L1117,,MYO AA,1,83,e7,,,108,1127,Preg,,2,PC
13EW00072,L1136,,70BRN SCOURS,1,125,e7,,,146,1127,Open,,5,PC
13EW00073,L1191,,MYO AA,1,98,e7,,,114,1127,Preg,,1,PC
13EW00074,L1206,,1ST.90BRN,1,100,e7,,,124,1127,Preg,,5,PC
13EW00075,L1225,,MYO AA,1,116,e7,,,144,1127,Preg,,5,PC
13EW00076,L1309,,MYO AA,1,115,e7,,,140,1127,Preg,,2,PC
13EW00077,L1397,,10BRN.BR.EYES,1,116,e7,,,137,1127,Preg,,5,PC
13EW00078,L1418,,MYO AA,1,100,e7,,,121,1127,Preg,,2,PC
13EW00079,L1464,,MYO AA,1,104,e7,,,126,1127,Preg,,5,PC
13EW00080,L1514,,25BLK,1,95,e7,,,118,1127,Preg,,5,PC
13EW00081,R9568,,SCOURS,1,92,e12,,,116,1127,Preg,,1,07
