UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,PREGTEST,IDZ65,CLR,STM
14EW00001,H8468,,.,1,82,e13,W,101,1126,Preg,,1,30
14EW00002,H8491,,HAIRY,1,82,e14,W,100,1126,Preg,,1,30
14EW00003,H8492,,FEVR.INCR.RR.,1,86,e13,W,105,1126,Preg,,1,30
14EW00004,H8495,,NICE LAMB,1,100,e14,W,131,1126,Preg,,1,30
14EW00005,H8508,,.,1,95,e13,W,118,1126,Preg,,1,30
14EW00006,H8511,,NICE LAMB,1,76,e14,W,114,1126,Preg,,1,30
14EW00007,H8514,,.,1,82,e12,W,100,1126,Preg,,1,30
14EW00008,H8516,,.,1,84,e12,W,102,1126,Preg,,1,30
14EW00009,H8519,,HAIRY,1,82,e12,W,98,1126,Preg,,1,30
14EW00010,H8524,,.,1,77,e12,W,98,1126,Preg,,1,30
14EW00011,H8526,,.,1,90,e14,W,120,1126,Preg,,1,30
14EW00012,H8530,,2ND NICE LAMB,1,79,e13,W,92,1126,Preg,,1,30
14EW00013,H8533,,.,1,69,e13,W,85,1126,Preg,,1,30
14EW00014,H8540,,.,1,79,e14,W,101,1126,Preg,,1,30
14EW00015,H8545,,.,1,98,e13,W,117,1126,Preg,,1,30
14EW00016,H8547,,.,1,80,e14,W,97,1126,Preg,,1,30
14EW00017,H8549,,.,1,106,e12,W,111,1126,Preg,,1,30
14EW00018,H8571,,.,1,92,e13,W,114,1126,Preg,,1,30
14EW00019,H8586,,.,1,70,e12,W,94,1126,Preg,,1,30
14EW00020,H8591,,NICE LAMB,1,104,e14,W,125,1126,Preg,,1,30
14EW00021,H8601,,NICE LAMB,1,104,e12,W,116,1126,Preg,,1,30
14EW00022,H8602,,NICE LAMB,1,99,e12,W,107,1126,Preg,,1,30
14EW00023,H8615,,.,1,70,e13,W,97,1126,Open,,1,30
14EW00024,H8620,,PINK,1,99,e12,W,113,1126,Preg,,1,30
14EW00025,H8631,,HAIRY,1,96,e13,W,114,1126,Preg,,1,30
14EW00026,H8640,,HAIRY,1,97,e12,W,119,1126,Preg,,1,30
14EW00027,H8641,,.,1,94,e13,W,103,1126,Preg,,1,30
14EW00028,H8642,,.,1,85,e12,W,110,1126,Preg,,1,30
14EW00029,H8664,,HAIRY,1,98,e12,W,111,1126,Preg,,1,30
14EW00030,H8667,,.,1,89,e14,W,110,1126,Preg,,1,30
14EW00031,H8668,,.,1,78,e14,W,101,1126,Preg,,1,30
14EW00032,H8687,,2ND,1,94,e13,W,110,1126,Preg,,1,30
14EW00033,H8691,,NICE LAMB,1,93,e14,W,126,1126,Preg,,1,30
14EW00034,H8692,,.,1,85,e13,W,106,1126,Preg,,1,30
14EW00035,H8693,,.,1,89,e14,W,110,1126,Preg,,1,30
14EW00036,H8694,,1ST,1,101,e12,W,120,1126,Preg,,1,30
14EW00037,H8697,,.,1,91,e14,W,111,1126,Preg,,1,30
14EW00038,H8698,,NICE.LameLH,1,91,e14,W,116,1126,Preg,,1,30
14EW00039,H8703,,NICE LAMB,1,105,e14,W,127,1126,Preg,,1,30
14EW00040,H8704,,.,1,82,e12,W,101,1126,Preg,,1,30
14EW00041,H8709,,.,1,95,e13,W,106,1126,Preg,,1,30
14EW00042,H8721,,NICE LAMB,1,105,e12,W,115,1126,Preg,,1,30
14EW00043,H8722,,UGLY,1,87,e13,W,102,1126,Open,,1,30
14EW00044,H8747,,.,1,103,e14,W,119,1126,Preg,,1,30
14EW00045,H8756,,.,1,83,e13,W,102,1126,Preg,,1,30
14EW00046,H8757,,1ST,1,86,e13,0,,,,,1,30
14EW00047,H8760,,.,1,76,e14,W,,,Preg,,1,30
14EW00048,H8765,,.,1,85,e12,W,100,1126,Preg,,1,30
14EW00049,H8768,,.,1,98,e12,W,110,1126,Preg,,1,30
14EW00050,H8780,,.,1,77,e13,W,98,1126,Preg,,1,30
14EW00051,H8782,,.,1,89,e13,W,105,1126,Open,,1,30
14EW00052,H8785,,.,1,91,e14,W,110,1126,Preg,,1,30
14EW00053,H8786,,.,1,92,e14,W,119,1126,Preg,,1,30
14EW00054,H8788,,.,1,67,e13,W,88,1126,Preg,,1,30
14EW00055,H8802,,.,1,85,e12,W,106,1126,Preg,,1,30
14EW00056,H8809,,.,1,87,e14,W,107,1126,Preg,,1,30
14EW00057,H8811,,.,1,98,e12,W,117,1126,Preg,,1,30
14EW00058,H8822,,HAIRY,1,71,e14,W,93,1126,Open,,1,30
14EW00059,H8824,,.,1,77,e13,W,96,1126,Preg,,1,30
14EW00060,H8828,,NICE.LEyeConj,1,76,e12,W,90,1126,Open,,1,30
14EW00061,H8829,,TAIL.CHEWED,1,88,e14,W,116,1126,Preg,,1,30
14EW00062,L1517,,40BLK,1,116,9,W,122,1126,Preg,,5,PC
14EW00063,L1519,,20BLK,1,112,7,W,122,1126,Preg,,5,PC
14EW00064,L1520,,80BLK,1,124,8,W,146,1126,Preg,,5,PC
14EW00065,L1521,,80BLK,1,126,6,W,143,1126,Preg,,5,PC
14EW00066,L1524,,10BLK,1,88,8,W,114,1126,Preg,,2,PC
14EW00067,L1528,,30GR,1,99,5,W,113,1126,Preg,,5,PC
14EW00068,L1529,,1ST.BIG.20BLK,1,83,7,W,94,1126,Preg,,5,PC
14EW00069,L1532,,40BRN,1,121,9,W,124,1126,Preg,,5,PC
14EW00070,L1541,,10BRN,1,89,9,W,100,1126,Preg,,5,PC
14EW00071,L1542,,20BLK,1,99,6,W,107,1126,Preg,,5,PC
14EW00072,L1544,,15DKBRN.NICE,1,115,7,W,122,1126,Preg,,5,PC
14EW00073,L1546,,50BLK.NICE,1,107,7,W,110,1126,Preg,,5,PC
14EW00074,L1548,,2ND.25BLK,1,101,5,W,114,1126,Preg,,5,PC
14EW00075,L1552,,25BLK,1,104,5,W,120,1126,Preg,,5,PC
14EW00076,L1553,,50BLK,1,106,7,W,118,1126,Open,,5,PC
14EW00077,L1562,,P UGLY 10BRN,1,86,9,W,101,1126,Preg,,5,PC
14EW00078,L1573,,SMOKY,1,97,5,W,107,1126,Open,,2,PC
14EW00079,L1578,,FREC.FEET,1,118,6,W,125,1126,Preg,,2,PC
14EW00080,L1586,,30BRN,1,138,9,W,151,1126,Preg,,5,PC
14EW00081,L1588,,70BL/BR,1,93,7,W,108,1126,Open,,5,PC
14EW00082,L1592,,95TAN,1,125,6,W,123,1126,Open,,5,PC
14EW00083,L1599,,50.V.LT.BRN,1,96,8,W,121,1126,Preg,,5,PC
14EW00084,L1600,,50DKBR.INC.RR,1,94,5,W,119,1126,Preg,,5,PC
14EW00085,L1602,,25BLK,1,86,8,W,110,1126,Preg,,5,PC
