UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDAR,CLR,STM
20EW00001,A0720,,.,1,96,e6,W,112,1015,121,1120,,,,2-,1,Preg,,1,30
20EW00002,A0731,,.,1,99,e1,W,114,1015,121,1120,,,,1-,,Preg,,1,30
20EW00003,A0732,,PINK,1,101,e2,W,119,1015,140,1120,,,,2-,,Preg,,1,30
20EW00004,A0733,,.,1,101,e3,W,111,1015,122,1120,,,,3+,,Preg,,1,30
20EW00005,A0739,,2ND,1,87,e4,W,100,1015,112,1120,,,,2,1,Preg,,1,30
20EW00006,A0741,,1ST,1,129,e5,W,153,1015,174,1120,,,,2-,,Preg,,1,30
20EW00007,A0745,,.,1,95,e6,W,108,1015,119,1120,,,,2-,,Preg,,1,30
20EW00008,A0746,,.,1,96,e1,W,111,1015,130,1120,,,,2,,Preg,,1,30
20EW00009,A0761,,.,1,86,e2,W,94,1015,112,1120,,,,3,1,Preg,,1,30
20EW00010,A0766,,.,1,97,e3,W,112,1015,125,1120,,,,3+,1,Preg,,1,30
20EW00011,A0769,,HAIRY,1,101,e4,W,117,1015,129,1120,,,,3+,,Preg,,1,30
20EW00012,A0771,,1ST,1,108,e5,W,127,1015,143,1120,,,,2-,1,Preg,,1,30
20EW00013,A0778,,2ND,1,81,e6,W,90,1015,,,,,,,,,,1,30
20EW00014,A0781,,.,1,94,e1,W,101,1015,113,1120,,,,2,,Preg,,1,30
20EW00015,A0782,,.,1,96,e2,W,102,1015,120,1120,,,,3,1,Preg,,1,30
20EW00016,A0784,,.,1,97,e3,W,107,1015,122,1120,,,,2-,1,Preg,,1,30
20EW00017,A0799,,1ST,1,131,e4,W,151,1015,166,1120,,,,2-,1,Preg,,1,30
20EW00018,A0808,,.,1,84,e5,W,90,1015,103,1120,,,,2-,1,Preg,,1,30
20EW00019,A0809,,PINK.EARS,1,110,e6,W,127,1015,143,1120,,,,3+,1,Preg,,1,30
20EW00020,A0812,,1ST,1,91,e1,W,109,1015,124,1120,,,,2-,,Preg,,1,30
20EW00021,A0813,,4TH,1,99,e2,W,117,1015,129,1120,,,,2-,,Preg,,1,30
20EW00022,A0816,,.,1,103,e3,W,111,1015,119,1120,,,,2,,Preg,,1,30
20EW00023,A0819,,.,1,122,e4,W,132,1015,140,1120,,,,3+,1,Preg,,1,30
20EW00024,A0825,,.,1,117,e5,W,124,1015,140,1120,,,,2-,1,Preg,,1,30
20EW00025,A0828,,.,1,88,e6,W,98,1015,111,1120,,,,2-,1,Preg,,1,30
20EW00026,A0829,,THIN,1,84,e1,W,96,1015,110,1120,,,,3,,Preg,,1,30
20EW00027,A0832,,.,1,98,e2,W,112,1015,125,1120,,,,2-,1,Preg,,1,30
20EW00028,A0837,,.,1,81,e3,W,92,1015,105,1120,,,,2-,1,Preg,,1,30
20EW00029,A0844,,.,1,125,e4,W,135,1015,134,1120,,,,2-,1,Preg,,1,30
20EW00030,A0850,,.,1,107,e5,W,118,1015,129,1120,,,,3,1,Preg,,1,30
20EW00031,A0857,,.,1,97,e6,W,109,1015,121,1120,,,,2-,1,Preg,,1,30
20EW00032,A0860,,.,1,90,e1,W,102,1015,116,1120,,,,2+,1,Preg,,1,30
20EW00033,A0861,,HAIRY,1,88,e2,W,105,1015,121,1120,,,,2+,1,Preg,,1,30
20EW00034,A0866,,.,1,83,e3,W,106,1015,123,1120,,,,2+,1,Preg,,1,30
20EW00035,A0871,,.,1,87,e4,W,92,1015,108,1120,,,,3+,,Preg,,1,30
20EW00036,A0885,,.,1,85,e5,W,99,1015,119,1120,,,,2-,1,Preg,,1,30
20EW00037,A0891,,.,1,89,e6,W,101,1015,114,1120,,,,1-,,Preg,,1,30
20EW00038,A0899,,.,1,90,e1,W,102,1015,117,1120,,,,3,1,Preg,,1,30
20EW00039,A0904,,.,1,113,e2,W,132,1015,142,1120,,,,3,1,Preg,,1,30
20EW00040,A0905,,.,1,85,e3,W,95,1015,108,1120,,,,3,1,Preg,,1,30
20EW00041,A0907,,.,1,109,e4,W,117,1015,124,1120,,,,3+,1,Preg,,1,30
20EW00042,A0916,,.,1,85,e5,W,103,1015,114,1120,,,,2-,,Preg,,1,30
20EW00043,A0918,,.,1,84,e6,W,105,1015,111,1120,,,,2,,Preg,,1,30
20EW00044,A0920,,.,1,99,e1,W,110,1015,119,1120,,,,2,1,Preg,,1,30
20EW00045,A0925,,NICE LAMB,1,107,e2,W,122,1015,147,1120,,,,3,1,Preg,,1,30
20EW00046,A0938,,Aborting 1.19,1,85,e3,W,96,1015,109,1120,,,,2,1,Preg,,1,30
20EW00047,A0942,,BR.R.HIP,1,90,e4,W,106,1015,108,1120,,,,2-,1,Preg,,3,30
20EW00048,A0950,,.,1,97,e5,W,114,1015,119,1120,,,,2-,1,Preg,,1,30
20EW00049,A0953,,.,1,89,e6,W,105,1015,118,1120,,,,,,Open,,1,30
20EW00050,A0954,,.,1,101,e1,W,109,1015,128,1120,,,,3+,,Preg,,1,30
20EW00051,A0961,,.,1,86,e2,W,103,1015,118,1120,,,,3,1,Preg,,1,30
20EW00052,A0962,,.,1,94,e3,W,102,1015,116,1120,,,,2+,1,Preg,,1,30
20EW00053,A0964,,.,1,80,e4,W,96,1015,112,1120,,,,3,1,Preg,,1,30
20EW00054,A0970,,3RD,1,81,e5,W,88,1015,107,1120,,,,2-,1,Preg,,1,30
20EW00055,A0974,,.,1,100,e6,W,116,1015,134,1120,,,,2+,,Preg,,1,30
20EW00056,A0979,,.,1,94,e1,W,105,1015,112,1120,,,,1-,1,Preg,,1,30
20EW00057,A0991,,.,1,95,e2,W,117,1015,134,1120,,,,2+,,Preg,,1,30
20EW00058,A0996,,.,1,88,e3,W,91,1015,106,1120,,,,3,1,Preg,,1,30
20EW00059,A0997,,.,1,95,e4,W,100,1015,117,1120,,,,3,1,Preg,,1,30
20EW00060,A0998,,.,1,94,e5,W,109,1015,118,1120,,,,2-,,Preg,,1,30
20EW00061,A0999,,.,1,96,e6,W,108,1015,117,1120,,,,3+,1,Preg,,1,30
20EW00062,A1001,,.,1,99,e1,W,123,1015,140,1120,,,,,,,,1,30
20EW00063,A1002,,.,1,118,e2,W,142,1015,154,1120,,,,2-,,Open,,1,30
20EW00064,A1005,,.,1,99,e3,W,118,1015,120,1120,,,,2-,1,Preg,,1,30
20EW00065,A1008,,.,1,99,e4,W,111,1015,123,1120,,,,3+,1,Preg,,1,30
20EW00066,A1010,,.,1,112,e5,W,127,1015,142,1120,,,,2-,,Preg,,1,30
20EW00067,A1011,,UGLY,1,92,e6,W,101,1015,113,1120,,,,2+,,Open,,1,30
20EW00068,A1012,,.,1,87,e1,W,95,1015,109,1120,,,,2+,,Open,,1,30
20EW00069,A1022,,PINK,1,80,e2,W,107,1015,127,1120,,,,1-,1,Preg,,1,30
20EW00070,A1023,,PINK,1,99,e3,W,112,1015,125,1120,,,,2+,1,Preg,,1,30
20EW00071,A1027,,HAIRY,1,97,e4,W,108,1015,116,1120,,,,3+,1,Preg,,1,30
20EW00072,A1042,,.,1,100,e5,W,110,1015,128,1120,,,,3,1,Preg,,1,30
20EW00073,A1043,,.,1,88,e6,W,105,1015,121,1120,,,,3,1,Preg,,1,30
20EW00074,A1044,,.,1,88,e1,W,103,1015,119,1120,,,,2-,,Preg,,1,30
20EW00075,A1050,,HAIRY.BL/BREY,1,91,e2,W,105,1015,118,1120,,,,3+,,Preg,,2,30
20EW00076,K5343,,.,1,97,e3,W,107,1015,117,1120,,,,3+,1,Preg,,1,06
20EW00077,K5346,,.,1,94,e4,W,111,1015,121,1120,,,,3,1,Preg,,1,06
20EW00078,K5348,,.,1,84,e5,W,96,1015,107,1120,,,,3,1,Preg,,1,06
20EW00079,K5354,,.,1,120,e6,W,138,1015,144,1120,,,,3,1,Preg,,1,06
20EW00080,K5357,,2ND.BACKWARDS,1,112,e1,W,131,1015,143,1120,,,,3,1,Preg,,1,06
20EW00081,K5358,,.,1,88,e2,W,94,1015,112,1120,,,,,,Open,2839,1,06
20EW00082,K5362,,.,1,87,e3,W,98,1015,114,1120,,,,4+,1,Preg,,1,06
20EW00083,K5367,,.,1,91,e4,W,101,1015,112,1120,,,,,,Open,2802,1,06
20EW00084,K5369,,.,1,94,e5,W,99,1015,111,1120,,,,3-,1,Preg,,1,06
20EW00085,K5370,,.,1,111,e6,W,112,1015,117,1120,,,,2-,1,Preg,,1,06
20EW00086,K5373,,.,1,81,e1,W,80,1015,83,1120,,,,,,,,1,06
20EW00087,K5374,,.,1,88,e2,W,105,1015,119,1120,,,,,,Open,2850,1,06
20EW00088,K5377,,.,1,81,e3,W,90,1015,108,1120,,,,4+,1,Preg,,1,06
20EW00089,K5382,,.,1,85,e4,W,101,1015,111,1120,,,,3,1,Preg,,1,06
20EW00090,K5384,,.,1,112,e5,W,121,1015,130,1120,,,,3+,1,Preg,,1,06
20EW00091,K5386,,.,1,96,e6,W,121,1015,134,1120,,,,3-,1,Preg,,1,06
20EW00092,K5387,,.,1,100,e1,W,122,1015,135,1120,,,,,,Open,2846,1,06
20EW00093,K5388,,HAIRY,1,95,e2,W,112,1015,127,1120,,,,3,1,Preg,,1,06
20EW00094,K5392,,.,1,116,e3,W,134,1015,140,1120,,,,3,1,Preg,,1,06
20EW00095,K5398,,.,1,94,e4,W,111,1015,111,1120,,,,3,1,Preg,,1,06
20EW00096,K5400,,.,1,86,e5,W,96,1015,106,1120,,,,,,Open,2831,1,06
20EW00097,K5404,,.,1,97,e6,W,114,1015,125,1120,,,,,,Open,2854,1,06
20EW00098,K5405,,.,1,86,e1,W,91,1015,100,1120,,,,3,1,Preg,,1,06
20EW00099,K5409,,.,1,89,e2,W,99,1015,113,1120,,,,,,Open,2841,1,06
20EW00100,L2425,,1ST.60BL,1,95,e3,W,106,1015,122,1120,,,,2-,1,Preg,,5,PC
20EW00101,L2430,,.,1,106,e4,W,108,1015,119,1120,,,,2+,1,Preg,,2,PC
20EW00102,L2433,,05BR,1,123,e5,W,149,1015,168,1120,,,,1-,1,Preg,,2,PC
20EW00103,L2435,,05BR,1,99,e6,W,110,1015,120,1120,,,,,,Open,2832,2,PC
