UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
22EW00001,A1468,,.,1,98,e1,W,120,1021,122,1129,,,,2-,,Preg,,1,30
22EW00002,A1471,,.,1,99,e2,W,112,1021,133,1129,,,,3+,,Preg,,1,30
22EW00003,A1476,,.,1,114,e3,W,131,1021,144,1129,,,,3-,,Preg,,1,30
22EW00004,A1482,,.,1,120,e4,W,130,1021,140,1129,,,,3,,Preg,,1,30
22EW00005,A1483,,1ST,1,94,e5,W,103,1021,118,1129,,,,3+,,Preg,,1,30
22EW00006,A1493,,.,1,99,e6,W,111,1021,129,1129,,,,3,,Preg,,1,30
22EW00007,A1502,,.,1,99,e1,W,101,1021,116,1129,,,,3,,Preg,,1,30
22EW00008,A1503,,.,1,97,e2,W,118,1021,124,1129,,,,3+,,Preg,,1,30
22EW00009,A1506,,.,1,95,e3,W,106,1021,124,1129,,,,2-,,Preg,,1,30
22EW00010,A1507,,2ND,1,99,e4,W,103,1021,122,1129,,,,3,,Preg,,1,30
22EW00011,A1508,,3RD,1,112,e5,W,117,1021,132,1129,,,,3,,Preg,,1,30
22EW00012,A1509,,.,1,96,e6,W,107,1021,129,1129,,,,3+,,Preg,,1,30
22EW00013,A1511,,.,1,105,e1,W,101,1021,108,1129,,,,2-,,Preg,,1,30
22EW00014,A1512,,.,1,107,e2,W,125,1021,138,1129,,,,3,,Preg,,1,30
22EW00015,A1514,,.,1,100,e3,W,116,1021,123,1129,,,,3,,Preg,,1,30
22EW00016,A1515,,.,1,102,e4,W,122,1021,128,1129,,,,3,,Preg,,1,30
22EW00017,A1516,,.,1,99,e5,W,118,1021,130,1129,,,,3+,,Preg,,1,30
22EW00018,A1517,,BIGBLSPOT,1,103,e6,W,117,1021,123,1129,,,,2-,,Preg,,3,30
22EW00019,A1518,,.,1,119,e1,W,127,1021,130,1129,,,,2-,,Preg,,1,30
22EW00020,A1522,,.,1,107,e2,W,116,1021,124,1129,,,,2-,,Preg,,1,30
22EW00021,A1527,,.,1,101,e3,W,105,1021,123,1129,,,,2-,,Preg,,1,30
22EW00022,A1530,,.,1,105,e4,W,112,1021,127,1129,,,,3,,Preg,,1,30
22EW00023,A1532,,.,1,91,e5,W,111,1021,118,1129,,,,3+,,Preg,,1,30
22EW00024,A1535,,.,1,111,e6,W,120,1021,134,1129,,,,3,,Preg,,1,30
22EW00025,A1536,,.,1,109,e1,W,135,1021,142,1129,,,,4,,Preg,,1,30
22EW00026,A1540,,.,1,105,e2,W,120,1021,125,1129,,,,,,Open,,1,30
22EW00027,A1543,,.,1,89,e3,W,108,1021,100,1129,,,,2-,,Preg,,1,30
22EW00028,A1545,,.,1,94,e4,W,103,1021,116,1129,,,,3,,Preg,,1,30
22EW00029,A1548,,.,1,103,e5,W,110,1021,129,1129,,,,3-,,Preg,,1,30
22EW00030,A1549,,.,1,91,e6,W,110,1021,114,1129,,,,3-,,Preg,,2,30
22EW00031,A1551,,.,1,86,e1,W,98,1021,120,1129,,,,3,,Preg,,1,30
22EW00032,A1553,,.,1,89,e2,W,110,1021,117,1129,,,,3+,,Preg,,1,30
22EW00033,A1554,,.,1,85,e3,W,100,1021,108,1129,,,,3,,Preg,,2,30
22EW00034,A1558,,.,1,112,e4,W,129,1021,142,1129,,,,3+,,Preg,,1,30
22EW00035,A1569,,HAIRY,1,94,e5,W,111,1021,131,1129,,,,3,,Preg,,1,30
22EW00036,A1574,,.,1,89,e6,W,106,1021,124,1129,,,,2-,,Preg,,1,30
22EW00037,A1581,,.,1,111,e1,W,128,1021,135,1129,,,,3,,Preg,,1,30
22EW00038,A1582,,.,1,96,e2,W,116,1021,123,1129,,,,2-,,Preg,,1,30
22EW00039,A1584,,.,1,109,e3,W,134,1021,140,1129,,,,3,,Preg,,1,30
22EW00040,A1589,,.,1,89,e4,W,98,1021,109,1129,,,,2-,,Preg,,1,30
22EW00041,A1594,,.,1,96,e5,W,112,1021,125,1129,,,,3,,Preg,,1,30
