UID,ETAG,LINE,LRMK,IDX,PD,WNWT,CUWT,BPEN,BRAND,SITE,SYNC,SEP18,NOV13,NOV25,JAN04,TB
92EW00001,K5830,68,,112,1,81,97,c.1,Blue 1,feedlot,,0.0,0.0,103,0.0,1
92EW00002,K5835,68,4TEATS,108,1,79,98,c.2,Blue 2,feedlot,,0.0,0.0,105,0.0,0
92EW00003,K5840,68,4TEATS,108,1,99,120,c.3,Blue 3,feedlot,,0.0,0.0,140,0.0,0
92EW00004,K5842,68,4TEATS,101,1,115,118,c.1,Blue 1,feedlot,,0.0,0.0,126,0.0,0
92EW00005,K5853,68,,102,1,83,84,c.2,Blue 2,feedlot,,0.0,0.0,87,0.0,0
92EW00006,K5857,68,,111,1,83,100,c.3,Blue 3,feedlot,,0.0,0.0,104,0.0,0
92EW00007,K5860,68,,98,1,96,101,c.1,Blue 1,feedlot,,0.0,0.0,108,0.0,0
92EW00008,K5861,68,BLK.L.HIP,94,3,79,86,MKT,Scott,feedlot,,0.0,0.0,95,0.0,0
92EW00009,K5866,68,,87,3,80,78,MKT,Scott,feedlot,,0.0,0.0,78,0.0,0
92EW00010,K5868,68,,101,1,89,101,c.2,Blue 2,feedlot,,0.0,0.0,122,0.0,0
92EW00857,Z1598,97,4TEATS,93,3,83,87,MKT,Scott,feedlot,,0.0,0.0,96,0.0,0
92EW00858,Z1599,97,,103,1,117,117,974,Red 4,feedlot,,0.0,0.0,130,0.0,1
92EW00859,Z1600,97,,104,3,77,77,MKT,Scott,feedlot,,0.0,0.0,85,0.0,0
92EW00860,Z1610,97,,101,3,83,85,MKT,Scott,feedlot,,0.0,0.0,95,0.0,0
92EW00861,Z1629,97,,103,1,88,90,973,Red 3,feedlot,,0.0,0.0,103,0.0,0
92EW00862,Z1717,97,,108,1,108,106,974,Red 4,feedlot,,0.0,0.0,112,0.0,0
92EW00863,Z1718,97,,107,1,115,115,973,Red 3,feedlot,,0.0,0.0,136,0.0,0
92EW00864,Z1862,97,,103,1,88,88,974,Red 4,feedlot,,0.0,0.0,94,0.0,0
92EW00865,Z1865,97,,101,1,86,88,973,Red 3,feedlot,,0.0,0.0,97,0.0,1
92EW00866,Z1896,97,,100,3,84,83,MKT,Scott,feedlot,,0.0,0.0,80,0.0,0
