UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,NOV05,DEC10
96EW00001,A3111,73,HAIRY,102,1,74,-FL,red,86,0
96EW00002,A3113,82,4TEATS,106,1,98,e.9,red,121,141
96EW00003,A3116,82,4TEATS,92,1,95,e.8,red,104,121
96EW00004,A3112,73,MSG 11/05/96,98,7,71,-FL,red,0,0
96EW00005,A3104,73,,97,1,69,-FL,red,82,0
96EW00006,A3105,73,,97,1,70,-FL,red,81,0
96EW00007,A3102,81,,103,1,95,e.8,red,109,127
96EW00008,A3109,ch,,79,1,76,j.3,green,83,98
96EW00009,A3132,ch,,100,1,92,j.8,green,106,119
96EW00010,A3141,73,,103,1,83,-FL,red,96,0
96EW00713,Z3634,97,SCOURS+,120,1,134,974,red,156,168
96EW00714,Z3638,97,     *MCFsave,97,1,99,974,red,135,144
96EW00715,Z3641,97,     *MCFsave,117,1,92,974,red,113,130
96EW00716,Z3644,97,ENTR *MCFsave,109,1,113,974,red,136,154
96EW00717,Z3648,97,     *MCFsave,103,1,109,974,red,133,145
96EW00718,Z3654,97,     *MCFsave,99,1,90,973,red,111,124
96EW00719,Z3661,97,     *MCFnoWN,96,1,97,973,red,95,117
96EW00720,Z3667,97,     *MCFnoWN,105,1,105,974,red,112,124
96EW00721,Z3621,97,     *MCFsave,110,1,120,974,red,147,154
96EW00722,Z3625,97,     *MCFsave,86,1,78,974,red,99,114
