UID,ETAG,LINE,RMK,IDX,PD,BRDGTRT,CUWT,BPEN,BRAND,OCT18,DEC14,IDZ65,DATEOUT,HGRP,MARKED,PREG,SETRT,RETRT,CLR,STM
05EW00001,03116,m3,,0,1,Marc,88, 1,Purple,115,140,0,2005-12-14,,,1,,,5,m3
05EW00002,03118,m3,,0,1,Marc,104, 7,Purple,144,170,0,2005-12-14,,,0,,,5,m3
05EW00003,03101,m3,,0,1,Marc,104, 3,Purple,121,141,0,2005-12-14,,,1,,,5,m3
05EW00004,03100,m3,,0,1,Marc,107, 6,Purple,132,158,0,2005-12-14,,,1,,,5,m3
05EW00005,03104,m3,,0,1,Marc,99, 1,Purple,125,148,0,2005-12-14,,,0,,,5,m3
05EW00006,03107,m3,,0,1,Marc,106, 6,Purple,134,159,0,2005-12-14,,,1,,,5,m3
05EW00007,03133,m3,,0,1,Marc,98, 4,Purple,124,159,0,2005-12-14,,,1,,,5,m3
05EW00008,03138,m3,,0,1,Marc,97, 8,Purple,115,139,0,2005-12-14,,,1,,,5,m3
05EW00009,03145,m3,,0,1,Marc,85, 5,Purple,108,127,0,2005-12-14,,,1,,,5,m3
05EW00010,03151,m3,,0,1,Marc,129, 2,Purple,144,168,0,2005-12-14,,,1,,,5,m3
05EW00928,X2767,00,BLACK EWE,0,1,Usda,116,e23,Purple,121,137,0,2005-12-14,,,1,,,9,00
05EW00929,X2721,00,,125,T,Usda,121,e25,Purple,128,155,0,2005-12-14,,,1,,,4,86
05EW00930,X2723,97,,106,1,Usda,99,e23,Purple,103,122,0,2005-12-14,,,1,,,6,97
05EW00931,X2722,00,,0,T,Usda,115, W,Purple,112,135,0,2005-12-14,,,0,,,4,86
05EW00932,X2728,97,NICE LAMB,92,1,Usda,101,e24,Purple,97,126,0,2005-12-14,,,1,,,6,97
05EW00933,X2795,00,ENTROPION,0,1,Usda,109,non,Purple,105,136,0,2005-12-14,,,0,,,5,83
05EW00934,X2774,97,,104,1,Usda,118,e23,Purple,109,141,0,2005-12-14,,,1,,,6,97
05EW00935,X2776,00,,0,1,Usda,95,non,Purple,108,125,0,2005-12-14,,,0,,,5,83
05EW00936,X2700,00,,0,T,Usda,98,e25,Purple,100,123,0,2005-12-14,,,1,,,5,86
05EW00937,H1833,83,FOUND 10/18,111,1,Tay.,82,e33,Blue,85,90,0,2005-11-21,3,Y,1,C,M,1,30
