UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGPEN,W1018,W1207,IDZ65,CLR,STM,DIETPEN
10EW00001,K4689,,4TEATS,,1,,0,e18,,,,114,,1,06,
10EW00002,L0148,,SMUT,,1,,0,e12,,,,108,,5,PC,
10EW00003,R8454,,.,,3,,0,e15,,,,83,,1,07,
10EW00004,X8680,,4TEATS,,1,,0,e9,,,,94,,1,TC,
10EW00005,X8580,,E1EYE,,1,,101,e2,,,,128,,2,T3,
10EW00006,T3387,,.,,1,,107,,,,,151,,1,02,
10EW00007,T2977,,.,,1,,118,,,,,128,,1,02,
10EW00008,T3422,,.,,1,,80,,,,,92,,1,02,
10EW00009,R8087,,.,,1,,73,e15,,,,92,,1,07,
10EW00010,X8501,,4TEATS,,1,,100,e11,,,,126,,5,S3,
10EW00827,X8986,00,.,,1,,75,74,,,,77,,1,33,
10EW00828,X9507,00,4TEATS,,1,,98,74,,,,100,,1,33,
10EW00829,X8947,00,4TEATS,,1,,82,74,,,,75,,1,33,
10EW00830,X8962,00,4TBLKRFOREARM,,1,,81,74,,,,91,,1,33,
10EW00831,X8982,00,.,,1,,78,74,,,,83,,1,33,
10EW00832,T3428,,E1E,,1,,74,,,,,85,,1,02,
10EW00833,X8911,00,PROCESSED330,,1,,98,74,,,,104,,1,33,
10EW00834,X8948,00,3TEATS,,1,,84,74,,,,94,,1,33,
10EW00835,X9286,00,.,,1,,71,74,,,,80,,1,33,
10EW00836,X9247,00,4TEATS,,1,,70,74,,,,81,,1,33,
