UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGTEST,W1018,W1207,IDZ65,CLR,STM,DIETPEN
11EW00001,X9817,,4TEATS.SCOURS,0,1,,113,e16,,Preg,,126,0,5,SC,
11EW00002,L0242,,NICE SL E R E,0,1,,124,e15,,Open,,135,0,5,PC,
11EW00003,L0243,,.,0,1,,112,e15,,Open,,127,0,5,PC,
11EW00004,T3541,,3T  SCOURS,0,1,,71,,,,,,0,1,02,
11EW00005,X9818,,E2E,0,1,,98,e7,,Open,,102,0,5,S3,
11EW00006,X9828,,4T.NICE,0,1,,143,e4,,Preg,,155,0,6,97,
11EW00007,T3548,,.,0,1,,77,,,,,,0,1,02,
11EW00008,T3549,,EL EYE HAIRY,0,1,,90,e26,,Open,,122,0,1,02,
11EW00009,T3551,,.,0,1,,91,e26,,Open,,94,0,1,02,
11EW00010,T3553,,2ND,0,1,,94,e26,,Open,,81,0,1,02,
11EW00732,H7399,,SCOURS,0,3,,73,e10,,Open,,80,0,1,30,
11EW00733,R9120,,HAIRY.STILL.R,0,3,,89,e18,,Open,,99,0,1,07,
11EW00734,L0548,,SCOURS,0,1,,108,e15,,Open,,113,0,5,PC,
11EW00735,R9122,,NICE LAMB,0,1,,83,e11,,Open,,80,0,1,07,
11EW00736,L0549,,E2E.VRYLTSMUT,0,1,,93,e14,,Preg,,98,0,5,PC,
11EW00737,L0550,,NICE LAMB SCO,0,3,,92,e15,,Open,,105,0,5,PC,
11EW00738,H7405,,SCOURS,0,1,,73,e8,,Preg,,79,0,1,30,
11EW00739,R9130,,.,0,1,,84,e11,,Open,,81,0,1,07,
11EW00740,Z0846,,4T.PINK.VRYHA,0,1,,58,V1,,Open,,61,0,1,00,
11EW00741,Z0851,,4TEATS,0,1,,94,e6,,Open,,90,0,1,CM,
