UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,PREGTEST,IDZ65,CLR,STM
12EW00001,T4101,,.,1,114,e25,0,,134,1130,Preg,0,1,02
12EW00002,T4102,,.,1,93,e24,0,,101,1130,Preg,0,1,02
12EW00003,T4103,,.,1,90,e25,0,,108,1130,Preg,0,1,02
12EW00004,T4106,,4T.BRITCHY,1,104,e23,0,,130,1130,Open,0,1,02
12EW00005,T4108,,HAIRY,1,114,e25,0,,152,1130,Preg,0,1,02
12EW00006,T4109,,3TEAT,1,114,e27,0,,138,1130,Preg,0,1,02
12EW00007,T4115,,4.H,1,93,e27,0,,109,1130,Preg,0,1,02
12EW00008,T4116,,HAIRY,1,94,e23,0,,104,1130,Preg,0,1,02
12EW00009,T4119,,H WAS Z0922,1,94,e23,0,,106,1130,Preg,0,1,02
12EW00010,T4124,,HAIRY,1,88,e27,0,,123,1130,Open,0,1,02
12EW00605,Z1086,,40GRAY,1,91,e4,104,1026,116,1130,Preg,0,5,SC
12EW00606,Z0990,,4TEATS,1,67,e2,71,1026,83,1130,Open,0,1,CM
12EW00607,L0742,,B2-->Mtn,1,78,e13,93,1026,113,1130,Preg,0,5,PC
12EW00608,Z1115,,4TEATS,1,88,e8,89,1026,105,1130,Preg,0,6,97
12EW00609,L0832,,E.L.E.45BLK,1,76,e9,96,1026,104,1130,Preg,0,5,PC
12EW00610,R9145,,FUZZY,1,92,e17,95,1026,100,1130,Preg,0,1,07
12EW00611,H7440,,IntoBrdWtMiss,3,0,e19,100,1026,117,1130,Preg,0,1,30
12EW00612,K4883,,MissedWnwt,7,111,e6,122,1026,136,1130,Preg,0,1,06
12EW00613,T4258,,E2E,1,85,e23,,,82,1130,Open,0,1,02
12EW00614,T4337,,HAIRY,1,91,e25,,,104,1130,Open,0,1,02
