UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
15EW00001,H8838,,.,1,89,e5,W,99,1125,117,0205,2.8,2-,1,Preg,,1,30
15EW00002,H8850,,2ND,1,100,e6,W,117,1125,107,0205,2.2,2-,1,Preg,,1,30
15EW00003,H8858,,.,1,73,e5,W,77,1125,78,0205,2.2,2,1,Preg,,1,30
15EW00004,H8860,,NICE LAMB,1,98,e8,W,110,1125,125,0205,2.0,1-,1,Preg,,1,30
15EW00005,H8863,,NICE LAMB,1,100,e6,W,113,1125,139,0205,2.8,3,1,Preg,,1,30
15EW00006,H8866,,.,1,85,e5,W,81,1125,102,0205,1.8,1-,1,Preg,,1,30
15EW00007,H8872,,.,1,95,e6,W,97,1125,119,0205,2.0,2+,1,Preg,,1,30
15EW00008,H8874,,NICE LAMB,1,102,e8,W,110,1125,124,0205,2.6,2-,1,Preg,,1,30
15EW00009,H8876,,NICE LAMB,1,111,e5,W,121,1125,156,0205,3.0,2+,1,Preg,,1,30
15EW00010,H8882,,BadConformatn,1,92,e5,W,102,1125,130,0205,2.6,1-,1,Preg,,1,30
15EW00338,Z2980,,.,1,106,e3,W,105,1125,119,0205,,1,1,Open,,6,97
15EW00339,Z2995,,STUCK@SHOULDE,1,118,BL,W,131,1125,138,0205,,,,Preg,,9,BL
15EW00340,Z2996,,.,1,84,40,0,,,0,,,,,,,1,08
15EW00341,Z3004,,.,1,107,59,W,116,1125,136,0205,3.1,3+,1,Preg,,1,01
15EW00342,Z3007,,50WHITE,1,98,BL,W,113,1125,117,0205,,,,Open,,9,BL
15EW00343,Z3009,,.,1,92,59,W,111,1125,130,0205,3.7,3+,1,Preg,,1,08
15EW00344,Z3064,,.,1,85,60,W,94,1125,106,0205,2.4,3,1,Open,,1,01
15EW00345,Z3081,,BR.L.EAR.TIP,1,100,57,W,95,1125,113,0205,2.4,3+,1,Open,,2,01
15EW00346,Z3083,,2ND,1,84,36,W,91,1125,105,0205,2.3,3,1,Open,,1,01
15EW00347,Z3153,,.,1,105,54,W,111,1125,125,0205,2.6,3,1,Preg,,1,01
