UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,WTWIN,WDAYW,SL,F,H,PREGTEST,IDZ65,CLR,STM
23EW00001,A1770,,1ST,1,89,e1,W,106,1024,127,1128,112,1212,,3+,,Preg,,1,30
23EW00002,A1771,,2ND,1,103,e1,W,112,1024,120,1128,117,1212,,3+,,Preg,,1,30
23EW00003,A1774,,.,1,98,e2,W,107,1024,118,1128,118,1212,,3-,,Preg,,1,30
23EW00004,A1775,,.,1,98,e2,W,108,1024,122,1128,117,1212,,3,,Preg,,1,30
23EW00005,A1777,,.,1,108,e2,W,109,1024,128,1128,131,1212,,3+,,Preg,,1,30
23EW00006,A1779,,.,1,91,e2,W,97,1024,112,1128,113,1212,,2,,Preg,,1,30
23EW00007,A1786,,.,1,99,e2,W,111,1024,122,1128,122,1212,,3,,Open,,1,30
23EW00008,A1789,,.,1,100,e2,W,87,1024,109,1128,108,1212,,4,,Open,,1,30
23EW00009,A1805,,.,1,105,e1,W,114,1024,136,1128,130,1212,,3+,,Preg,,1,30
23EW00010,A1806,,.,1,100,e1,W,116,1024,140,1128,124,1212,,3,,Open,,1,30
23EW00696,Y0501,,.,1,78,e8,W,78,1024,91,1128,90,1212,,1,,Preg,,5,Kt
23EW00697,Y0502,,.,1,63,e8,W,64,1024,73,1128,72,1212,,1,,Open,,1,Kt
23EW00698,Y0504,,.,1,76,e8,W,76,1024,81,1128,86,1212,,1,,Open,,2,Kt
23EW00699,Y0505,,.,1,78,e8,W,66,1024,77,1128,78,1212,,1,,Preg,,8,Kt
23EW00700,Y0506,,.,1,74,e8,W,77,1024,90,1128,88,1212,,1,,Open,,2,Kt
23EW00701,Y0507,,.,1,70,e8,W,76,1024,86,1128,86,1212,,1,,Preg,,2,Kt
23EW00702,Y0509,,.,1,61,e8,W,47,1024,,,,,,,,,,8,Kt
23EW00703,Y0510,,.,1,58,e8,,,,,,,,,,,,,8,Kt
23EW00704,Y0516,,WOOLY,1,61,e8,,,,,,,,,,,,,1,Kt
23EW00705,A1850,,.,7,0,,,,,92,1128,,,,,,,,,30
