UID,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
05FE00001,000,T0000,1,120,109,200,0.91,1.83
05FE00002,01P,A7284,2,34,29,70,0.85,2.41
05FE00003,02P,A7896,2,33,33,84,1.0,2.55
05FE00004,03P,A7199,2,34,29,66,0.85,2.28
05FE00005,04P,A9232,2,35,34,77,0.97,2.26
05FE00006,05P,H0596,2,33,29,68,0.88,2.34
05FE00007,06P,A9588,2,35,33,72,0.94,2.18
05FE00008,07P,H0630,2,33,31,70,0.94,2.26
05FE00009,11P,H0656,2,11,11,30,1.0,2.73
05FE00010,12P,H0709,2,11,9,23,0.82,2.56
05FE00011,13P,H0471,2,12,12,24,1.0,2.0
05FE00012,14P,H0733,2,12,11,28,0.92,2.55
05FE00013,15P,A8766,2,10,10,18,1.0,1.8
05FE00014,16P,A9442,2,12,11,25,0.92,2.27
05FE00015,21P,A9890,2,12,12,35,1.0,2.92
05FE00016,22P,A8879,2,12,12,28,1.0,2.33
05FE00017,23P,A9606,2,11,11,26,1.0,2.36
05FE00018,24P,A9088,2,12,11,27,0.92,2.45
05FE00019,25P,A9897,2,12,12,28,1.0,2.33
05FE00020,26P,A9153,2,11,10,21,0.91,2.1
05FE00021,31R,R4146,2,38,35,71,0.92,2.03
05FE00022,32R,R1667,2,37,35,74,0.95,2.11
05FE00023,33R,R2570,2,38,35,65,0.92,1.86
05FE00024,34R,R2874,2,38,36,71,0.95,1.97
05FE00025,35R,R3321,2,37,37,77,1.0,2.08
05FE00026,36R,R2554,2,37,15,27,0.41,1.8
05FE00027,37R,R3176,2,37,33,71,0.89,2.15
05FE00028,41R,R4171,2,38,33,65,0.87,1.97
05FE00029,41T,T9608,1,32,26,45,0.81,1.73
05FE00030,42R,R4093,2,37,34,65,0.92,1.91
05FE00031,42T,T9473,1,34,32,65,0.94,2.03
05FE00032,43R,R4131,2,36,34,66,0.94,1.94
05FE00033,43T,T8296,1,35,34,64,0.97,1.88
05FE00034,44R,R4202,2,38,38,73,1.0,1.92
05FE00035,45R,R2746,2,36,32,59,0.89,1.84
05FE00036,46R,R3401,2,38,33,67,0.87,2.03
05FE00037,51K,K1857,1,38,37,72,0.97,1.95
05FE00038,52K,K2787,1,37,33,66,0.89,2.0
05FE00039,53K,K2927,1,36,30,61,0.83,2.03
05FE00040,54K,K1553,1,38,37,75,0.97,2.03
05FE00041,55K,K1683,1,36,34,62,0.94,1.82
05FE00042,56K,K2595,1,36,34,67,0.94,1.97
05FE00043,57K,K2771,1,36,33,58,0.92,1.76
05FE00044,58K,K2948,1,36,29,57,0.81,1.97
05FE00045,61T,T8402,1,33,32,60,0.97,1.88
05FE00046,62T,T9593,1,30,26,49,0.87,1.88
05FE00047,63T,T9743,1,34,32,60,0.94,1.88
05FE00048,64T,T8907,1,31,31,60,1.0,1.94
05FE00049,65T,T9722,1,32,30,57,0.94,1.9
05FE00050,66T,T9685,1,28,27,56,0.96,2.07
05FE00051,971,Z9925,1,42,40,85,0.95,2.13
05FE00052,972,Z8142,1,42,39,75,0.93,1.92
05FE00053,973,Z8655,1,42,38,78,0.9,2.05
05FE00054,974,Z7885,4,13,10,10,0.77,1.0
05FE00055,975,Z9841,4,14,14,18,1.0,1.29
05FE00056,DAK,Z0000,1,36,24,32,0.67,1.33
05FE00057,TAY,K0000,4,75,37,42,0.49,1.14
05FE00058,ZZZ,Z6389,1,101,98,170,0.97,1.73
05FE00059,e.0,T8315,4,40,33,39,0.83,1.18
05FE00060,e.1,T9140,4,39,35,38,0.9,1.09
05FE00061,e.2,T7759,4,39,30,35,0.77,1.17
05FE00062,e.3,K2842,4,31,23,30,0.74,1.3
05FE00063,e.5,HAMP1,4,31,23,28,0.74,1.22
05FE00064,e.6,HAMP2,4,31,23,28,0.74,1.22
05FE00065,e.7,R3179,4,42,36,42,0.86,1.17
05FE00066,e.8,R3819,4,42,31,37,0.74,1.19
05FE00067,e.9,R4147,4,41,34,43,0.83,1.26
05FE00068,e10,A9073,4,43,38,63,0.88,1.66
05FE00069,e11,H0571,4,42,42,73,1.0,1.74
05FE00070,e12,P0098,4,42,41,73,0.98,1.78
