UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
07FE00001,07, 1,03069,1,16,16,33,1.0,2.06
07FE00002,07, 2,03192,1,16,15,28,0.94,1.87
07FE00003,07, 3,03224,1,16,14,26,0.88,1.86
07FE00004,07, 4,03293,1,16,14,28,0.88,2.0
07FE00005,07, 5,03330,1,17,17,32,1.0,1.88
07FE00006,07, 6,03636,1,16,14,27,0.88,1.93
07FE00007,07, 7,03002,1,14,14,26,1.0,1.86
07FE00008,07, 8,03131,1,15,14,22,0.93,1.57
07FE00009,07, 9,03147,1,9,9,21,1.0,2.33
07FE00010,07,01,K3138,1,21,20,39,0.95,1.95
07FE00011,07,02,  345,1,19,19,39,1.0,2.05
07FE00012,07,03,  595,1,20,19,37,0.95,1.95
07FE00013,07,04,  600,1,19,19,39,1.0,2.05
07FE00014,07,05,  901,1,20,17,38,0.85,2.24
07FE00015,07,06, 5360,1,20,18,37,0.9,2.06
07FE00016,07,07, 5434,1,18,16,34,0.89,2.13
07FE00017,07,08, 5988,1,20,18,37,0.9,2.06
07FE00018,07,09, 1026,1,10,8,16,0.8,2.0
07FE00019,07,11,X1010,1,19,19,33,1.0,1.74
07FE00020,07,12,   44,1,20,19,36,0.95,1.89
07FE00021,07,13,   65,1,20,20,39,1.0,1.95
07FE00022,07,14,   76,1,19,19,36,1.0,1.89
07FE00023,07,15,  466,1,20,20,39,1.0,1.95
07FE00024,07,16,  579,1,19,19,39,1.0,2.05
07FE00025,07,17,  584,1,20,20,39,1.0,1.95
07FE00026,07,18, 4102,1,19,18,38,0.95,2.11
07FE00027,07,19, 5925,1,18,18,36,1.0,2.0
07FE00028,07,21,  408,1,16,16,31,1.0,1.94
07FE00029,07,22,  426,1,17,15,31,0.88,2.07
07FE00030,07,23,  428,1,15,15,31,1.0,2.07
07FE00031,07,24, 4223,1,17,15,29,0.88,1.93
07FE00032,07,25, 5020,1,16,16,33,1.0,2.06
07FE00033,07,26,06902,1,16,15,25,0.94,1.67
07FE00034,07,27,  100,1,15,14,27,0.93,1.93
07FE00035,07,28,  518,1,15,14,29,0.93,2.07
07FE00036,07,29, 5028,1,16,14,29,0.88,2.07
07FE00037,07,31,R4441,1,31,30,59,0.97,1.97
07FE00038,07,32,R4349,1,31,30,58,0.97,1.93
07FE00039,07,33,R5770,1,31,28,52,0.9,1.86
07FE00040,07,34,R5545,1,30,26,48,0.87,1.85
07FE00041,07,35,R5702,1,29,25,43,0.86,1.72
07FE00042,07,36,R6058,1,30,29,56,0.97,1.93
07FE00043,07,37,R4405,1,29,27,52,0.93,1.93
07FE00044,07,41,K3071,1,23,21,39,0.91,1.86
07FE00045,07,42,K3073,1,23,21,54,0.91,2.57
07FE00046,07,43,K3132,1,22,22,43,1.0,1.95
07FE00047,07,44,K3346,1,23,21,40,0.91,1.9
07FE00048,07,45,K3500,1,23,20,41,0.87,2.05
07FE00049,07,46,X1019,1,30,28,51,0.93,1.82
07FE00050,07,47,X2724,1,27,25,56,0.93,2.24
07FE00051,07,01,H0471,2,36,32,67,0.89,2.09
07FE00052,07,02,H0773,2,36,32,73,0.89,2.28
07FE00053,07,03,H1159,2,36,32,72,0.89,2.25
07FE00054,07,04,H1823,2,37,37,81,1.0,2.19
07FE00055,07,05,H1852,2,37,35,78,0.95,2.23
07FE00056,07,06,H1797,2,35,31,84,0.89,2.71
07FE00057,07,07,H1769,2,36,0,0,0.0,0.0
07FE00058,07,08,H1311,2,37,33,75,0.89,2.27
07FE00059,07,09,H1914,2,35,33,79,0.94,2.39
07FE00060,07,51, 4249,2,38,34,60,0.89,1.76
07FE00061,07,52,T0659,2,38,29,59,0.76,2.03
07FE00062,07,53,T0270,2,37,33,63,0.89,1.91
07FE00063,07,54,T9657,2,37,34,62,0.92,1.82
07FE00064,07,55,T9473,2,36,31,56,0.86,1.81
07FE00065,07,56,T9684,2,32,26,47,0.81,1.81
07FE00066,07,57,T0696,2,36,29,50,0.81,1.72
07FE00067,07,58,T0346,2,37,36,67,0.97,1.86
07FE00068,07,59,T0192,2,37,28,51,0.76,1.82
07FE00069,07,e.0,X0000,4,67,61,99,0.91,1.62
07FE00070,07,e01,K3050,4,14,8,11,0.57,1.38
07FE00071,07,e02,  337,4,14,9,12,0.64,1.33
07FE00072,07,e03,  327,4,14,7,7,0.5,1.0
07FE00073,07,e04,K3574,4,14,9,11,0.64,1.22
07FE00074,07,e05,K3276,4,15,9,12,0.6,1.33
07FE00075,07,e06,K3272,4,14,9,12,0.64,1.33
07FE00076,07,e11,R5492,4,31,23,31,0.74,1.35
07FE00077,07,e12,R4365,4,31,26,36,0.84,1.38
07FE00078,07,e13,R5720,4,31,28,33,0.9,1.18
07FE00079,07,e14,R6035,4,31,28,38,0.9,1.36
07FE00080,07,e15,R5753,4,30,28,44,0.93,1.57
07FE00081,07,e21, 4047,4,32,17,20,0.53,1.18
07FE00082,07,e22,T0174,4,33,21,27,0.64,1.29
07FE00083,07,e23,T0372,4,32,17,21,0.53,1.24
07FE00084,07,e24,T0290,4,32,22,30,0.69,1.36
07FE00085,07,e25,T0614,4,32,18,24,0.56,1.33
07FE00086,07,e31,H2022,4,31,30,54,0.97,1.8
07FE00087,07,e32,H1611,4,31,29,54,0.94,1.86
07FE00088,07,e33,H0596,4,31,27,40,0.87,1.48
07FE00089,07,e34,H1063,4,30,28,52,0.93,1.86
07FE00090,07,e41,03003,4,14,10,15,0.71,1.5
07FE00091,07,e42,03127,4,14,13,20,0.93,1.54
07FE00092,07,e43,03203,4,14,12,18,0.86,1.5
07FE00093,07,e44,X1972,4,18,13,17,0.72,1.31
07FE00094,07,e45,X2581,4,18,14,17,0.78,1.21
07FE00095,07,e46, 4564,4,17,13,16,0.76,1.23
