UID,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL,STUDY3
04FE00001,01P,A7284,1,35,34,83,0.97,2.44,FLWT
04FE00002,02P,A8647,1,36,33,80,0.92,2.42,FLWT
04FE00003,03P,A7199,1,37,28,69,0.76,2.46,FLWT
04FE00004,04P,A9232,1,34,31,72,0.91,2.32,EXLAX
04FE00005,11P,A9750,1,10,10,32,1.0,3.2,EXLAX
04FE00006,12P,P0258,1,12,0,0,0.0,0.0,EXLAX
04FE00007,13P,A9278,1,12,12,28,1.0,2.33,EXLAX
04FE00008,14P,A9963,1,12,11,26,0.92,2.36,EXLAX
04FE00009,15P,A8766,1,11,11,26,1.0,2.36,FLWT
04FE00010,16P,A9442,1,11,11,31,1.0,2.82,EXLAX
04FE00082,e.3,T8811,4,32,8,8,0.25,1.0,UI
04FE00083,e.4,T9193,4,34,18,22,0.53,1.22,LWW
04FE00084,e.5,R2570,4,37,31,37,0.84,1.19,IDX
04FE00085,e.6,K2546,4,36,30,42,0.83,1.4,ADG
04FE00086,e.7,K2630,4,33,16,25,0.48,1.56,ADG
04FE00087,e.8,K2129,4,36,23,33,0.64,1.43,ADG
04FE00088,e.9,A8579,4,30,27,44,0.9,1.63,IDX
04FE00089,e10,A9588,4,28,26,41,0.93,1.58,EXLAX
04FE00090,nd,K0000,4,52,6,10,0.12,1.67,Colu/Multi
04FE00091,O,00000,O,2,2,3,1.0,1.5,Illegit...
