UID,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
06FE00001, 1,03002,1,10,9,20,0.9,2.22
06FE00002, 2,03003,1,11,10,21,0.91,2.1
06FE00003, 3,03102,1,10,9,16,0.9,1.78
06FE00004, 4,03127,1,10,10,17,1.0,1.7
06FE00005, 5,03131,1,10,9,20,0.9,2.22
06FE00006, 6,03136,1,9,9,20,1.0,2.22
06FE00007, 7,03160,1,10,9,19,0.9,2.11
06FE00008, 8,03203,1,9,9,19,1.0,2.11
06FE00009,01K, 1378,1,19,18,33,0.95,1.83
06FE00010,02K,  345,1,19,17,32,0.89,1.88
06FE00078,e24,Z9612,4,34,24,31,0.71,1.29
06FE00079,e25,00000,4,43,28,35,0.65,1.25
06FE00080,e31,H1159,4,37,21,30,0.57,1.43
06FE00081,e32,H0596,4,38,26,39,0.68,1.5
06FE00082,e33,H1254,4,38,20,26,0.53,1.3
06FE00083,e34,H0994,4,37,30,48,0.81,1.6
06FE00084,e41,T0174,4,38,15,17,0.39,1.13
06FE00085,e42,T8402,4,36,16,21,0.44,1.31
06FE00086,e43,T9685,4,34,20,23,0.59,1.15
06FE00087,e44,T8907,4,37,13,14,0.35,1.08
