UID,YR,BPEN,SIRE,BGRP,Y1,Y2,Y3,FERT,PROL
08FE00001,08,17,X2579,1,21,18,30,0.86,1.67
08FE00002,08,R32,R6035,1,26,25,41,0.89,1.64
08FE00003,08,50,K3640,1,9,9,17,1.0,1.89
08FE00004,08,29,06902,1,13,12,23,0.86,1.92
08FE00005,08,24,  249,1,17,17,38,1.0,2.24
08FE00006,08,e21, 5020,4,15,13,15,0.87,1.15
08FE00007,08,6,03404,1,10,9,19,0.9,2.11
08FE00008,08,C43,K3370,1,14,14,27,1.0,1.93
08FE00009,08,e06,K3728,4,14,13,16,0.93,1.23
08FE00010,08,22, 6137,1,18,16,33,0.89,2.06
08FE00106,08,p37,H2789,4,8,3,3,0.38,1.0
08FE00107,08,p35,H1889,4,7,6,7,0.86,1.17
08FE00108,08,p33,H1611,4,7,5,8,0.71,1.6
08FE00109,08,p34,H1704,4,7,4,4,0.57,1.0
08FE00110,08,p42,H1063,4,8,7,9,0.88,1.29
08FE00111,08,p45,H1889,4,7,4,5,0.57,1.25
08FE00112,08,p47,H2789,4,7,6,6,0.86,1.0
08FE00113,08,p41,H1823,4,7,1,2,0.14,2.0
08FE00114,08,p48,H2770,4,7,3,4,0.43,1.33
08FE00115,08,p44,H1704,4,7,2,2,0.29,1.0
