UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,YRREC
04IN00001,1998008019, 8019,00, 8019,98,2,18,1,07,L-1,000010,778810,0,,,,1,.,5,,176,186,1,,,,.,000,1,6.0,L.EYE TRT '02,,,0,2004
04IN00002,1998008040, 8040,00, 8040,98,2,18,1,07,L-1,000010,741200,2,,,,O,OVX,5,,208,0,0,X,,,.,OVX,O,6.0,"OVX,BARREN",Ovx,,0,2004
04IN00003,1998008059, 8059,00, 8059,98,2,18,1,07,L-1,000010,831510,2,,,,O,OVX,5,,192,0,0,X,,,.,OVX,O,6.0,POLYPAY?OVX,Ovx,,0,2004
04IN00004,1998008084, 8084,00, 8084,98,2,18,1,07,L-1,000010,741400,0,,,,1,.,2,,144,151,2,,,,.,31R,2,6.0,BLK. EAR,,,0,2004
04IN00005,1998008091, 8091,00, 8091,98,2,18,1,07,L-1,000010,728300,0,,,,1,.,2,,155,152,2,,,,.,000,1,6.0,,,,0,2004
04IN00006,1998008136, 8136,00, 8136,98,2,00,1,03,L-0,000044,971563,2,,,,O,OVX,5,,175,0,0,X,,,.,OVX,O,6.0,"T X C ewe,OVX",Ovx,,0,2004
04IN00007,1998008210, 8210,00, 8210,98,2,68,1,06,L-5,895863,774263,0,,,,1,.,1,,185,184,2,,,,G,54K,1,6.0,,,,0,2004
04IN00008,1998008281, 8281,00, 8281,98,2,18,1,07,L12,674810,674910,2,,,,O,OVX,5,,197,0,0,X,,,.,OVX,O,6.0,"OVX,PROD",Ovx,,0,2004
04IN00009,1998008286, 8286,00, 8286,98,2,68,1,06,L-5,895863,768863,0,,,,1,.,1,,188,190,6,,,,G,51K,1,6.0,,,,0,2004
04IN00010,1998008320, 8320,00, 8320,98,2,18,1,43,L11,752910, 57100,0,,,,1,.,2,,160,158,2,,,,.,000,1,6.0,"PNEU., OPP?",,,0,2004
04IN00011,1998008375, 8375,00, 8375,98,2,18,1,07,L15,712410,515700,0,,,,3,.,H,,179,177,2,,93,1015,.,.,.,6.0,HERNIA.RFLANK,,,1603,2004
04IN00012,1998008416, 8416,00, 8416,98,2,18,1,07,L18,714610,200200,0,,,,1,.,1,,174,0,0,,97,0915,.,.,.,6.0,CHK. UDDER,,,0,2004
04IN00013,1998008423, 8423,00, 8423,98,2,88,1,30,L-9,365604,886003,0,,,,1,.,2,,134,149,2,C,,,C,16P,2,6.0,FOREHEAD INJ.,Ctrl,,0,2004
04IN00014,1998008439, 8439,00, 8439,98,2,88,1,30,L-8,348004,266604,0,,,,1,.,2,,148,163,2,C,,,C,14P,2,6.0,,Ctrl,,0,2004
04IN00015,1998008441, 8441,00, 8441,98,2,18,1,43,L11,752910,101000,0,,,,1,.,1,,170,170,2,,,,.,44R,2,6.0,,,,0,2004
04IN00016,1998008443, 8443,00, 8443,98,2,88,1,30,L-7,346704,257904,0,,,,1,.,1,,148,157,4,E,,,M,06P,2,6.0,TAG CUT '2002,Else,,0,2004
04IN00017,1998008462, 8462,00, 8462,98,2,88,1,30,L-9,365604,385904,0,,,,1,.,1,,163,169,2,C,,,C,21P,2,6.0,,Ctrl,,0,2004
04IN00018,1998008492, 8492,00, 8492,98,2,18,1,07,L18,714610,911100,0,,,,1,.,2,,212,198,2,,,,.,000,1,6.0,,,,0,2004
04IN00019,1998008504, 8504,00, 8504,98,2,18,1,07,L13,735910,145610,0,,,,1,.,2,,162,172,2,,,,.,41R,2,6.0,,,,0,2004
04IN00020,1998008516, 8516,00, 8516,98,2,88,1,30,L-7,346704,273004,0,,,,3,.,H,,180,176,11,,93,1015,.,.,.,6.0,L.SPOILED X,,,1606,2004
04IN00021,1998008539, 8539,00, 8539,98,2,18,1,07,L13,735910,701810,0,,,,1,.,2,,158,162,5,,,,.,000,1,6.0,1TAG,,,0,2004
04IN00022,1998008595, 8595,00, 8595,98,2,88,1,30,L-9,365604,323204,0,,,,6,.,*,,0,0,0,W,20,0303,.,.,.,6.0,PREG. TOXEMIA,,,0,2004
04IN00023,1998008601, 8601,00, 8601,98,2,18,1,07,L18,714610,514200,0,,,,1,.,1,,194,201,4,,,,.,000,1,6.0,,,,0,2004
04IN00024,1998008636, 8636,00, 8636,98,2,18,1,07,L13,735910,952600,0,,,,U,UTE,2,,144,169,11,X,,,.,UTE,U,6.0,"11 BAG, U",,,0,2004
04IN00025,1998008641, 8641,00, 8641,98,2,18,1,07,L21,678110,953000,0,,,,1,.,1,,150,153,2,,,,.,000,1,6.0,pg 4/24 156#,,,0,2004
04IN00026,1998008665, 8665,00, 8665,98,2,18,1,07,L12,674810,695810,0,,,,1,.,1,,159,169,2,,,,.,000,1,6.0,,,,0,2004
04IN00027,1998008668, 8668,00, 8668,98,2,88,1,30,L-6,312904,860003,0,,,,1,.,2,,142,139,2,C,,,C,16P,2,6.0,,Ctrl,,0,2004
04IN00028,1998008695, 8695,00, 8695,98,2,18,1,07,L14,677210,500500,0,,,,1,.,1,,170,190,2,,,,.,45R,2,6.0,TAG CUT '2002,,,0,2004
