UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
12IN00001,2003303160,03160,30,03160,03,2,00,2,33,FL-,K0000,64,A3952,04,7,,,O,OVX,D,.,177,0,0,,97,0909,X,,,8.5,LATEtoMIL,CxP,,0,1,,0.0,,2012
12IN00002,2005051393,H1393,05,H1393,05,2,88,1,30,e10,A9073,04,H1123,05,0,,,1,.,H,.,175,188,2,,,,.,BRT,5,7.0,,Poly,,0,1,,0.061,,2012
12IN00003,2005051399,H1399,05,H1399,05,2,88,1,30,e12,P0098,05,H0824,05,7,,,7,.,,.,0,0,0,,97,0201,L,,,7.0,PNEU.,Life,,0,1,,0.045,,2012
12IN00004,2005051517,H1517,05,H1517,05,2,88,1,30,06P,A9588,04,A9927,04,0,,,1,.,1,.,170,0,0,,97,0909,.,,,7.0,,Poly,,0,1,,0.044,,2012
12IN00005,2005051520,H1520,05,H1520,05,2,83,1,30,04P,A9232,04,H0684,05,0,,,1,Flw,2,.,212,221,2,,,,.,54,2,7.0,,Poly,,0,1,,0.047,,2012
12IN00006,2005051525,H1525,05,H1525,05,2,83,1,30,04P,A9232,04,H0439,05,7,,,1,.,2,.,182,182,2,,,,L,55,2,7.0,,Life,Albmn,0,1,,0.056,,2012
12IN00007,2005051571,H1571,05,H1571,05,2,82,1,30,22P,A8879,04,A9351,04,0,,,6,Ctl,,.,0,0,0,,01,0220,.,,,7.0,SNORTY,Poly,,0,1,,0.064,,2012
12IN00008,2005051579,H1579,05,H1579,05,2,83,1,30,02P,A7896,04,A7059,04,0,,,3,Flw,2,.,174,0,0,,01,0904,.,,,7.0,,Poly,,0,1,,0.035,,2012
12IN00009,2005051585,H1585,05,H1585,05,2,82,1,30,22P,A8879,04,A7259,04,7,,,1,.,2,.,181,176,2,,,,L,BRT,5,7.0,NICE EWE,Life,,0,1,,0.049,,2012
12IN00010,2005051591,H1591,05,H1591,05,2,88,1,30,e11,H0571,05,H1194,05,7,,,6,.,H,.,125,0,0,,13,0801,L,,,7.0,Wolf kill,Life,,0,1,,0.052,,2012
12IN00011,2005051610,H1610,05,H1610,05,2,83,1,30,02P,A7896,04,A8780,04,7,,,1,.,1,.,140,160,2,,,,L,BRT,5,7.0,,Life,,0,1,,0.034,,2012
12IN00012,2005051627,H1627,05,H1627,05,2,82,1,30,26P,A9153,04,A8371,04,7,,,1,.,1,.,151,161,2,,,,L,54,2,7.0,,Life,Albmn,0,1,,0.05,,2012
12IN00013,2005051684,H1684,05,H1684,05,2,88,1,30,06P,A9588,04,A7204,04,7,,,3,.,2,.,191,200,11,,93,1024,L,,,7.0,FallwtMissed,Life,,11488,1,,0.055,,2012
12IN00014,2005051747,H1747,05,H1747,05,2,82,1,30,26P,A9153,04,A9683,04,0,,,1,Ctl,D,.,207,207,1,,,,.,BRT,5,7.0,TOO BIG,Poly,,0,1,,0.071,,2012
12IN00015,2005051761,H1761,05,H1761,05,2,82,1,30,15P,A8766,04,A8916,04,7,,,1,.,H,.,200,201,1,,,,L,58,2,7.0,,Life,,0,1,,0.072,,2012
12IN00016,2005051806,H1806,05,H1806,05,2,82,1,30,25P,A9897,04,A8522,04,0,,,1,Ctl,2,.,155,177,2,,,,.,BRT,5,7.0,LAME RF ',Poly,,0,1,,0.054,,2012
12IN00017,2005051809,H1809,05,H1809,05,2,82,1,30,24P,A9088,04,90687,09,7,,,1,.,1,.,196,202,3,,,,L,BRT,5,7.0,NICE EWE,Life,,0,1,,0.042,,2012
12IN00018,2005051822,H1822,05,H1822,05,2,82,1,30,24P,A9088,04,A9071,04,7,,,1,.,2,.,153,161,2,,,,L,59,2,7.0,4TEATS,Life,Albmn,0,1,,0.059,,2012
12IN00019,2005051897,H1897,05,H1897,05,2,88,1,30,06P,A9588,04,H0484,05,7,,,1,.,2,.,204,196,2,,,,L,BRT,5,7.0,,Life,,0,1,,0.056,,2012
12IN00020,2005051898,H1898,05,H1898,05,2,88,1,30,06P,A9588,04,A6379,04,7,,,1,.,2,.,159,180,2,,,,L,53,2,7.0,NICE LAMB,Life,,0,1,,0.029,,2012
