UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_BRDG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,REASON,STAPL,CLFL,BRDNEW,C5457,GRFL,FLGR,C6263,SIRE,SB1,DAYDIS,C7378,AGE_LMG,C80,YRREC,AGE
56IN00001,1946101624,46,2,U1624,0,68,,10,,,,,0,,,,,,,,122,,3,11,,,,,,,,,,0604,,-,,1956,10.0
56IN00002,1946101625,46,2,U1625,0,68,,10,,,,,0,,,,,,,,109,125,6,11,,,,,,,,,,1205,,-,,1956,10.0
56IN00003,1947101632,47,2,U1632,0,68,,10,,,,,9,,,,,,,,124,144,3,11,,,,,,,,,,0924,,0,,1956,9.0
56IN00004,1948101638,48,2,U1638,0,68,,10,,,,,8,,,,671,,,,126,144,,,,,,,,,,,,,,9,,1956,8.0
56IN00005,1949101639,49,2,U1639,0,68,,10,,,,,7,,,,,,,,115,124,2,11,,,,,,,,,,0927,,8,,1956,7.0
56IN00006,1950101642,50,2,U1642,0,68,,10,,,,,6,,,,,,,,121,136,2,11,,,,,,,,,,0927,,7,,1956,6.0
56IN00007,1950101643,50,2,U1643,0,68,,10,,,,,6,,,,671,,,,136,164,,,,,,,,,,,,,,7,,1956,6.0
56IN00008,1951101644,51,2,U1644,0,68,,10,,,,,5,,,,468,,,,136,166,,,,,,,,,,,,,,6,,1956,5.0
56IN00009,1951101645,51,2,U1645,0,68,,10,,,,,5,,,,328,,,,122,138,,,,,,,,,,,,,,6,,1956,5.0
56IN00010,1951101646,51,2,U1646,0,68,,10,,,,,5,,,,681,,,,133,160,,,,,,,,,,,,,,6,,1956,5.0
56IN00011,1951101647,51,2,U1647,0,68,,10,,,,,5,,,,469,,,,130,144,,,,,,,,,,,,,,6,,1956,5.0
56IN00012,1951101648,51,2,U1648,0,68,,10,,,,,5,,,,,,,,127,144,2,92,,,,,,,,,,0927,,6,,1956,5.0
56IN00013,1952101650,52,2,U1650,0,68,,10,,,,,4,,,,518,,,,114,140,,,,,,,,,,,,,,5,,1956,4.0
56IN00014,1952101651,52,2,U1651,0,68,,10,,,,,4,,,,479,,,,135,135,,,,,,,,,,,,,,5,,1956,4.0
56IN00015,1952101652,52,2,U1652,0,68,,10,,,,,4,,,,,,,,106,114,3,07,,,,,,,,,,1119,,5,,1956,4.0
56IN00016,1952101653,52,2,U1653,0,68,,10,,,,,4,,,,691,,,,118,138,,,,,,,,,,,,,,5,,1956,4.0
56IN00017,1952101654,52,2,U1654,0,68,,10,,,,,4,,,,,,,,110,125,2,10,,,,,,,,,,0927,,5,,1956,4.0
56IN00018,1952101655,52,2,U1655,0,68,,10,,,,,4,,,,691,,,,144,168,,,,,,,,,,,,,,5,,1956,4.0
56IN00019,1952101656,52,2,U1656,0,68,,10,,,,,4,,,,,,,,123,145,2,10,,,,,,,,,,0927,,5,,1956,4.0
56IN00020,1952101657,52,2,U1657,0,68,,10,,,,,4,,,,,,,,,,6,,,,,,,,,,,0505,,5,,1956,4.0
56IN00021,1952101658,52,2,U1658,0,68,,10,,,,,4,,,,671,,,,123,144,,,,,,,,,,,,,,5,,1956,4.0
56IN00022,1952101659,52,2,U1659,0,68,,10,,,,,4,,,,551,,,,112,141,,,,,,,,,,,,,,5,,1956,4.0
56IN00023,1952101661,52,2,U1661,0,68,,10,,,,,4,,,,,,,,120,,6,,,,,,,,,,,0607,,5,,1956,4.0
56IN00024,1952101663,52,2,U1663,0,68,,10,,,,,4,,,,581,,,,130,163,,,,,,,,,,,,,,5,,1956,4.0
56IN00025,1952101664,52,2,U1664,0,68,,10,,,,,4,,,,,,,,121,,3,,,,,,,,,,,0924,,5,,1956,4.0
56IN00026,1952101665,52,2,U1665,0,68,,10,,,,,4,,,,,,,,103,123,2,50,,,,,,,,,,0927,,5,,1956,4.0
56IN00027,1952101666,52,2,U1666,0,68,,10,,,,,4,,,,701,,,,122,147,,,,,,,,,,,,,,5,,1956,4.0
56IN00028,1952101667,52,2,U1667,0,68,,10,,,,,4,,,,,,,,128,164,2,10,,,,,,,,,,0927,,5,,1956,4.0
56IN00029,1952101668,52,2,U1668,0,68,,10,,,,,4,,,,561,,,,148,166,,,,,,,,,,,,,,5,,1956,4.0
56IN00030,1952101670,52,2,U1670,0,68,,10,,,,,4,,,,,,,,111,,7,,,,,,,,,,,0915,,5,,1956,4.0
56IN00031,1952101671,52,2,U1671,0,68,,10,,,,,4,,,,701,,,,128,143,,,,,,,,,,,,,,5,,1956,4.0
56IN00032,1952101672,52,2,U1672,0,68,,10,,,,,4,,,,691,,,,135,163,,,,,,,,,,,,,,5,,1956,4.0
56IN00033,1952101673,52,2,U1673,0,68,,10,,,,,4,,,,681,,,,118,134,,,,,,,,,,,,,,5,,1956,4.0
56IN00034,1952101676,52,2,U1676,0,68,,10,,,,,4,,,,701,,,,131,152,,,,,,,,,,,,,,5,,1956,4.0
56IN00035,1952101677,52,2,U1677,0,68,,10,,,,,4,,,,,,,,158,163,2,81,,,,,,,,,,0927,,5,,1956,4.0
56IN00036,1952101678,52,2,U1678,0,68,,10,,,,,4,,,,,,,,131,,3,81,,,,,,,,,,0604,,5,,1956,4.0
56IN00037,1952101679,52,2,U1679,0,68,,10,,,,,4,,,,,,,,117,130,2,10,,,,,,,,,,0927,,5,,1956,4.0
56IN00038,1952101682,52,2,U1682,0,68,,10,,,,,4,,,,571,,,,108,130,,,,,,,,,,,,,,5,,1956,4.0
56IN00039,1952101683,52,2,U1683,0,68,,10,,,,,4,,,,,,,,137,160,2,49,,,,,,,,,,0927,,5,,1956,4.0
56IN00040,1952101685,52,2,U1685,0,68,,10,,,,,4,,,,561,,,,121,138,,,,,,,,,,,,,,5,,1956,4.0
56IN00041,1952101686,52,2,U1686,0,68,,10,,,,,4,,,,,,,,109,144,2,81,,,,,,,,,,0927,,5,,1956,4.0
56IN00042,1952101687,52,2,U1687,0,68,,10,,,,,4,,,,681,,,,106,128,,,,,,,,,,,,,,5,,1956,4.0
56IN00043,1952101688,52,2,U1688,0,68,,10,,,,,4,,,,691,,,,118,136,,,,,,,,,,,,,,5,,1956,4.0
56IN00044,1952101689,52,2,U1689,0,68,,10,,,,,4,,,,551,,,,124,145,,,,,,,,,,,,,,5,,1956,4.0
56IN00045,1952101690,52,2,U1690,0,68,,10,,,,,4,,,,581,,,,130,148,,,,,,,,,,,,,,5,,1956,4.0
56IN00046,1952101691,52,2,U1691,0,68,,10,,,,,4,,,,571,,,,123,148,,,,,,,,,,,,,,5,,1956,4.0
56IN00047,1952101692,52,2,U1692,0,68,,10,,,,,4,,,,551,,,,133,150,,,,,,,,,,,,,,5,,1956,4.0
56IN00048,1952101694,52,2,U1694,0,68,,10,,,,,4,,,,571,,,,106,128,,,,,,,,,,,,,,5,,1956,4.0
56IN00049,1952101695,52,2,U1695,0,68,,10,,,,,4,,,,581,,,,128,155,,,,,,,,,,,,,,5,,1956,4.0
56IN00050,1952101696,52,2,U1696,0,68,,10,,,,,4,,,,671,,,,118,141,,,,,,,,,,,,,,5,,1956,4.0
56IN00051,1952101697,52,2,U1697,0,68,,10,,,,,4,,,,701,,,,130,144,,,,,,,,,,,,,,5,,1956,4.0
56IN00052,1952101699,52,2,U1699,0,68,,10,,,,,4,,,,,,,,109,,7,,,,,,,,,,,0915,,5,,1956,4.0
56IN00053,1952101700,52,2,U1700,0,68,,10,,,,,4,,,,,,,,116,137,2,10,,,,,,,,,,0927,,5,,1956,4.0
56IN00054,1952101701,52,2,U1701,0,68,,10,,,,,4,,,,561,,,,100,113,,,,,,,,,,,,,,5,,1956,4.0
56IN00055,1952101702,52,2,U1702,0,68,,10,,,,,4,,,,571,,,,144,155,,,,,,,,,,,,,,5,,1956,4.0
56IN00056,1952101703,52,2,U1703,0,68,,10,,,,,4,,,,,,,,127,,3,81,,,,,,,,,,0604,,5,,1956,4.0
56IN00057,1952101705,52,2,U1705,0,68,,10,,,,,4,,,,,,,,126,143,2,10,,,,,,,,,,0927,,5,,1956,4.0
56IN00058,1952101706,52,2,U1706,0,68,,10,,,,,4,,,,551,,,,134,164,,,,,,,,,,,,,,5,,1956,4.0
56IN00059,1953101792,53,2,U1792,0,68,,10,,,,,3,,,,581,,,,113,134,,,,,,,,,,,,,,4,,1956,3.0
56IN00060,1953101793,53,2,U1793,0,68,,10,,,,,3,,,,681,,,,133,160,,,,,,,,,,,,,,4,,1956,3.0
56IN00061,1953101794,53,2,U1794,0,68,,10,,,,,3,,,,561,,,,108,138,,,,,,,,,,,,,,4,,1956,3.0
56IN00062,1949101799,49,2,U1799,0,68,,10,,,,,7,,,,,,,,156,176,2,11,,,,,,,,,,0927,,8,,1956,7.0
56IN00063,1954101776,54,2,U1776,0,69,268,10,,08,,,2,,4,3,329,075,15,,98,108,,,069, 30,,,074,2,,0502,2,,,3,,1956,2.0
56IN00064,1955101821,55,2,U1821,0,69,268,10,,08,,,1,,4,1,499,077,09,,77,113,,,089,044,,,079,2,,1008,2,,,2,,1956,1.0
56IN00065,1955101822,55,2,U1822,0,69,268,10,,08,,,1,,4,1,518,084,09,,84,120,,,086,049,,,088,2,,1008,2,,,2,,1956,1.0
