UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,SALE_LOT,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
58IN00001,1951101644,51,2,U1644,0,68,,10,,,,,8,,,,198,,,,130,151,,,,,10,,,,,,,,,,7,,1958,7.0
58IN00002,1951101647,51,2,U1647,0,68,,10,,,,,8,,,,218,,,,133,145,,,,,10,,,,,,,,,,7,,1958,7.0
58IN00003,1952101650,52,2,U1650,0,68,,10,,,,,7,,,,228,,,,110,140,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00004,1952101651,52,2,U1651,0,68,,10,,,,,7,,,,,,,,124,130,3,,,,10,1208,,,,,,,,,6,,1958,6.0
58IN00005,1952101653,52,2,U1653,0,68,,10,,,,,7,,,,238,,,,120,145,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00006,1952101655,52,2,U1655,0,68,,10,,,,,7,,,,248,,,,152,162,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00007,1952101658,52,2,U1658,0,68,,10,,,,,7,,,,,,,,84,147,3,,,,10,1219,,,,,,,,,6,,1958,6.0
58IN00008,1952101659,52,2,U1659,0,68,,10,,,,,7,,,,,,,,,,6,,,,10,0410,,,,,,,,,6,,1958,6.0
58IN00009,1952101666,52,2,U1666,0,68,,10,,,,,7,,,,258,,,,118,159,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00010,1952101668,52,2,U1668,0,68,,10,,,,,7,,,,,,,,133,167,3,,,,10,1208,,,,,,,,,6,,1958,6.0
58IN00011,1952101673,52,2,U1673,0,68,,10,,,,3,7,,,,268,,,,131,128,,,,,10,,,,,,,139,,,6,,1958,6.0
58IN00012,1952101676,52,2,U1676,0,68,,10,,,,,7,,,,288,,,,124,163,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00013,1952101682,52,2,U1682,0,68,,10,,,,,7,,,,,,,,114,135,3,,,,10,1219,,,,,,,,,6,,1958,6.0
58IN00014,1952101685,52,2,U1685,0,68,,10,,,,,7,,,,298,,,,116,140,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00015,1952101687,52,2,U1687,0,68,,10,,,,3,7,,,,328,,,,115,130,,,,,10,,,,,,,133,,,6,,1958,6.0
58IN00016,1952101688,52,2,U1688,0,68,,10,,,,,7,,,,348,,,,138,152,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00017,1952101690,52,2,U1690,0,68,,10,,,,,7,,,,358,,,,131,156,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00018,1952101691,52,2,U1691,0,68,,10,,,,,7,,,,368,,,,132,148,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00019,1952101692,52,2,U1692,0,68,,10,,,,,7,,,,378,,,,126,150,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00020,1952101694,52,2,U1694,0,68,,10,,,,,7,,,,398,,,,114,131,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00021,1952101695,52,2,U1695,0,68,,10,,,,,7,,,,408,,,,128,151,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00022,1952101696,52,2,U1696,0,68,,10,,,,,7,,,,448,,,,123,155,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00023,1952101697,52,2,U1697,0,68,,10,,,,,7,,,,458,,,,138,162,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00024,1952101702,52,2,U1702,0,68,,10,,,,,7,,,,,,,,148,174,2,,,,10,0926,,,,,,   24,,,6,,1958,6.0
58IN00025,1952101706,52,2,U1706,0,68,,10,,,,,7,,,,468,,,,144,173,,,,,10,,,,,,,,,,6,,1958,6.0
58IN00026,1954101710,54,2,U1710,0,69,359,10,,10,,,5,,4,3,580,085,16,,133,168,,,077, 48,10,,100,2,,0781,2,,,,4,,1958,4.0
58IN00027,1954101712,54,2,U1712,0,69,399,10,,07,,,5,,4,4,590,088,10,,128,144,,,078, 48,10,,113,2,,1637,2,,,,4,,1958,4.0
58IN00028,1954101719,54,2,U1719,0,69,748,10,,07,,,5,,4,5,660,087,11,,130,156,,,080, 45,10,,105,2,,6910,3,,,,4,,1958,4.0
58IN00029,1954101724,54,2,U1724,0,69,468,10,,07,,,5,,4,4,670,087,12,,128,150,,,074, 40,10,,093,2,,0693,2,,,,4,,1958,4.0
58IN00030,1954101728,54,2,U1728,0,69,508,10,,07,,,5,,4,4,570,090,13,,127,151,,,074, 50,10,,096,2,,0705,2,,,,4,,1958,4.0
58IN00031,1954101731,54,2,U1731,0,69,469,10,,08,,,5,,4,1,620,081,11,,116,137,,,080, 40,10,,093,2,,1853,2,,,,4,,1958,4.0
58IN00032,1954101733,54,2,U1733,0,69,519,10,,05,,,5,,4,3,630,085,15,,118,128,,,076, 46,10,,098,2,,0069,2,,,,4,,1958,4.0
58IN00033,1954101743,54,2,U1743,0,69,358,10,,05,,,5,,4,3,680,101,13,,137,168,,,070, 41,10,,097,2,,0511,2,,,,4,,1958,4.0
58IN00034,1954101751,54,2,U1751,0,69,368,10,,06,,,5,,4,3,560,092,10,,140,158,,,083, 49,10,,097,2,,0604,2,,,,4,,1958,4.0
58IN00035,1954101756,54,2,U1756,0,69,498,10,,07,,,5,,4,4,,110,10,,111,128,3,,082, 52,10,1208,119,2,,0410,2,,,,4,,1958,4.0
58IN00036,1954101757,54,2,U1757,0,69,368,10,,08,,,5,,4,5,610,098,10,,116,135,,,071, 45,10,,106,2,,0604,2,,,,4,,1958,4.0
58IN00037,1954101758,54,2,U1758,0,69,469,10,,07,,,5,,4,3,640,091,15,,123,140,,,080, 40,10,,075,2,,1853,2,,,,4,,1958,4.0
58IN00038,1954101759,54,2,U1759,0,69,499,10,,06,,,5,,4,3,690,090,12,,137,162,,,081, 41,10,,089,2,,1771,2,,,,4,,1958,4.0
58IN00039,1954101760,54,2,U1760,0,69,458,10,,11,,,5,,4,3,498,076,13,,117,136,,,080, 39,10,,080,2,,1828,1,,,,4,,1958,4.0
58IN00040,1954101762,54,2,U1762,0,69,508,10,,06,,,5,,4,3,518,080,15,,114,130,,,073, 40,10,,089,2,,0705,2,,,,4,,1958,4.0
58IN00041,1954101766,54,2,U1766,0,69,369,10,,08,,,5,,4,4,,080,15,,134,136,3,,072, 37,10,1219,090,2,,0838,2,,,,4,,1958,4.0
58IN00042,1954101769,54,2,U1769,0,69,468,10,,07,,1,5,,4,1,508,073,15,,126,145,,,065, 36,10,,080,2,,0693,2,138,,,4,,1958,4.0
58IN00043,1954101776,54,2,U1776,0,69,268,10,,08,,,5,,4,3,,075,15,,110,122,2,,069, 30,10,0926,074,2,,0502,2,   22,,,4,,1958,4.0
58IN00044,1954101778,54,2,U1778,0,69,408,10,,10,,,5,,4,4,198,091,15,,173,154,,,072, 38,10,,094,2,,0714,2,,,,4,,1958,4.0
58IN00045,1954101781,54,2,U1781,0,69,328,10,,07,,,5,,4,1,218,083,11,,122,143,,,066, 36,10,,080,2,,7491,1,,,,4,,1958,4.0
58IN00046,1954101789,54,2,U1789,0,69,398,10,,07,,,5,,4,3,228,094,10,,130,144,,,076, 49,10,,098,2,,0396,2,,,,4,,1958,4.0
58IN00047,1953101792,53,2,U1792,0,68,,10,,,,,6,,,,478,,,,126,137,,,,,10,,,,,,,,,,5,,1958,5.0
58IN00048,1955101803,55,2,U1803,0,69,358,10,,06,,,4,,4,4,550,091,09,,124,150,,,092,054,10,,138,2,,0511,2,,,,3,,1958,3.0
58IN00049,1955101806,55,2,U1806,0,69,498,10,,08,,,4,,4,4,600,098,10,,132,145,,,088,060,10,,128,1,,1037,2,,,,3,,1958,3.0
58IN00050,1955101812,55,2,U1812,0,69,718,10,,08,,,4,,4,4,650,096,09,,126,145,,,081,047,10,,100,2,,7473,3,,,,3,,1958,3.0
58IN00051,1955101816,55,2,U1816,0,69,498,10,,08,,,4,,4,4,700,090,13,,117,144,,,082,054,10,,107,2,,1037,2,,,,3,,1958,3.0
58IN00052,1955101817,55,2,U1817,0,69,738,10,,05,,,4,,4,3,580,108,12,,143,159,,,093,059,10,,119,2,,7019,3,,,,3,,1958,3.0
58IN00053,1955101821,55,2,U1821,0,69,268,10,,08,,,4,,4,1,590,077,09,,106,130,,,089,044,10,,079,2,,1008,2,,,,3,,1958,3.0
58IN00054,1955101822,55,2,U1822,0,69,268,10,,08,,,4,,4,1,660,084,09,,120,134,,,086,049,10,,088,2,,1008,2,,,,3,,1958,3.0
58IN00055,1955101827,55,2,U1827,0,69,368,10,,10,,,4,,4,5,670,095,10,,130,148,,,100,054,10,,111,2,,0939,2,,,,3,,1958,3.0
58IN00056,1955101828,55,2,U1828,0,69,458,10,,09,,,4,,4,4,570,087,12,,106,139,,,092,048,10,,107,1,,1828,1,,,,3,,1958,3.0
58IN00057,1955101829,55,2,U1829,0,69,498,10,,07,,,4,,4,4,620,098,14,,119,136,,,081,054,10,,123,2,,1037,2,,,,3,,1958,3.0
58IN00058,1955101835,55,2,U1835,0,69,728,10,,06,,,4,,4,4,630,116,09,,148,166,,,096,056,10,,125,2,,7231,3,,,,3,,1958,3.0
58IN00059,1955101844,55,2,U1844,0,69,718,10,,07,,,4,,4,1,680,100,10,,130,165,,,091,054,10,,095,2,,7473,3,,,,3,,1958,3.0
58IN00060,1955101854,55,2,U1854,0,69,408,10,,07,,,4,,4,,560,096,,,142,183,,,,,10,,100,2,,1209,2,,,,3,,1958,3.0
58IN00061,1955101857,55,2,U1857,0,69,409,10,,06,,,4,,4,4,610,103,10,,123,141,,,092,052,10,,101,1,,0935,2,,,,3,,1958,3.0
58IN00062,1955101867,55,2,U1867,0,69,728,10,,07,,,4,,4,3,640,104,09,,130,146,,,088,048,10,,093,2,,7231,3,,,,3,,1958,3.0
58IN00063,1955101868,55,2,U1868,0,69,728,10,,08,,,4,,4,1,690,098,09,,138,173,,,092,045,10,,082,2,,7231,3,,,,3,,1958,3.0
58IN00064,1955101869,55,2,U1869,0,69,358,10,,07,,,4,,4,3,238,094,10,,115,127,,,087,050,10,,104,2,,0511,2,,,,3,,1958,3.0
58IN00065,1955101873,55,2,U1873,0,69,358,10,,07,,,4,,4,4,248,099,14,,133,156,,,082,062,10,,098,2,,0511,2,,,,3,,1958,3.0
