UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,C4445,STAPL,CLFL,BRDNEW,DAYDIS,GRFL,FLGR,C6263,SIRE,SB1,C6973,DAM,DB1,AGE_BRDG,C80,YRREC,AGE
60IN00001,1951101647,51,2,U1647,0,68,,10,,,,,0,,,,,,,,128,152,2,,,,10,0927,,,,,,2  32,,,9,,1960,9.0
60IN00002,1952101650,52,2,U1650,0,68,,10,,,,,9,,,,,,,,118,138,3,,,,10,1121,,,,,,1,,,8,,1960,8.0
60IN00003,1952101655,52,2,U1655,0,68,,10,,,,,9,,,,,,,,150,177,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00004,1952101666,52,2,U1666,0,68,,10,,,,,9,,,,,,,,130,149,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00005,1952101685,52,2,U1685,0,68,,10,,,,,9,,,,,,,,,,6,,,,10,0420,,,,,,,,,8,,1960,8.0
60IN00006,1952101688,52,2,U1688,0,68,,10,,,,,9,,,,,,,,116,142,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00007,1952101690,52,2,U1690,0,68,,10,,,,,9,,,,,,,,135,133,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00008,1952101691,52,2,U1691,0,68,,10,,,,,9,,,,,,,,128,154,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00009,1952101696,52,2,U1696,0,68,,10,,,,,9,,,,,,,,126,150,2,,,,10,0927,,,,,,1  31,,,8,,1960,8.0
60IN00010,1954101728,54,2,U1728,0,69,508,10,,07,,,7,,4,4,,090,13,,142,158,,,074, 50,10,,096,2,,0705,2,2  19,8,,6,,1960,6.0
60IN00011,1954101731,54,2,U1731,0,69,469,10,,08,,,7,,4,1,,081,11,,116,144,,,080, 40,10,,093,2,,1853,2,2  21,8,,6,,1960,6.0
60IN00012,1954101733,54,2,U1733,0,69,519,10,,05,,,7,,4,3,,085,15,,131,140,,,076, 46,10,,098,2,,0069,2,1  58,0,,6,,1960,6.0
60IN00013,1954101743,54,2,U1743,0,69,358,10,,05,,,7,,4,3,,101,13,,117,,7,,070, 41,10,1201,097,2,,0511,2,1,,,6,,1960,6.0
60IN00014,1954101758,54,2,U1758,0,69,469,10,,07,,,7,,4,3,,091,15,,132,155,,,080, 40,10,,075,2,,1853,2,2  22,8,,6,,1960,6.0
60IN00015,1954101759,54,2,U1759,0,69,499,10,,06,,,7,,4,3,,090,12,,146,155,,,081, 41,10,,089,2,,1771,2,5  65,0,,6,,1960,6.0
