UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
66IN00001,1957102053,57,2,U2053,0,41,561,,,,,00,,0,,5,1,404,108,0,,165,164,,,080,059,10,,110,2,440911,2,,,,,,1966,9.0
66IN00002,1962102612,62,3,U2612,0,,,,,,,,,5,,,,,,,,,,,,,,10,,090,2,,,,,,,,1966,4.0
66IN00003,1954114294,54,2,R4294,1,,,,,,,,,&,,,,,,,,127,145,4,,,,11,1121,,,,,,,,,,1966,12.0
66IN00004,1954114335,54,2,R4335,1,21,210,,,,,25,,&,,1,3,225,073,1,,105,118,,,079, 44,11,,108,2,384111,8,,,,,,1966,12.0
66IN00005,1954114361,54,2,R4361,1,21,210,,,,,26,,&,,1,3,,060,1,,90,,6,,071, 28,11,0801,077,2,384111,8,,,,,,1966,12.0
66IN00006,1955114577,55,2,R4577,1,20,200,,,,,20,,&,,1,4,495,106,1,,154,170,,,076,059,11,,119,2,330211,8,,,,,,1966,11.0
66IN00007,1956114693,56,2,R4693,1,27,270,,,,,36,,-,,1,3,414,084,1,,122,135,,,073,044,11,,085,1,378911,8,,,,,,1966,10.0
66IN00008,1956114697,56,2,R4697,1,27,270,,,,,37,,-,,1,3,505,077,1,,140,132,,,079,031,11,,068,1,378911,3,,,,,,1966,10.0
66IN00009,1956114713,56,2,R4713,1,19,190,,,,,26,,-,,1,1,,090,1,,146,152,3,,075,032,11,0919,065,1,417911,2,,,,,,1966,10.0
66IN00010,1956114715,56,2,R4715,1,32,321,,,,,25,,-,,1,1,,090,1,,142,,7,,072,032,11,0909,071,1,749111,3,,,,,,1966,10.0
66IN00011,1956114752,56,2,R4752,1,20,200,,,,,23,,-,,1,3,201,096,1,,160,165,,,090,051,11,,111,2,330211,3,,,,,,1966,10.0
66IN00012,1956114756,56,2,R4756,1,20,200,,,,,21,,-,,1,1,200,069,0,,130,135,,,082,046,11,,081,2,330211,2,,,,,,1966,10.0
66IN00013,1956114787,56,2,R4787,1,23,230,,,,,18,,-,,1,3,455,081,1,,148,152,,,082,034,11,,080,1,416911,3,,,,,,1966,10.0
66IN00014,1956114800,56,2,R4800,1,27,270,,,,,30,,-,,1,3,,093,1,,148,138,3,,078,041,11,0919,085,2,378911,3,,,,,,1966,10.0
66IN00015,1957114836,57,2,R4836,1,34,341,,,,,34,,0,,1,4,,098,0,,130,155,3,,078,047,11,0919,103,2,445811,8,,,,,,1966,9.0
66IN00016,1957114881,57,2,R4881,1,41,230,,,,,19,,0,,1,2,410,107,1,,175,165,,,076,049,11,,092,2,416911,2,,,,,,1966,9.0
66IN00017,1957114895,57,2,R4895,1,21,210,,,,,39,,0,,1,4,,071,1,,102,100,3,,075,036,11,0919,085,2,432811,2,,,,,,1966,9.0
66IN00018,1957114914,57,2,R4914,1,23,230,,,,,20,,0,,1,3,354,096,1,,162,162,,,073,047,11,,098,2,416911,3,,,,,,1966,9.0
66IN00019,1957114928,57,2,R4928,1,20,200,,,,,27,,0,,1,3,445,086,1,,130,150,,,074,043,11,,089,2,415011,8,,,,,,1966,9.0
66IN00020,1957114999,57,2,R4999,1,24,240,,,,,23,,0,,1,1,295,078,1,,123,150,,,072,038,11,,081,2,411011,8,,,,,,1966,9.0
66IN00021,1958115037,58,2,R5037,1,27,270,,,,,30,,9,,1,1,504,100,0,,140,160,,,083,038,11,,111,2,458511,2,,,,,,1966,8.0
66IN00022,1958115060,58,2,R5060,1,32,320,,,,,20,,9,,1,1,445,086,1,,121,140,,,082,042,11,,102,2,465711,2,,,,,,1966,8.0
66IN00023,1958115083,58,2,R5083,1,20,200,,,,,26,,9,,1,3,444,071,0,,121,135,,,085,043,11,,120,3,437711,2,,,,,,1966,8.0
66IN00024,1958115085,58,2,R5085,1,20,200,,,,,33,,9,,1,3,,072,1,,,,6,,082,030,11,0320,083,2,437711,,,,,,,1966,8.0
66IN00025,1958115090,58,2,R5090,1,19,190,,,,,33,,9,,1,3,,103,0,,155,130,3,,076,041,11,1001,105,2,481711,8,,,,,,1966,8.0
66IN00026,1958115132,58,2,R5132,1,34,340,,,,,43,,9,,1,4,340,078,1,,143,145,,,089,047,11,,102,4,445811,3,,,,,,1966,8.0
66IN00027,1958115135,58,2,R5135,1,,,,,,,,,9,,,,,,,,130,160,4,,,,11,1121,,,,,,,,,,1966,8.0
66IN00028,1958115167,58,2,R5167,1,32,321,,,,,25,,9,,1,1,444,096,1,,165,160,,,083,043,11,,106,2,501611,3,,,,,,1966,8.0
66IN00029,1958115181,58,2,R5181,1,34,340,,,,,44,,9,,1,4,341,071,0,,114,134,,,093,038,11,,079,2,445811,2,,,,,,1966,8.0
66IN00030,1958115203,58,2,R5203,1,19,190,,,,,34,,9,,1,3,244,082,1,,118,140,,,077,039,11,,107,2,481711,8,,,,,,1966,8.0
66IN00031,1958115214,58,2,R5214,1,23,230,,,,,24,,9,,1,1,,086,1,,,,6,,065,042,11,0112,095,2,416911,,,,,,,1966,8.0
