UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,REG,TYPE,INBR,TBR,ADAM,DINBR,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,C79,C80,YRREC,AGE
68IN00001,1967841131,67,,N1131,8,,,,,,,,,2,,00,,,,,,,165,,3,,,,84,0909,,,,8,,,,,,1968,1.0
68IN00002,1967841132,67,,N1132,8,,,,,,,,,2,,00,,,,,,,155,,3,,,,84,0610,,,,9,,   11,,,,1968,1.0
68IN00003,1967841133,67,,N1133,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0122,,,,,,   01,,,,1968,1.0
68IN00004,1967841134,67,,N1134,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0122,,,,,,   01,,,,1968,1.0
68IN00005,1967841135,67,,N1135,8,,,,,,,,,2,,00,,,,,,,148,170,3,,,,84,0930,,,,3,,,,,,1968,1.0
68IN00006,1967841136,67,,N1136,8,,,,,,,,,2,,00,,,,,,,178,,3,,,,84,0930,,,,8,,,,,,1968,1.0
68IN00007,1967841137,67,,N1137,8,,,,,,,,,2,,00,,,,,,,160,,3,,,,84,0715,,,,8,,,,,,1968,1.0
68IN00008,1967841138,67,,N1138,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0325,,,,,,,,,,1968,1.0
68IN00009,1967841139,67,,N1139,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0325,,,,,,,,,,1968,1.0
68IN00010,1967841140,67,,N1140,8,,,,,,,,,2,,00,,,,,,,137,,3,,,,84,0610,,,,9,,   12,,,,1968,1.0
68IN00011,1967841141,67,,N1141,8,,,,,,,,,2,,00,,,,,,,135,,3,,,,84,0930,,,,8,,,,,,1968,1.0
68IN00012,1967841142,67,,N1142,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0325,,,,,,,,,,1968,1.0
68IN00013,1967841143,67,,N1143,8,,,,,,,,,2,,00,,,,,,,163,,3,,,,84,0610,,,,9,,   12,,,,1968,1.0
68IN00014,1967841144,67,,N1144,8,,,,,,,,,2,,00,,,,,,,,,3,,,,84,0325,,,,,,,,,,1968,1.0
68IN00015,1967841145,67,,N1145,8,,,,,,,,,2,,00,,,,,,,,,6,,,,84,0801,,,,,,   00,,,,1968,1.0
68IN00016,1967841146,67,,N1146,8,,,,,,,,,2,,00,,,,,,,170,,3,,,,84,0715,,,,8,,,,,,1968,1.0
68IN00017,1967841147,67,,N1147,8,,,,,,,,,2,,00,,,,,,,205,,3,,,,84,0909,,,,8,,,,,,1968,1.0
68IN00018,1967841148,67,,N1148,8,,,,,,,,,2,,00,,,,,,,180,,3,,,,84,0930,,,,9,,   01,,,,1968,1.0
68IN00019,1967841149,67,,N1149,8,,,,,,,,,2,,00,,,,,,,110,,3,,,,84,0715,,,,8,,,,,,1968,1.0
68IN00020,1967841150,67,,N1150,8,,,,,,,,,2,,00,,,,,,,195,,3,,,,84,0930,,,,8,,,,,,1968,1.0
68IN00021,1967841152,67,,N1152,8,,,,,,,,,2,,00,,,,,,,160,,3,,,,84,0930,,,,8,,,,,,1968,1.0
68IN00022,1967841154,67,,N1154,8,,,,,,,,,2,,00,,,,,,,222,,3,,,,84,0930,,,,8,,,,,,1968,1.0
68IN00023,1967841155,67,,N1155,8,,,,,,,,,2,,00,,,,,,,140,,3,,,,84,0930,,,,8,,,,,,1968,1.0
